Rank	Word	TF-IDF	TF	IDF
1	注浆	0.011382	0.0694	0.1640
2	水玻璃	0.010984	0.0054	2.0272
3	管路	0.010775	0.0061	1.7677
4	洪水位	0.010060	0.0027	3.7136
5	文明	0.009500	0.0037	2.5504
6	浆液	0.009376	0.0125	0.7483
7	砂浆	0.009111	0.0047	1.9218
8	球阀	0.008183	0.0027	3.0204
9	长江	0.007170	0.0058	1.2455
10	机长	0.007160	0.0024	3.0204
11	浆水	0.007153	0.0017	4.2244
12	黔江	0.005979	0.0017	3.5313
13	二次	0.005975	0.0088	0.6786
14	三通	0.005722	0.0014	4.2244
15	同步	0.005604	0.0115	0.4867
16	阀门	0.005293	0.0017	3.1258
17	植被	0.005030	0.0014	3.7136
18	管环	0.005030	0.0014	3.7136
19	联接	0.004783	0.0014	3.5313
20	眼睛	0.004704	0.0010	4.6299
21	配比	0.004427	0.0027	1.6341
22	地貌	0.004403	0.0024	1.8573
23	编制	0.004240	0.0030	1.3912
24	压力表	0.004234	0.0014	3.1258
25	背后	0.004123	0.0024	1.7395
26	防护眼镜	0.003999	0.0010	3.9367
27	重庆	0.003874	0.0024	1.6341
28	早期	0.003858	0.0017	2.2785
29	坍落度	0.003844	0.0014	2.8381
30	胶凝	0.003773	0.0010	3.7136
31	目视	0.003773	0.0010	3.7136
32	注入	0.003746	0.0037	1.0055
33	水泥	0.003694	0.0030	1.2121
34	洞室	0.003636	0.0014	2.6840
35	凝结	0.003632	0.0017	2.1450
36	完好	0.003632	0.0017	2.1450
37	配置	0.003497	0.0034	1.0326
38	实验	0.003479	0.0020	1.7121
39	环境保护	0.003373	0.0014	2.4898
40	检查	0.003350	0.0051	0.6596
41	空隙	0.003319	0.0030	1.0889
42	拆解	0.003295	0.0014	2.4326
43	通知	0.003295	0.0014	2.4326
44	单液	0.003295	0.0014	2.4326
45	压注	0.003222	0.0014	2.3786
46	TB	0.003176	0.0010	3.1258
47	配制	0.003176	0.0010	3.1258
48	双液	0.003173	0.0020	1.5618
49	前置条件	0.003136	0.0007	4.6299
50	地泵	0.003136	0.0007	4.6299
51	迸溅	0.003136	0.0007	4.6299
52	模数	0.003136	0.0007	4.6299
53	头及	0.003136	0.0007	4.6299
54	和泵头	0.003136	0.0007	4.6299
55	各丝扣	0.003136	0.0007	4.6299
56	城区	0.003086	0.0014	2.2785
57	关闭	0.003086	0.0014	2.2785
58	段落	0.002972	0.0010	2.9251
59	管片	0.002943	0.0152	0.1931
60	脱出	0.002899	0.0017	1.7121
61	稠度	0.002883	0.0010	2.8381
62	伤人	0.002883	0.0010	2.8381
63	浅丘	0.002861	0.0007	4.2244
64	滨江路	0.002861	0.0007	4.2244
65	朝天门码头	0.002861	0.0007	4.2244
66	差幅	0.002861	0.0007	4.2244
67	吴淞	0.002861	0.0007	4.2244
68	报验	0.002861	0.0007	4.2244
69	现场实验	0.002861	0.0007	4.2244
70	试运转	0.002861	0.0007	4.2244
71	安全阀	0.002861	0.0007	4.2244
72	口罩	0.002861	0.0007	4.2244
73	拆管	0.002861	0.0007	4.2244
74	管卡	0.002861	0.0007	4.2244
75	填充	0.002830	0.0030	0.9286
76	地形	0.002810	0.0017	1.6594
77	手动	0.002802	0.0010	2.7581
78	验收	0.002748	0.0020	1.3527
79	压力	0.002747	0.0142	0.1931
80	方可	0.002746	0.0014	2.0272
