Rank	Word	TF-IDF	TF	IDF
1	砂岩	0.043057	0.0276	1.5618
2	拆解	0.042678	0.0175	2.4326
3	洞室	0.040360	0.0150	2.6840
4	泥岩	0.036622	0.0201	1.8265
5	组装	0.034328	0.0201	1.7121
6	长江	0.031215	0.0251	1.2455
7	节理	0.023331	0.0100	2.3273
8	饱和	0.022889	0.0125	1.8265
9	斜井	0.022710	0.0075	3.0204
10	卡刀盘	0.017701	0.0050	3.5313
11	侏罗系	0.016928	0.0050	3.3771
12	抗压强度	0.016896	0.0100	1.6854
13	埋段	0.016258	0.0050	3.2436
14	滞排	0.015668	0.0050	3.1258
15	裂隙	0.015427	0.0100	1.5388
16	航道	0.015140	0.0050	3.0204
17	岩质	0.014662	0.0050	2.9251
18	洞身	0.013964	0.0075	1.8573
19	正线	0.013108	0.0050	2.6150
20	裂隙水	0.013079	0.0075	1.7395
21	长江流域	0.011604	0.0025	4.6299
22	游船	0.011604	0.0025	4.6299
23	难控	0.011604	0.0025	4.6299
24	成渝	0.011604	0.0025	4.6299
25	双城	0.011604	0.0025	4.6299
26	经济圈	0.011604	0.0025	4.6299
27	洞内	0.010609	0.0075	1.4110
28	前舱	0.010587	0.0025	4.2244
29	经济带	0.010587	0.0025	4.2244
30	单洞	0.010547	0.0050	2.1041
31	堆积	0.010161	0.0050	2.0272
32	水量	0.009979	0.0050	1.9908
33	朝天门	0.009866	0.0025	3.9367
34	瞬变	0.009866	0.0025	3.9367
35	叠落	0.009866	0.0025	3.9367
36	部件	0.009469	0.0050	1.8890
37	渝中区	0.009307	0.0025	3.7136
38	斜轴	0.009307	0.0025	3.7136
39	受缓	0.009307	0.0025	3.7136
40	山间	0.009307	0.0025	3.7136
41	垭口	0.009307	0.0025	3.7136
42	须家	0.009307	0.0025	3.7136
43	河组	0.009307	0.0025	3.7136
44	层厚大	0.009307	0.0025	3.7136
45	沙溪庙	0.009307	0.0025	3.7136
46	需经	0.009307	0.0025	3.7136
47	左偏	0.009307	0.0025	3.7136
48	主航道	0.009307	0.0025	3.7136
49	两江	0.009307	0.0025	3.7136
50	渗水量	0.009307	0.0025	3.7136
51	补给	0.009006	0.0050	1.7966
52	客运专线	0.008850	0.0025	3.5313
53	南岸区	0.008850	0.0025	3.5313
54	平时	0.008850	0.0025	3.5313
55	电磁	0.008850	0.0025	3.5313
56	机洞	0.008850	0.0025	3.5313
57	线状	0.008464	0.0025	3.3771
58	覆岩	0.008464	0.0025	3.3771
59	缓和	0.008464	0.0025	3.3771
60	后易	0.008464	0.0025	3.3771
61	首条	0.008464	0.0025	3.3771
62	向斜	0.008129	0.0025	3.2436
63	丰富	0.008079	0.0075	1.0745
64	软硬	0.008067	0.0050	1.6094
65	时速	0.007834	0.0025	3.1258
66	重庆市	0.007834	0.0025	3.1258
67	境内	0.007834	0.0025	3.1258
68	转场	0.007834	0.0025	3.1258
69	机下	0.007834	0.0025	3.1258
70	助力	0.007834	0.0025	3.1258
71	首次	0.007829	0.0050	1.5618
72	始发	0.007804	0.0150	0.5190
73	国内	0.007764	0.0075	1.0326
74	沟槽	0.007570	0.0025	3.0204
75	页岩	0.007570	0.0025	3.0204
76	流域	0.007570	0.0025	3.0204
77	联通	0.007570	0.0025	3.0204
78	崩解	0.007570	0.0025	3.0204
79	位于	0.007560	0.0150	0.5027
80	抵达	0.007331	0.0025	2.9251
