Rank	Word	TF-IDF	TF	IDF
1	湿陷性	0.025190	0.0078	3.2436
2	动力学	0.020850	0.0082	2.5504
3	黄土	0.019530	0.0098	1.9908
4	驾驶人员	0.017032	0.0037	4.6299
5	回路	0.016565	0.0049	3.3771
6	SD	0.016050	0.0053	3.0204
7	子系统	0.012510	0.0049	2.5504
8	变量	0.010214	0.0065	1.5618
9	对系统	0.010146	0.0037	2.7581
10	因果	0.010035	0.0045	2.2320
11	海民	0.009462	0.0020	4.6299
12	流图	0.009462	0.0020	4.6299
13	Vensim	0.007770	0.0018	4.2244
14	PLE	0.007770	0.0018	4.2244
15	陷性	0.007666	0.0025	3.1258
16	负反馈	0.007570	0.0016	4.6299
17	地区	0.006730	0.0082	0.8232
18	系统	0.005495	0.0192	0.2861
19	方程	0.005474	0.0025	2.2320
20	演化	0.005160	0.0025	2.1041
21	次之	0.005111	0.0016	3.1258
22	速率	0.005058	0.0029	1.7677
23	其余	0.004976	0.0037	1.3527
24	统中	0.004827	0.0012	3.9367
25	边界	0.004822	0.0029	1.6854
26	不变	0.004796	0.0025	1.9557
27	项目管理	0.004747	0.0033	1.4518
28	技能	0.004713	0.0025	1.9218
29	因素	0.004693	0.0229	0.2050
30	仿真	0.004605	0.0029	1.6094
31	模型	0.004597	0.0086	0.5355
32	岗前	0.004554	0.0012	3.7136
33	材料	0.004422	0.0078	0.5694
34	人员	0.004053	0.0106	0.3814
35	投入	0.003888	0.0025	1.5853
36	权重	0.003846	0.0041	0.9410
37	贺广学	0.003785	0.0008	4.6299
38	刘尚	0.003785	0.0008	4.6299
39	博得	0.003785	0.0008	4.6299
40	帅珍珍	0.003785	0.0008	4.6299
41	构建	0.003606	0.0053	0.6786
42	江新	0.003453	0.0008	4.2244
43	柴国荣	0.003453	0.0008	4.2244
44	杨宝怀	0.003453	0.0008	4.2244
45	身心	0.003453	0.0008	4.2244
46	作业	0.003341	0.0065	0.5108
47	设备	0.003274	0.0114	0.2861
48	心理素质	0.003218	0.0008	3.9367
49	比达	0.003218	0.0008	3.9367
50	平均值	0.003145	0.0020	1.5388
51	施工进度	0.003055	0.0025	1.2455
52	王旭	0.003036	0.0008	3.7136
53	于海莹	0.003036	0.0008	3.7136
54	其进	0.003036	0.0008	3.7136
55	温湿度	0.003036	0.0008	3.7136
56	克特	0.003036	0.0008	3.7136
57	解决问题	0.002983	0.0012	2.4326
58	系统安全	0.002983	0.0012	2.4326
59	地质勘探	0.002917	0.0012	2.3786
60	杨仙	0.002887	0.0008	3.5313
61	排查	0.002844	0.0016	1.7395
62	软件	0.002802	0.0029	0.9792
63	增加量	0.002761	0.0008	3.3771
64	教育	0.002689	0.0020	1.3157
65	搬运	0.002652	0.0008	3.2436
66	交底	0.002592	0.0016	1.5853
67	陕西省	0.002555	0.0008	3.1258
68	连锁	0.002555	0.0008	3.1258
69	素质	0.002532	0.0012	2.0649
70	培训	0.002511	0.0020	1.2287
71	权法	0.002486	0.0012	2.0272
72	空气质量	0.002469	0.0008	3.0204
73	视为	0.002441	0.0012	1.9908
74	水平	0.002400	0.0086	0.2796
75	合理安排	0.002391	0.0008	2.9251
76	根本原因	0.002320	0.0008	2.8381
77	事故	0.002208	0.0061	0.3602
78	维修保养	0.002194	0.0008	2.6840
79	分量	0.002194	0.0008	2.6840
80	表示	0.002159	0.0025	0.8804
