Rank	Word	TF-IDF	TF	IDF
1	DEMATEL	0.014867	0.0054	2.7581
2	ISM	0.012960	0.0048	2.6840
3	gi	0.012334	0.0029	4.2244
4	物元	0.009826	0.0045	2.1875
5	gij	0.009284	0.0024	3.9367
6	the	0.008683	0.0157	0.5523
7	指标	0.008012	0.0167	0.4788
8	of	0.007984	0.0154	0.5190
9	关联度	0.007836	0.0029	2.6840
10	shapley	0.007279	0.0016	4.6299
11	cloud	0.006744	0.0031	2.1450
12	评估	0.006390	0.0177	0.3602
13	可拓法	0.006194	0.0022	2.7581
14	vgi	0.006167	0.0015	4.2244
15	中度	0.005873	0.0022	2.6150
16	outdoor	0.005719	0.0012	4.6299
17	sports	0.005719	0.0012	4.6299
18	订立	0.005693	0.0013	4.2244
19	assessment	0.005455	0.0044	1.2455
20	层级	0.005423	0.0029	1.8573
21	risk	0.005387	0.0073	0.7380
22	句章	0.005199	0.0011	4.6299
23	鄞州	0.005199	0.0011	4.6299
24	evaluation	0.005013	0.0037	1.3527
25	关联	0.004794	0.0036	1.3340
26	Vgij	0.004744	0.0011	4.2244
27	index	0.004699	0.0029	1.6094
28	樊燕燕	0.004599	0.0016	2.9251
29	等级	0.004544	0.0079	0.5781
30	VS	0.004362	0.0012	3.5313
31	度指	0.004159	0.0009	4.6299
32	giP	0.004159	0.0009	4.6299
33	and	0.004121	0.0082	0.5027
34	曲率	0.004111	0.0016	2.6150
35	经典	0.004111	0.0016	2.6150
36	weight	0.003953	0.0020	1.9557
37	类为	0.003795	0.0009	4.2244
38	客运	0.003792	0.0011	3.3771
39	Jun	0.003717	0.0013	2.7581
40	因素	0.003522	0.0172	0.2050
41	低度	0.003510	0.0011	3.1258
42	factors	0.003494	0.0026	1.3527
43	节域	0.003413	0.0010	3.3771
44	matter	0.003413	0.0010	3.3771
45	based	0.003399	0.0029	1.1641
46	宁波	0.003355	0.0013	2.4898
47	全与	0.003321	0.0008	4.2244
48	Xgi	0.003321	0.0008	4.2244
49	模型	0.003187	0.0060	0.5355
50	map	0.003187	0.0011	2.8381
51	safety	0.003131	0.0030	1.0326
52	因子	0.003125	0.0022	1.3912
53	method	0.003106	0.0035	0.8922
54	events	0.003097	0.0011	2.7581
55	comprehensive	0.003076	0.0018	1.7121
56	Vol	0.003021	0.0016	1.9218
57	值法	0.003014	0.0011	2.6840
58	机及	0.003014	0.0011	2.6840
59	矩阵	0.003006	0.0034	0.8922
60	on	0.003005	0.0045	0.6690
61	shield	0.002979	0.0047	0.6317
62	权重	0.002959	0.0031	0.9410
63	agij	0.002846	0.0007	4.2244
64	bgij	0.002846	0.0007	4.2244
65	评物元	0.002808	0.0009	3.1258
66	可拓	0.002783	0.0013	2.0649
67	construction	0.002766	0.0044	0.6317
68	组合	0.002746	0.0027	1.0189
69	calculated	0.002732	0.0011	2.4326
70	metro	0.002731	0.0021	1.2800
71	entropy	0.002713	0.0009	3.0204
72	因果关系	0.002650	0.0012	2.1450
73	model	0.002622	0.0021	1.2287
74	gip	0.002600	0.0006	4.6299
75	kjP	0.002600	0.0006	4.6299
76	域物元	0.002502	0.0007	3.7136
77	extension	0.002411	0.0009	2.6840
78	is	0.002341	0.0027	0.8687
79	围岩	0.002294	0.0025	0.9286
80	No	0.002282	0.0016	1.4518
