Rank	Word	TF-IDF	TF	IDF
1	挠度	0.031326	0.0089	3.5313
2	钢内框	0.020441	0.0048	4.2244
3	塑钢窗	0.017034	0.0040	4.2244
4	窗横框	0.017034	0.0040	4.2244
5	上框	0.017034	0.0040	4.2244
6	江底	0.014398	0.0056	2.5504
7	试桩	0.013627	0.0032	4.2244
8	置换	0.012604	0.0040	3.1258
9	质泥	0.011979	0.0032	3.7136
10	溶洞	0.011784	0.0065	1.8265
11	截面	0.011657	0.0056	2.0649
12	安徽	0.011553	0.0069	1.6854
13	不当	0.011059	0.0129	0.8571
14	堤坝	0.010220	0.0024	4.2244
15	外框	0.010220	0.0024	4.2244
16	推拉窗	0.010220	0.0024	4.2244
17	塑钢	0.010220	0.0024	4.2244
18	杆件	0.009524	0.0024	3.9367
19	紧固件	0.009524	0.0024	3.9367
20	处仅	0.008984	0.0024	3.7136
21	型材	0.008984	0.0024	3.7136
22	水泥浆	0.008174	0.0040	2.0272
23	处治	0.008170	0.0024	3.3771
24	最浅	0.007847	0.0024	3.2436
25	人为失误	0.007847	0.0024	3.2436
26	大堤	0.007847	0.0024	3.2436
27	埋段	0.007847	0.0024	3.2436
28	陆勤斌	0.006814	0.0016	4.2244
29	自大	0.006814	0.0016	4.2244
30	轴净	0.006814	0.0016	4.2244
31	螺钉	0.006814	0.0016	4.2244
32	窗框	0.006814	0.0016	4.2244
33	塑料门窗	0.006814	0.0016	4.2244
34	Plas	0.006814	0.0016	4.2244
35	tic	0.006814	0.0016	4.2244
36	岩溶	0.006732	0.0048	1.3912
37	圆砾层	0.006673	0.0024	2.7581
38	低密度	0.006350	0.0016	3.9367
39	上浮	0.006193	0.0048	1.2800
40	封闭	0.005991	0.0032	1.8573
41	后台	0.005990	0.0016	3.7136
42	等到	0.005990	0.0016	3.7136
43	Windows	0.005990	0.0016	3.7136
44	拼接	0.005512	0.0024	2.2785
45	粉砂	0.005455	0.0040	1.3527
46	陷落	0.005447	0.0016	3.3771
47	纵剖面	0.005447	0.0016	3.3771
48	河床	0.005292	0.0024	2.1875
49	确实	0.005232	0.0016	3.2436
50	循环	0.004954	0.0040	1.2287
51	水玻璃	0.004904	0.0024	2.0272
52	冒浆	0.004872	0.0016	3.0204
53	喷浆	0.004718	0.0016	2.9251
54	抗弯	0.004578	0.0016	2.8381
55	空腔	0.004448	0.0016	2.7581
56	加以	0.004419	0.0024	1.8265
57	喷桩	0.004218	0.0016	2.6150
58	灌注	0.004218	0.0016	2.6150
59	标准值	0.004114	0.0016	2.5504
60	展开	0.003963	0.0032	1.2287
61	喷射	0.003924	0.0016	2.4326
62	冒顶	0.003836	0.0016	2.3786
63	岩层	0.003755	0.0032	1.1641
64	填充	0.003744	0.0040	0.9286
65	抵抗	0.003675	0.0016	2.2785
66	示意图	0.003420	0.0032	1.0603
67	埋深	0.003413	0.0056	0.6045
68	专科毕业	0.003407	0.0008	4.2244
69	供热	0.003407	0.0008	4.2244
70	工商	0.003407	0.0008	4.2244
71	由冲	0.003407	0.0008	4.2244
72	比确	0.003407	0.0008	4.2244
73	深则	0.003407	0.0008	4.2244
74	对输浆	0.003407	0.0008	4.2244
75	至强	0.003407	0.0008	4.2244
76	埋处	0.003407	0.0008	4.2244
77	管高	0.003407	0.0008	4.2244
78	自中	0.003407	0.0008	4.2244
79	做旋	0.003407	0.0008	4.2244
80	测其成	0.003407	0.0008	4.2244
