Rank	Word	TF-IDF	TF	IDF
1	青岛	0.015407	0.0097	1.5853
2	BN	0.011716	0.0040	2.9251
3	结点	0.010767	0.0039	2.7581
4	辽宁	0.009023	0.0035	2.5504
5	退场	0.005630	0.0017	3.3771
6	抵达	0.005472	0.0019	2.9251
7	号线	0.005453	0.0118	0.4632
8	硕士学位	0.005361	0.0031	1.7121
9	概率	0.005316	0.0060	0.8804
10	论文	0.004991	0.0037	1.3340
11	基座	0.004960	0.0028	1.7677
12	工程技术	0.004853	0.0035	1.3718
13	网络	0.004784	0.0048	1.0055
14	评价	0.003988	0.0076	0.5272
15	致因	0.003724	0.0019	1.9908
16	竖井	0.003434	0.0019	1.7966
17	SPSSAU	0.003264	0.0008	4.2244
18	ALARP	0.003159	0.0009	3.5313
19	到位	0.003048	0.0025	1.2287
20	防控	0.002622	0.0020	1.3157
21	问卷	0.002417	0.0013	1.8573
22	识别	0.002393	0.0035	0.6883
23	因素	0.002351	0.0115	0.2050
24	地段	0.002347	0.0022	1.0889
25	后验	0.002334	0.0008	3.0204
26	拆解	0.002275	0.0009	2.4326
27	修建	0.002259	0.0018	1.2626
28	CO	0.002233	0.0005	4.2244
29	基于	0.002226	0.0062	0.3602
30	AHP	0.002153	0.0015	1.4312
31	先验概率	0.002141	0.0007	2.9251
32	接收	0.002127	0.0028	0.7691
33	死亡	0.002110	0.0011	1.9218
34	损失	0.002072	0.0029	0.7178
35	准备	0.002013	0.0023	0.8687
36	大学	0.002003	0.0037	0.5355
37	可能性	0.001952	0.0015	1.2977
38	特殊	0.001952	0.0023	0.8571
39	敏感性	0.001931	0.0011	1.8265
40	贝叶斯	0.001923	0.0014	1.3912
41	不当	0.001917	0.0022	0.8571
42	净距	0.001905	0.0012	1.5618
43	事故	0.001889	0.0052	0.3602
44	矩阵	0.001868	0.0021	0.8922
45	模糊	0.001837	0.0021	0.8687
46	of	0.001815	0.0035	0.5190
47	双模	0.001784	0.0006	2.9251
48	指标	0.001772	0.0037	0.4788
49	阻塞	0.001761	0.0004	3.9367
50	机密	0.001761	0.0004	3.9367
51	risk	0.001756	0.0024	0.7380
52	the	0.001729	0.0031	0.5523
53	偏离	0.001727	0.0015	1.1799
54	推算	0.001723	0.0005	3.5313
55	传送带	0.001723	0.0005	3.5313
56	模型	0.001699	0.0032	0.5355
57	预案	0.001627	0.0013	1.2121
58	始发	0.001604	0.0031	0.5190
59	有误	0.001597	0.0005	3.0204
60	洞门	0.001567	0.0014	1.1334
61	渗漏水	0.001552	0.0009	1.6594
62	错台	0.001536	0.0008	1.8890
63	调试	0.001528	0.0009	1.6341
64	空载	0.001525	0.0005	3.1258
65	高频词	0.001506	0.0003	4.6299
66	应对	0.001505	0.0026	0.5694
67	接受	0.001498	0.0011	1.3157
68	安全事故	0.001484	0.0017	0.8687
69	负载	0.001474	0.0005	3.0204
70	夹角	0.001455	0.0007	2.1041
71	孕育	0.001441	0.0004	3.9367
72	应急	0.001427	0.0018	0.7797
73	失稳	0.001415	0.0015	0.9663
74	磨损	0.001407	0.0018	0.7691
75	培训	0.001399	0.0011	1.2287
76	有毒气体	0.001398	0.0004	3.1258
77	错误	0.001377	0.0009	1.5388
78	估计	0.001359	0.0007	1.8573
79	遭遇	0.001334	0.0006	2.1875
80	Qingdao	0.001327	0.0005	2.8381
