Rank	Word	TF-IDF	TF	IDF
1	黏度	0.052747	0.0191	2.7581
2	砂砾	0.034220	0.0127	2.6840
3	三刃	0.027547	0.0059	4.6299
4	密度	0.027214	0.0174	1.5618
5	泥浆	0.021006	0.0195	1.0745
6	泥水	0.018139	0.0229	0.7904
7	滚刀	0.017077	0.0093	1.8265
8	加入适量	0.016731	0.0042	3.9367
9	磨损	0.015036	0.0195	0.7691
10	刀具	0.014997	0.0221	0.6786
11	扭矩	0.013733	0.0140	0.9792
12	水来	0.011806	0.0025	4.6299
13	崩刀	0.011806	0.0025	4.6299
14	磨损量	0.011407	0.0042	2.6840
15	变化规律	0.011383	0.0051	2.2320
16	稀释	0.010269	0.0034	3.0204
17	合金	0.010269	0.0034	3.0204
18	使用寿命	0.009683	0.0042	2.2785
19	富水	0.009035	0.0093	0.9663
20	低时	0.009004	0.0025	3.5313
21	悬浮	0.009004	0.0025	3.5313
22	环号	0.008671	0.0034	2.5504
23	高时	0.007971	0.0025	3.1258
24	刘新荣	0.007871	0.0017	4.6299
25	魏力峰	0.007871	0.0017	4.6299
26	层里	0.007871	0.0017	4.6299
27	泥团	0.007871	0.0017	4.6299
28	正面	0.007848	0.0051	1.5388
29	合金钢	0.007181	0.0017	4.2244
30	切削	0.007020	0.0059	1.1799
31	增大	0.006917	0.0076	0.9042
32	CMM	0.006692	0.0017	3.9367
33	层中	0.006638	0.0042	1.5618
34	先行	0.006423	0.0034	1.8890
35	抗冲击	0.006313	0.0017	3.7136
36	道具	0.006313	0.0017	3.7136
37	推力	0.006042	0.0081	0.7483
38	当作	0.006003	0.0017	3.5313
39	卵石	0.005858	0.0051	1.1486
40	冲击力	0.005741	0.0017	3.3771
41	统计学	0.005741	0.0017	3.3771
42	回收	0.005470	0.0025	2.1450
43	分离	0.005470	0.0025	2.1450
44	开舱	0.004973	0.0017	2.9251
45	刀盘	0.004898	0.0136	0.3602
46	地铁线	0.004825	0.0017	2.8381
47	单刃	0.004825	0.0017	2.8381
48	出现异常	0.004445	0.0017	2.6150
49	砾砂	0.004445	0.0017	2.6150
50	圆砾	0.004445	0.0017	2.6150
51	此次	0.004336	0.0017	2.5504
52	峰值	0.004336	0.0017	2.5504
53	超过	0.004331	0.0059	0.7279
54	泥膜	0.004135	0.0017	2.4326
55	选择	0.004037	0.0102	0.3958
56	由此	0.003958	0.0034	1.1641
57	有抗	0.003935	0.0008	4.6299
58	径刀	0.003935	0.0008	4.6299
59	刀会	0.003935	0.0008	4.6299
60	朗肯	0.003935	0.0008	4.6299
61	刀磨	0.003935	0.0008	4.6299
62	能以	0.003935	0.0008	4.6299
63	内施	0.003935	0.0008	4.6299
64	工刀盘	0.003935	0.0008	4.6299
65	取较	0.003935	0.0008	4.6299
66	成块	0.003935	0.0008	4.6299
67	切下	0.003935	0.0008	4.6299
68	转时	0.003935	0.0008	4.6299
69	塑变值	0.003935	0.0008	4.6299
70	浆泵	0.003935	0.0008	4.6299
71	损磨	0.003935	0.0008	4.6299
72	合砂	0.003935	0.0008	4.6299
73	盘会	0.003935	0.0008	4.6299
74	主切	0.003935	0.0008	4.6299
75	张旭东	0.003935	0.0008	4.6299
76	杨杰	0.003935	0.0008	4.6299
77	顾国明	0.003935	0.0008	4.6299
78	陈卫平	0.003935	0.0008	4.6299
79	周铭谦	0.003935	0.0008	4.6299
80	松松	0.003935	0.0008	4.6299
