Rank	Word	TF-IDF	TF	IDF
1	赋权	0.024918	0.0146	1.7121
2	评价	0.018118	0.0344	0.5272
3	权重	0.016358	0.0174	0.9410
4	指标	0.014325	0.0299	0.4788
5	组合	0.014006	0.0137	1.0189
6	发生器	0.010311	0.0040	2.5504
7	青岛	0.009293	0.0059	1.5853
8	安安	0.009008	0.0024	3.7136
9	模型	0.007794	0.0146	0.5355
10	云图	0.007033	0.0040	1.7395
11	王建波	0.006884	0.0024	2.8381
12	二级	0.006636	0.0053	1.2626
13	数字	0.006607	0.0040	1.6341
14	三级	0.006507	0.0040	1.6094
15	主观	0.006383	0.0049	1.3157
16	论域	0.006187	0.0024	2.5504
17	专家	0.006110	0.0101	0.6045
18	安装操作	0.006005	0.0016	3.7136
19	经验不足	0.005575	0.0020	2.7581
20	云滴	0.005286	0.0020	2.6150
21	不当	0.005198	0.0061	0.8571
22	算子	0.004917	0.0024	2.0272
23	第期	0.004808	0.0020	2.3786
24	安子	0.004775	0.0012	3.9367
25	减速器	0.004775	0.0012	3.9367
26	风险意识	0.004590	0.0016	2.8381
27	打分	0.004532	0.0036	1.2455
28	理工大学	0.004531	0.0030	1.4944
29	片面性	0.004504	0.0012	3.7136
30	客观	0.004410	0.0036	1.2121
31	基于	0.004368	0.0121	0.3602
32	该项	0.004336	0.0020	2.1450
33	权法	0.004098	0.0020	2.0272
34	语言	0.004098	0.0020	2.0272
35	博弈	0.004096	0.0012	3.3771
36	模糊性	0.003964	0.0024	1.6341
37	从大到	0.003934	0.0012	3.2436
38	施工人员	0.003915	0.0044	0.8804
39	逆向	0.003846	0.0016	2.3786
40	博弈论	0.003791	0.0012	3.1258
41	冯辉	0.003744	0.0008	4.6299
42	李娟	0.003744	0.0008	4.6299
43	校审	0.003744	0.0008	4.6299
44	程文华	0.003744	0.0008	4.6299
45	处理不当	0.003685	0.0016	2.2785
46	计算	0.003570	0.0101	0.3532
47	特曼	0.003416	0.0008	4.2244
48	机械设计	0.003416	0.0008	4.2244
49	加权	0.003354	0.0020	1.6594
50	偏向	0.003345	0.0012	2.7581
51	结构复杂	0.003345	0.0012	2.7581
52	概念	0.003281	0.0024	1.3527
53	赋值	0.003163	0.0016	1.9557
54	邀请	0.003111	0.0020	1.5388
55	分析法	0.003109	0.0040	0.7691
56	第卷	0.003093	0.0012	2.5504
57	等级	0.003038	0.0053	0.5781
58	要么	0.003003	0.0008	3.7136
59	亚军	0.003003	0.0008	3.7136
60	海边	0.003003	0.0008	3.7136
61	合格	0.002935	0.0020	1.4518
62	随机性	0.002905	0.0016	1.7966
63	特征	0.002822	0.0040	0.6980
64	见表	0.002810	0.0032	0.8687
65	模糊	0.002810	0.0032	0.8687
66	定性	0.002808	0.0028	0.9923
67	山东省	0.002731	0.0008	3.3771
68	集结	0.002731	0.0008	3.3771
69	第页	0.002731	0.0008	3.3771
70	技术水平	0.002726	0.0016	1.6854
71	综合	0.002719	0.0089	0.3057
72	不符	0.002707	0.0012	2.2320
73	层次	0.002628	0.0028	0.9286
74	机械	0.002627	0.0032	0.8122
75	最优化	0.002623	0.0008	3.2436
76	系统故障	0.002602	0.0012	2.1450
77	为云	0.002527	0.0008	3.1258
78	东站	0.002527	0.0008	3.1258
79	装置	0.002505	0.0024	1.0326
80	可拓	0.002504	0.0012	2.0649
