Rank	Word	TF-IDF	TF	IDF
1	卵石	0.024173	0.0210	1.1486
2	直径	0.012999	0.0290	0.4478
3	管棚	0.012262	0.0029	4.2244
4	孔桩	0.012262	0.0029	4.2244
5	胶结	0.011386	0.0044	2.6150
6	或弱	0.010080	0.0022	4.6299
7	超大	0.009940	0.0058	1.7121
8	玻璃纤维	0.008768	0.0029	3.0204
9	关键技术	0.008593	0.0065	1.3157
10	粒径	0.008515	0.0044	1.9557
11	颗粒	0.008430	0.0051	1.6594
12	刀具	0.007879	0.0116	0.6786
13	王春波	0.006720	0.0015	4.6299
14	中密砂	0.006720	0.0015	4.6299
15	岩心	0.006720	0.0015	4.6299
16	筋中	0.006720	0.0015	4.6299
17	出渣	0.006321	0.0044	1.4518
18	等值线图	0.006131	0.0015	4.2244
19	刀盘	0.005489	0.0152	0.3602
20	改良	0.005423	0.0044	1.2455
21	全球	0.005420	0.0022	2.4898
22	喷口	0.005390	0.0015	3.7136
23	姿态控制	0.005268	0.0036	1.4518
24	时为	0.005125	0.0015	3.5313
25	性强	0.005125	0.0015	3.5313
26	成都	0.005048	0.0036	1.3912
27	选型	0.005043	0.0058	0.8687
28	磨损	0.005023	0.0065	0.7691
29	始发	0.004896	0.0094	0.5190
30	渣土	0.004556	0.0044	1.0463
31	气动	0.004537	0.0015	3.1258
32	接收	0.004465	0.0058	0.7691
33	排渣	0.004119	0.0015	2.8381
34	超前	0.003715	0.0029	1.2800
35	壁厚	0.003614	0.0015	2.4898
36	泡沫	0.003613	0.0022	1.6594
37	损失率	0.003531	0.0015	2.4326
38	保压	0.003531	0.0015	2.4326
39	袖阀	0.003531	0.0015	2.4326
40	检修	0.003451	0.0022	1.5853
41	地层	0.003434	0.0276	0.1245
42	松散	0.003400	0.0022	1.5618
43	孙建营	0.003360	0.0007	4.6299
44	武亦超	0.003360	0.0007	4.6299
45	方华昌	0.003360	0.0007	4.6299
46	中国人民武装警察部队	0.003360	0.0007	4.6299
47	警官	0.003360	0.0007	4.6299
48	应适	0.003360	0.0007	4.6299
49	过大超	0.003360	0.0007	4.6299
50	动小等	0.003360	0.0007	4.6299
51	长三	0.003360	0.0007	4.6299
52	超特	0.003360	0.0007	4.6299
53	密砂	0.003360	0.0007	4.6299
54	屯门	0.003360	0.0007	4.6299
55	中施	0.003360	0.0007	4.6299
56	选性	0.003360	0.0007	4.6299
57	合刀盘	0.003360	0.0007	4.6299
58	管单	0.003360	0.0007	4.6299
59	江安	0.003360	0.0007	4.6299
60	河大桥	0.003360	0.0007	4.6299
61	覆盖范围	0.003360	0.0007	4.6299
62	无缝钢管	0.003360	0.0007	4.6299
63	心角	0.003360	0.0007	4.6299
64	径时	0.003360	0.0007	4.6299
65	筑物时	0.003360	0.0007	4.6299
66	勤于	0.003360	0.0007	4.6299
67	值宜取	0.003360	0.0007	4.6299
68	刀法	0.003360	0.0007	4.6299
69	初凝后	0.003360	0.0007	4.6299
70	终凝前	0.003360	0.0007	4.6299
71	以佛莞城	0.003360	0.0007	4.6299
72	戴仕敏	0.003360	0.0007	4.6299
73	九江	0.003360	0.0007	4.6299
74	出版日期	0.003360	0.0007	4.6299
75	热线	0.003360	0.0007	4.6299
76	地勘	0.003175	0.0015	2.1875
77	坐标	0.003175	0.0015	2.1875
78	开仓换	0.003175	0.0015	2.1875
79	密实	0.003161	0.0022	1.4518
80	发展趋势	0.003113	0.0015	2.1450
