Rank	Word	TF-IDF	TF	IDF
1	凤凰	0.024712	0.0058	4.2244
2	城际	0.019764	0.0097	2.0272
3	试样	0.013729	0.0032	4.2244
4	南路	0.012947	0.0052	2.4898
5	空铁	0.012037	0.0026	4.6299
6	转速	0.010593	0.0091	1.1641
7	每斗	0.009028	0.0019	4.6299
8	大道	0.007764	0.0039	1.9908
9	铁路	0.007570	0.0104	0.7279
10	方量	0.007241	0.0019	3.7136
11	设定	0.006867	0.0078	0.8804
12	进尺	0.006473	0.0026	2.4898
13	渣土	0.006121	0.0058	1.0463
14	马鞍山	0.006019	0.0013	4.6299
15	rmin	0.005534	0.0023	2.4326
16	王灿	0.005492	0.0013	4.2244
17	土仓	0.005160	0.0052	0.9923
18	推力	0.004864	0.0065	0.7483
19	MN	0.004591	0.0013	3.5313
20	石灰岩	0.004217	0.0013	3.2436
21	硬岩	0.004184	0.0026	1.6094
22	超前	0.004160	0.0032	1.2800
23	刀盘	0.003980	0.0110	0.3602
24	示例	0.003926	0.0013	3.0204
25	切削	0.003834	0.0032	1.1799
26	岩溶	0.003617	0.0026	1.3912
27	预报	0.003503	0.0019	1.7966
28	温度	0.003503	0.0019	1.7966
29	应对	0.003331	0.0058	0.5694
30	扭矩	0.003182	0.0032	0.9792
31	公园	0.003162	0.0013	2.4326
32	MPa	0.003077	0.0023	1.3527
33	诚合瑞正	0.003009	0.0006	4.6299
34	含凤马	0.003009	0.0006	4.6299
35	riskanalysis	0.003009	0.0006	4.6299
36	intercityrailwaytunnels	0.003009	0.0006	4.6299
37	穿空	0.003009	0.0006	4.6299
38	中如未	0.003009	0.0006	4.6299
39	含凤	0.003009	0.0006	4.6299
40	湘潭人	0.003009	0.0006	4.6299
41	社会公众	0.003009	0.0006	4.6299
42	入空铁	0.003009	0.0006	4.6299
43	及进	0.003009	0.0006	4.6299
44	黏滞性	0.003009	0.0006	4.6299
45	土箱	0.003009	0.0006	4.6299
46	经检测	0.003009	0.0006	4.6299
47	需具	0.003009	0.0006	4.6299
48	每箱	0.003009	0.0006	4.6299
49	浆方量	0.003009	0.0006	4.6299
50	内未	0.003009	0.0006	4.6299
51	张泫	0.003009	0.0006	4.6299
52	鬲少煜	0.003009	0.0006	4.6299
53	蒋平波	0.003009	0.0006	4.6299
54	袁伟嘉	0.003009	0.0006	4.6299
55	李荣贵	0.003009	0.0006	4.6299
56	设值	0.003009	0.0006	4.6299
57	高鹏	0.003009	0.0006	4.6299
58	倔进	0.003009	0.0006	4.6299
59	度受	0.003009	0.0006	4.6299
60	整刀盘	0.003009	0.0006	4.6299
61	灌注桩	0.002901	0.0013	2.2320
62	the	0.002872	0.0052	0.5523
63	超挖	0.002872	0.0019	1.4729
64	软下	0.002872	0.0019	1.4729
65	driving	0.002852	0.0010	2.9251
66	旨在	0.002788	0.0013	2.1450
67	探讨	0.002786	0.0032	0.8571
68	断面	0.002761	0.0039	0.7079
69	每环	0.002751	0.0019	1.4110
70	ConstructionTechnology	0.002746	0.0006	4.2244
71	Intercity	0.002746	0.0006	4.2244
72	为明	0.002746	0.0006	4.2244
73	此参数	0.002746	0.0006	4.2244
74	双螺旋	0.002746	0.0006	4.2244
75	坚实基础	0.002746	0.0006	4.2244
76	微风	0.002746	0.0006	4.2244
77	围护	0.002735	0.0013	2.1041
78	调整	0.002583	0.0084	0.3057
79	intercity	0.002559	0.0006	3.9367
80	台双	0.002559	0.0006	3.9367
