Rank	Word	TF-IDF	TF	IDF
1	平台	0.015076	0.0130	1.1641
2	研发	0.014336	0.0073	1.9557
3	预警	0.013796	0.0147	0.9410
4	Feb	0.013611	0.0037	3.7136
5	分级	0.012061	0.0083	1.4518
6	Total	0.011888	0.0037	3.2436
7	推送	0.011888	0.0037	3.2436
8	Fig	0.011469	0.0059	1.9557
9	接入	0.010721	0.0037	2.9251
10	No	0.010642	0.0073	1.4518
11	监控	0.009040	0.0156	0.5781
12	管控	0.008959	0.0120	0.7483
13	品牌	0.008718	0.0027	3.2436
14	出版	0.008181	0.0037	2.2320
15	MODERNTUNNELLINGTECHNOLOGY	0.007742	0.0018	4.2244
16	TUNNELLING	0.007742	0.0018	4.2244
17	of	0.007355	0.0142	0.5190
18	MODERN	0.007215	0.0018	3.9367
19	机制	0.007111	0.0061	1.1641
20	Vol	0.007044	0.0037	1.9218
21	智能	0.006740	0.0046	1.4518
22	地下工程	0.006473	0.0064	1.0189
23	TECHNOLOGY	0.006189	0.0018	3.3771
24	situ	0.005772	0.0015	3.9367
25	用户	0.005687	0.0024	2.3273
26	超限	0.005449	0.0027	2.0272
27	视频	0.005350	0.0022	2.4326
28	展示	0.005101	0.0029	1.7395
29	模块	0.005011	0.0022	2.2785
30	GIS	0.004919	0.0018	2.6840
31	王烨晟	0.004810	0.0012	3.9367
32	功能	0.004670	0.0054	0.8687
33	自动	0.004628	0.0034	1.3527
34	and	0.004361	0.0087	0.5027
35	intelligent	0.004359	0.0013	3.2436
36	warning	0.004161	0.0015	2.8381
37	集成	0.003951	0.0022	1.7966
38	信息化	0.003912	0.0029	1.3340
39	环号	0.003739	0.0015	2.5504
40	报警	0.003693	0.0020	1.8890
41	异构	0.003630	0.0010	3.7136
42	单日	0.003630	0.0010	3.7136
43	stress	0.003574	0.0012	2.9251
44	当前	0.003532	0.0034	1.0326
45	early	0.003514	0.0013	2.6150
46	提醒	0.003467	0.0012	2.8381
47	浙江省	0.003451	0.0010	3.5313
48	绕行	0.003451	0.0010	3.5313
49	杭州	0.003435	0.0022	1.5618
50	智慧	0.003412	0.0015	2.3273
51	图层	0.003394	0.0007	4.6299
52	架构	0.003340	0.0015	2.2785
53	成型	0.003295	0.0020	1.6854
54	the	0.003172	0.0057	0.5523
55	JSON	0.003097	0.0007	4.2244
56	APP	0.003097	0.0007	4.2244
57	江城	0.003097	0.0007	4.2244
58	监测数据	0.003069	0.0032	0.9663
59	信息	0.003062	0.0046	0.6596
60	platform	0.003055	0.0010	3.1258
61	实时	0.003048	0.0039	0.7797
62	丁智	0.003033	0.0011	2.7581
63	解析	0.003027	0.0015	2.0649
64	Hangzhou	0.002888	0.0009	3.3771
65	如土	0.002886	0.0007	3.9367
66	实现	0.002805	0.0066	0.4252
67	Monitoring	0.002696	0.0010	2.7581
68	智能化	0.002673	0.0012	2.1875
69	总览	0.002589	0.0007	3.5313
70	Zhejiang	0.002589	0.0007	3.5313
71	最大值	0.002572	0.0020	1.3157
72	工后	0.002556	0.0010	2.6150
73	互联网	0.002493	0.0010	2.5504
74	数据格式	0.002476	0.0007	3.3771
75	提示	0.002434	0.0010	2.4898
76	波动	0.002413	0.0017	1.4110
77	Ranking	0.002405	0.0006	3.9367
78	系统	0.002377	0.0083	0.2861
79	动态	0.002321	0.0034	0.6786
80	inversion	0.002269	0.0006	3.7136
