Rank	Word	TF-IDF	TF	IDF
1	陆守权	0.041608	0.0090	4.6299
2	天然气	0.033339	0.0131	2.5504
3	管道	0.033126	0.0270	1.2287
4	长江	0.025439	0.0204	1.2455
5	记者	0.022695	0.0049	4.6299
6	口径	0.022514	0.0057	3.9367
7	油气	0.021200	0.0065	3.2436
8	东线	0.019741	0.0065	3.0204
9	巡检	0.016554	0.0049	3.3771
10	据介绍	0.015130	0.0033	4.6299
11	弯管机	0.015130	0.0033	4.6299
12	长隧	0.011348	0.0025	4.6299
13	告诉	0.011348	0.0025	4.6299
14	数智化	0.011348	0.0025	4.6299
15	打造	0.011036	0.0033	3.3771
16	万里	0.010354	0.0025	4.2244
17	天花板	0.010354	0.0025	4.2244
18	穿江	0.010354	0.0025	4.2244
19	量身	0.010354	0.0025	4.2244
20	保驾护航	0.010354	0.0025	4.2244
21	能源	0.009871	0.0033	3.0204
22	超高	0.009102	0.0025	3.7136
23	机器人	0.009102	0.0025	3.7136
24	智能化	0.008936	0.0041	2.1875
25	创造	0.008546	0.0033	2.6150
26	东部	0.007950	0.0025	3.2436
27	江面	0.007950	0.0025	3.2436
28	管网	0.007950	0.0033	2.4326
29	毫米	0.007661	0.0025	3.1258
30	海门	0.007565	0.0016	4.6299
31	常熟	0.007565	0.0016	4.6299
32	长江天堑	0.007565	0.0016	4.6299
33	世界之最	0.007565	0.0016	4.6299
34	世所	0.007565	0.0016	4.6299
35	大通道	0.007565	0.0016	4.6299
36	纵贯	0.007565	0.0016	4.6299
37	铠甲	0.007565	0.0016	4.6299
38	国内首创	0.007565	0.0016	4.6299
39	高钢级	0.007565	0.0016	4.6299
40	管长	0.007565	0.0016	4.6299
41	建造	0.007339	0.0041	1.7966
42	焊接	0.007325	0.0049	1.4944
43	智能	0.007117	0.0049	1.4518
44	咽喉	0.006903	0.0016	4.2244
45	管道工程	0.006903	0.0016	4.2244
46	建设者	0.006903	0.0016	4.2244
47	南下	0.006903	0.0016	4.2244
48	投运	0.006903	0.0016	4.2244
49	调试	0.006675	0.0041	1.6341
50	长距离	0.006539	0.0049	1.3340
51	主体工程	0.006433	0.0016	3.9367
52	攻关	0.006433	0.0016	3.9367
53	突破	0.006251	0.0025	2.5504
54	入海口	0.006068	0.0016	3.7136
55	攻克	0.006068	0.0016	3.7136
56	同事	0.006068	0.0016	3.7136
57	字形	0.006068	0.0016	3.7136
58	入口	0.005770	0.0016	3.5313
59	和工	0.005770	0.0016	3.5313
60	运维	0.005770	0.0016	3.5313
61	自动	0.005526	0.0041	1.3527
62	器具	0.005518	0.0016	3.3771
63	水压	0.005449	0.0041	1.3340
64	世界	0.005423	0.0033	1.6594
65	泡沫	0.005423	0.0033	1.6594
66	单向	0.005300	0.0016	3.2436
67	沼气	0.005107	0.0016	3.1258
68	挑战	0.004955	0.0033	1.5163
69	极度	0.004780	0.0016	2.9251
70	贯通	0.004546	0.0033	1.3912
71	我国	0.004445	0.0074	0.6045
72	竖井	0.004404	0.0025	1.7966
73	完工	0.004386	0.0016	2.6840
74	之下	0.004386	0.0016	2.6840
75	四大	0.004386	0.0016	2.6840
76	这是	0.004333	0.0025	1.7677
77	东北	0.004273	0.0016	2.6150
78	地带	0.004273	0.0016	2.6150
79	生命周期	0.004273	0.0016	2.6150
80	不仅	0.004258	0.0049	0.8687
