Rank	Word	TF-IDF	TF	IDF
1	桥梁	0.034464	0.0277	1.2455
2	临近	0.026874	0.0196	1.3718
3	诱发	0.012434	0.0081	1.5388
4	决策表	0.009344	0.0022	4.2244
5	属性	0.009120	0.0053	1.7121
6	桩基	0.007780	0.0051	1.5388
7	桥桩	0.006971	0.0033	2.1450
8	约简	0.006042	0.0015	3.9367
9	孕险	0.005999	0.0020	3.0204
10	变权	0.005564	0.0017	3.2436
11	可拓云	0.004908	0.0016	3.0204
12	人行天桥	0.004782	0.0014	3.5313
13	兰州	0.004685	0.0024	1.9218
14	指标	0.004312	0.0090	0.4788
15	评价	0.004308	0.0082	0.5272
16	承险体	0.004227	0.0014	3.0204
17	致险	0.004067	0.0019	2.1450
18	硕士学位	0.004057	0.0024	1.7121
19	粗糙集	0.003895	0.0015	2.6150
20	信息熵	0.003735	0.0014	2.7581
21	离散	0.003704	0.0018	2.1041
22	论域	0.003684	0.0014	2.5504
23	覆跨	0.003507	0.0010	3.5313
24	性能参数	0.003409	0.0011	3.0204
25	权重	0.003377	0.0036	0.9410
26	GGC	0.003344	0.0007	4.6299
27	论文	0.003222	0.0024	1.3340
28	决策	0.003165	0.0030	1.0463
29	为级	0.003163	0.0018	1.7966
30	模型	0.003118	0.0058	0.5355
31	ICRITIC	0.003051	0.0007	4.2244
32	因子	0.003014	0.0022	1.3912
33	关联度	0.002908	0.0011	2.6840
34	致使	0.002877	0.0018	1.6341
35	等级	0.002870	0.0050	0.5781
36	群组	0.002860	0.0007	4.2244
37	赋权	0.002705	0.0016	1.7121
38	埋置	0.002681	0.0009	3.1258
39	过街天桥	0.002666	0.0007	3.9367
40	bridges	0.002592	0.0008	3.3771
41	涵义	0.002479	0.0006	4.2244
42	立交桥	0.002479	0.0009	2.6150
43	人行	0.002343	0.0007	3.2436
44	西湖	0.002299	0.0005	4.6299
45	陆军	0.002299	0.0005	4.6299
46	依据	0.002192	0.0035	0.6225
47	土体	0.002126	0.0061	0.3463
48	基于	0.002114	0.0059	0.3602
49	西津	0.002090	0.0005	4.6299
50	兰州市	0.002072	0.0006	3.5313
51	损伤	0.002061	0.0011	1.8265
52	合并	0.002023	0.0008	2.4898
53	the	0.002020	0.0037	0.5523
54	界限	0.001996	0.0009	2.3273
55	HDC	0.001985	0.0004	4.6299
56	风险管理	0.001904	0.0036	0.5272
57	ij	0.001897	0.0014	1.3340
58	义乌	0.001881	0.0004	4.6299
59	应力	0.001864	0.0018	1.0326
60	总院	0.001844	0.0005	3.7136
61	扰动	0.001823	0.0033	0.5608
62	物理	0.001809	0.0013	1.4312
63	adjacent	0.001791	0.0008	2.1450
64	组合	0.001748	0.0017	1.0189
65	桩基础	0.001743	0.0008	2.1450
66	商贸城	0.001716	0.0004	4.2244
67	隐患	0.001699	0.0013	1.2977
68	上部	0.001696	0.0019	0.9163
69	周围	0.001685	0.0023	0.7178
70	桥体	0.001676	0.0005	3.7136
71	天桥	0.001676	0.0005	3.7136
72	而承险体	0.001672	0.0004	4.6299
73	大学	0.001644	0.0031	0.5355
74	机理	0.001608	0.0013	1.2287
75	阻力	0.001593	0.0009	1.8573
76	摩擦角	0.001593	0.0009	1.8573
77	事件	0.001571	0.0018	0.8922
78	变形	0.001558	0.0053	0.2926
79	承载力	0.001552	0.0010	1.4944
80	向量	0.001548	0.0011	1.3718
