Rank	Word	TF-IDF	TF	IDF
1	岩溶	0.031218	0.0224	1.3912
2	花溪	0.024033	0.0057	4.2244
3	贵阳市	0.017605	0.0047	3.7136
4	农学院	0.013170	0.0028	4.6299
5	公园	0.009995	0.0041	2.4326
6	评价	0.009165	0.0174	0.5272
7	isk	0.008201	0.0025	3.2436
8	太慈桥	0.008011	0.0019	4.2244
9	of	0.006561	0.0126	0.5190
10	桐木	0.006221	0.0016	3.9367
11	溶蚀	0.005382	0.0019	2.8381
12	矩阵	0.005358	0.0060	0.8922
13	一致性	0.005117	0.0041	1.2455
14	指数	0.004976	0.0035	1.4312
15	溶洞	0.004618	0.0025	1.8265
16	进出	0.004589	0.0032	1.4518
17	and	0.004449	0.0088	0.5027
18	地区	0.004423	0.0054	0.8232
19	karst	0.004132	0.0016	2.6150
20	断层	0.004041	0.0022	1.8265
21	谷地	0.004005	0.0009	4.2244
22	risk	0.003965	0.0054	0.7380
23	the	0.003928	0.0071	0.5523
24	Guiyang	0.003733	0.0009	3.9367
25	was	0.003631	0.0021	1.7677
26	判断	0.003599	0.0063	0.5694
27	层次	0.003522	0.0038	0.9286
28	指标	0.003481	0.0073	0.4788
29	Construction	0.003465	0.0043	0.8122
30	沿线	0.003224	0.0028	1.1334
31	自然	0.003166	0.0022	1.4312
32	打分	0.003149	0.0025	1.2455
33	等级	0.003106	0.0054	0.5781
34	识别	0.003045	0.0044	0.6883
35	权重	0.002974	0.0032	0.9410
36	陕西省	0.002964	0.0009	3.1258
37	Xian	0.002964	0.0009	3.1258
38	地貌	0.002935	0.0016	1.8573
39	Karst	0.002934	0.0008	3.7136
40	溪河	0.002927	0.0006	4.6299
41	地下商场	0.002927	0.0006	4.6299
42	换刀	0.002886	0.0016	1.8265
43	破碎	0.002871	0.0022	1.2977
44	为级	0.002839	0.0016	1.7966
45	CI	0.002766	0.0013	2.1875
46	Based	0.002755	0.0022	1.2455
47	特征向量	0.002712	0.0013	2.1450
48	贵阳	0.002691	0.0009	2.8381
49	Tunnel	0.002681	0.0025	1.0603
50	分析法	0.002674	0.0035	0.7691
51	溶孔	0.002670	0.0006	4.2244
52	WBSBS	0.002670	0.0006	4.2244
53	人民广场	0.002670	0.0006	4.2244
54	Zhanping	0.002670	0.0006	4.2244
55	特征值	0.002663	0.0016	1.6854
56	向量	0.002601	0.0019	1.3718
57	光缆	0.002488	0.0006	3.9367
58	并作	0.002488	0.0006	3.9367
59	可容忍	0.002488	0.0006	3.9367
60	Tunnelling	0.002418	0.0017	1.3912
61	二级	0.002394	0.0019	1.2626
62	Shield	0.002365	0.0027	0.8804
63	Metro	0.002360	0.0021	1.1486
64	德赛	0.002347	0.0006	3.7136
65	斜坡	0.002347	0.0006	3.7136
66	on	0.002326	0.0035	0.6690
67	TBM	0.002294	0.0016	1.4518
68	预报	0.002271	0.0013	1.7966
69	指标体系	0.002254	0.0022	1.0189
70	一级	0.002254	0.0022	1.0189
71	et	0.002207	0.0021	1.0745
72	including	0.002207	0.0009	2.3273
73	选型	0.002196	0.0025	0.8687
74	模糊	0.002196	0.0025	0.8687
75	Submarine	0.002195	0.0005	4.6299
76	法施	0.002160	0.0009	2.2785
77	Engineering	0.002152	0.0027	0.8012
78	Fault	0.002135	0.0006	3.3771
79	战平	0.002135	0.0006	3.3771
80	求解	0.002131	0.0013	1.6854
