Rank	Word	TF-IDF	TF	IDF
1	四色	0.023948	0.0052	4.6299
2	一张	0.023290	0.0069	3.3771
3	管控	0.016772	0.0224	0.7483
4	等级	0.014618	0.0253	0.5781
5	剩余	0.012597	0.0069	1.8265
6	三轴	0.012151	0.0040	3.0204
7	横琴	0.012139	0.0029	4.2244
8	水域	0.011768	0.0040	2.9251
9	格栅	0.011185	0.0034	3.2436
10	下硬段	0.010643	0.0023	4.6299
11	水道	0.010147	0.0029	3.5313
12	上软	0.009711	0.0023	4.2244
13	土段	0.009711	0.0023	4.2244
14	翔宇	0.009050	0.0023	3.9367
15	海堤	0.009050	0.0023	3.9367
16	浅覆	0.008537	0.0023	3.7136
17	原始	0.008465	0.0057	1.4729
18	北岸	0.008406	0.0029	2.9251
19	坡度	0.008204	0.0063	1.2977
20	水体	0.008155	0.0029	2.8381
21	陆域	0.008118	0.0023	3.5313
22	张贴	0.007983	0.0017	4.6299
23	判定	0.007667	0.0057	1.3340
24	地段	0.007510	0.0069	1.0889
25	南岸	0.006944	0.0023	3.0204
26	满堂	0.006787	0.0017	3.9367
27	责任人	0.006524	0.0023	2.8381
28	超大	0.005904	0.0034	1.7121
29	环号	0.005863	0.0023	2.5504
30	左线	0.005565	0.0063	0.8804
31	马骝	0.005322	0.0011	4.6299
32	标准化	0.005306	0.0034	1.5388
33	确认	0.004843	0.0029	1.6854
34	设施	0.004811	0.0046	1.0463
35	转换	0.004797	0.0034	1.3912
36	防范措施	0.004577	0.0023	1.9908
37	下调	0.004525	0.0011	3.9367
38	干道	0.004525	0.0011	3.9367
39	研判	0.004509	0.0017	2.6150
40	附录	0.004418	0.0023	1.9218
41	第卷	0.004397	0.0017	2.5504
42	预控	0.004397	0.0017	2.5504
43	规范	0.004384	0.0075	0.5868
44	评估	0.004347	0.0121	0.3602
45	污水	0.004270	0.0023	1.8573
46	告知	0.004268	0.0011	3.7136
47	第期	0.004101	0.0017	2.3786
48	到达	0.004088	0.0052	0.7904
49	自来水管	0.004059	0.0011	3.5313
50	珠海	0.003882	0.0011	3.3771
51	井后	0.003882	0.0011	3.3771
52	交底	0.003644	0.0023	1.5853
53	道路	0.003608	0.0034	1.0463
54	砂岩	0.003590	0.0023	1.5618
55	始发	0.003579	0.0069	0.5190
56	淤泥	0.003579	0.0029	1.2455
57	段长	0.003472	0.0011	3.0204
58	管理层	0.003472	0.0011	3.0204
59	纵断面	0.003372	0.0017	1.9557
60	铁建	0.003362	0.0011	2.9251
61	分级	0.003337	0.0023	1.4518
62	里程	0.003223	0.0040	0.8012
63	督促	0.003170	0.0011	2.7581
64	为级	0.003098	0.0017	1.7966
65	调配	0.003085	0.0011	2.6840
66	责任	0.002952	0.0017	1.7121
67	划分	0.002947	0.0046	0.6409
68	纳入	0.002932	0.0011	2.5504
69	负责	0.002906	0.0017	1.6854
70	横断面	0.002862	0.0011	2.4898
71	环数	0.002862	0.0011	2.4898
72	随时	0.002693	0.0017	1.5618
73	源头	0.002675	0.0011	2.3273
74	张俊伟	0.002661	0.0006	4.6299
75	杨艺益	0.002661	0.0006	4.6299
76	图使	0.002661	0.0006	4.6299
77	设南	0.002661	0.0006	4.6299
78	但施	0.002661	0.0006	4.6299
79	至右线	0.002661	0.0006	4.6299
80	撤场	0.002661	0.0006	4.6299
