Rank	Word	TF-IDF	TF	IDF
1	玻璃纤维	0.128707	0.0426	3.0204
2	围护结构	0.031622	0.0176	1.7966
3	箱梁	0.030047	0.0093	3.2436
4	钢筋	0.029793	0.0259	1.1486
5	节段	0.019566	0.0046	4.2244
6	破除	0.015303	0.0074	2.0649
7	裂纹	0.014478	0.0046	3.1258
8	吊点	0.012019	0.0037	3.2436
9	起吊	0.010779	0.0046	2.3273
10	南延段	0.010320	0.0028	3.7136
11	普通	0.009368	0.0056	1.6854
12	机磨	0.008578	0.0019	4.6299
13	复合材料	0.008578	0.0019	4.6299
14	光辉	0.008578	0.0019	4.6299
15	刘小东	0.008578	0.0019	4.6299
16	于学义	0.008578	0.0019	4.6299
17	移动式	0.008578	0.0019	4.6299
18	预制	0.008187	0.0046	1.7677
19	维筋	0.007827	0.0019	4.2244
20	钟志全	0.007827	0.0019	4.2244
21	柳林	0.007827	0.0019	4.2244
22	主吊	0.007827	0.0019	4.2244
23	四号线	0.007665	0.0028	2.7581
24	李飞	0.007294	0.0019	3.9367
25	主筋	0.007294	0.0019	3.9367
26	模板	0.006919	0.0028	2.4898
27	纤维	0.006880	0.0019	3.7136
28	缠绕	0.006880	0.0019	3.7136
29	连续	0.006558	0.0093	0.7079
30	高强	0.006542	0.0019	3.5313
31	试吊	0.006542	0.0019	3.5313
32	吊装	0.006535	0.0046	1.4110
33	代替	0.006468	0.0028	2.3273
34	洞门	0.006299	0.0056	1.1334
35	十九	0.005791	0.0019	3.1258
36	玻璃	0.005791	0.0019	3.1258
37	搭接	0.005791	0.0019	3.1258
38	绑扎	0.005791	0.0019	3.1258
39	组合	0.005663	0.0056	1.0189
40	吊车	0.005596	0.0019	3.0204
41	车站	0.005371	0.0056	0.9663
42	型号	0.005341	0.0028	1.9218
43	始发	0.005288	0.0102	0.5190
44	洪积	0.005258	0.0019	2.8381
45	广州	0.005249	0.0046	1.1334
46	mm	0.004794	0.0051	0.9410
47	工艺	0.004783	0.0046	1.0326
48	加工	0.004613	0.0019	2.4898
49	存放	0.004312	0.0019	2.3273
50	德林	0.004289	0.0009	4.6299
51	四南三标	0.004289	0.0009	4.6299
52	Glass	0.004289	0.0009	4.6299
53	Reinforced	0.004289	0.0009	4.6299
54	Polymer	0.004289	0.0009	4.6299
55	GFRP	0.004289	0.0009	4.6299
56	以高	0.004289	0.0009	4.6299
57	基体	0.004289	0.0009	4.6299
58	陆交	0.004289	0.0009	4.6299
59	及冲	0.004289	0.0009	4.6299
60	辅助剂	0.004289	0.0009	4.6299
61	在力	0.004289	0.0009	4.6299
62	因其为	0.004289	0.0009	4.6299
63	模性	0.004289	0.0009	4.6299
64	蒋小	0.004289	0.0009	4.6299
65	风控	0.004289	0.0009	4.6299
66	两幅	0.004289	0.0009	4.6299
67	笼中	0.004289	0.0009	4.6299
68	洞施	0.004289	0.0009	4.6299
69	螺纹钢筋	0.004289	0.0009	4.6299
70	Dmm	0.004289	0.0009	4.6299
71	大一	0.004289	0.0009	4.6299
72	结疤	0.004289	0.0009	4.6299
73	各土	0.004289	0.0009	4.6299
74	脚趾	0.004289	0.0009	4.6299
75	工字形	0.004289	0.0009	4.6299
76	李光鑫	0.004289	0.0009	4.6299
77	制得	0.004289	0.0009	4.6299
78	抗张	0.004289	0.0009	4.6299
79	堆存	0.004289	0.0009	4.6299
80	堆压	0.004289	0.0009	4.6299
