Rank	Word	TF-IDF	TF	IDF
1	燃气	0.027361	0.0112	2.4326
2	管线	0.023180	0.0440	0.5272
3	监测点	0.022613	0.0184	1.2287
4	粘土	0.019163	0.0123	1.5618
5	土仓	0.013190	0.0133	0.9923
6	粉土	0.012224	0.0082	1.4944
7	长虹	0.012076	0.0031	3.9367
8	段落	0.011964	0.0041	2.9251
9	材质	0.009949	0.0041	2.4326
10	延政	0.009468	0.0020	4.6299
11	下行	0.008973	0.0031	2.9251
12	粉质	0.008101	0.0092	0.8804
13	固区	0.008051	0.0020	3.9367
14	亚军	0.007594	0.0020	3.7136
15	砂质	0.007230	0.0041	1.7677
16	经理世界	0.007221	0.0020	3.5313
17	粘质	0.007221	0.0020	3.5313
18	线为	0.007221	0.0020	3.5313
19	监测数据	0.006916	0.0072	0.9663
20	梁荣柱	0.006906	0.0020	3.3771
21	隆沉	0.006633	0.0020	3.2436
22	阀门	0.006392	0.0020	3.1258
23	第一层	0.006392	0.0020	3.1258
24	桥梁工程	0.006177	0.0020	3.0204
25	上行	0.006177	0.0020	3.0204
26	黏质	0.005982	0.0020	2.9251
27	承压水	0.005511	0.0031	1.7966
28	常州	0.005489	0.0020	2.6840
29	燃气管	0.005092	0.0020	2.4898
30	流砂	0.005092	0.0020	2.4898
31	统计表	0.004759	0.0020	2.3273
32	常需	0.004734	0.0010	4.6299
33	花园街	0.004734	0.0010	4.6299
34	环监	0.004734	0.0010	4.6299
35	工由	0.004734	0.0010	4.6299
36	交汇处	0.004734	0.0010	4.6299
37	土在动	0.004734	0.0010	4.6299
38	站始	0.004734	0.0010	4.6299
39	前环	0.004734	0.0010	4.6299
40	土再	0.004734	0.0010	4.6299
41	会得	0.004734	0.0010	4.6299
42	安定	0.004734	0.0010	4.6299
43	中华人民	0.004734	0.0010	4.6299
44	共和国	0.004734	0.0010	4.6299
45	行探	0.004734	0.0010	4.6299
46	关闭	0.004659	0.0020	2.2785
47	累计	0.004397	0.0036	1.2287
48	专项	0.004390	0.0031	1.4312
49	路站	0.004386	0.0020	2.1450
50	时若	0.004319	0.0010	4.2244
51	刚出	0.004319	0.0010	4.2244
52	表土层	0.004319	0.0010	4.2244
53	失和	0.004319	0.0010	4.2244
54	时降	0.004319	0.0010	4.2244
55	穿通	0.004319	0.0010	4.2244
56	地向	0.004319	0.0010	4.2244
57	刘干斌	0.004319	0.0010	4.2244
58	李希平	0.004319	0.0010	4.2244
59	两端	0.004146	0.0020	2.0272
60	大道	0.004071	0.0020	1.9908
61	松土	0.004025	0.0010	3.9367
62	工等	0.004025	0.0010	3.9367
63	过时	0.004025	0.0010	3.9367
64	受扰	0.004025	0.0010	3.9367
65	松弛	0.004025	0.0010	3.9367
66	防水层	0.004025	0.0010	3.9367
67	检疫	0.004025	0.0010	3.9367
68	回升	0.004025	0.0010	3.9367
69	张献民	0.004025	0.0010	3.9367
70	PE	0.003797	0.0010	3.7136
71	重塑	0.003797	0.0010	3.7136
72	平滑	0.003797	0.0010	3.7136
73	趋于平稳	0.003797	0.0010	3.7136
74	张润峰	0.003797	0.0010	3.7136
75	唐晓武	0.003797	0.0010	3.7136
76	朱季	0.003797	0.0010	3.7136
77	刘维	0.003797	0.0010	3.7136
78	陶龙光	0.003797	0.0010	3.7136
79	压力	0.003752	0.0194	0.1931
80	埋深	0.003709	0.0061	0.6045
