Rank	Word	TF-IDF	TF	IDF
1	房屋	0.031971	0.0175	1.8265
2	侵入	0.023780	0.0107	2.2320
3	kPa	0.015814	0.0084	1.8890
4	倾斜	0.015166	0.0122	1.2455
5	泥仓	0.014980	0.0038	3.9367
6	桩基础	0.014691	0.0068	2.1450
7	袖阀	0.012959	0.0053	2.4326
8	熊慧灵	0.012860	0.0030	4.2244
9	磨桩	0.012860	0.0030	4.2244
10	段线	0.011305	0.0030	3.7136
11	筑物	0.010631	0.0099	1.0745
12	时仓内	0.010570	0.0023	4.6299
13	断桩	0.009645	0.0023	4.2244
14	环做	0.009645	0.0023	4.2244
15	砂岩	0.009509	0.0061	1.5618
16	剪断	0.008478	0.0023	3.7136
17	出入	0.008162	0.0038	2.1450
18	广州某	0.008062	0.0023	3.5313
19	止浆	0.008062	0.0023	3.5313
20	钢筋	0.007867	0.0068	1.1486
21	贯入度	0.007579	0.0030	2.4898
22	车辆段	0.007405	0.0023	3.2436
23	韩伟	0.007047	0.0015	4.6299
24	陈晓忠	0.007047	0.0015	4.6299
25	煤堆	0.007047	0.0015	4.6299
26	比掘	0.007047	0.0015	4.6299
27	压进	0.006678	0.0023	2.9251
28	建筑物	0.006452	0.0137	0.4710
29	既有	0.006159	0.0099	0.6225
30	高黎颖	0.005992	0.0015	3.9367
31	长沙	0.005850	0.0030	1.9218
32	反循环	0.005652	0.0015	3.7136
33	留在	0.005652	0.0015	3.7136
34	注浆	0.005365	0.0327	0.1640
35	风化	0.005360	0.0061	0.8804
36	湖南	0.004994	0.0023	2.1875
37	用量	0.004897	0.0023	2.1450
38	线长	0.004822	0.0011	4.2244
39	淤泥	0.004739	0.0038	1.2455
40	埋深	0.004601	0.0076	0.6045
41	出场	0.004597	0.0015	3.0204
42	入场	0.004597	0.0015	3.0204
43	桩体	0.004597	0.0015	3.0204
44	制在	0.004597	0.0015	3.0204
45	匀速	0.004545	0.0023	1.9908
46	进时	0.004452	0.0015	2.9251
47	冲洗	0.004452	0.0015	2.9251
48	左右	0.004445	0.0053	0.8344
49	监测数据	0.004412	0.0046	0.9663
50	比重	0.004313	0.0023	1.8890
51	二次	0.004132	0.0061	0.6786
52	每次	0.003971	0.0023	1.7395
53	盘旋	0.003882	0.0015	2.5504
54	埋设	0.003882	0.0015	2.5504
55	监测点	0.003740	0.0030	1.2287
56	间隔	0.003731	0.0023	1.6341
57	倒塌	0.003620	0.0015	2.3786
58	软弱	0.003592	0.0030	1.1799
59	疏散	0.003542	0.0015	2.3273
60	谢子腾	0.003523	0.0008	4.6299
61	以福	0.003523	0.0008	4.6299
62	某线	0.003523	0.0008	4.6299
63	从车	0.003523	0.0008	4.6299
64	前明	0.003523	0.0008	4.6299
65	迎春	0.003523	0.0008	4.6299
66	留置	0.003523	0.0008	4.6299
67	风桥险	0.003523	0.0008	4.6299
68	控梁制	0.003523	0.0008	4.6299
69	泥层	0.003523	0.0008	4.6299
70	转桩	0.003523	0.0008	4.6299
71	或卡	0.003523	0.0008	4.6299
72	口格	0.003523	0.0008	4.6299
73	泥仓压	0.003523	0.0008	4.6299
74	格栅处	0.003523	0.0008	4.6299
75	掉格	0.003523	0.0008	4.6299
76	栅处	0.003523	0.0008	4.6299
77	机保	0.003523	0.0008	4.6299
78	现断	0.003523	0.0008	4.6299
79	体将	0.003523	0.0008	4.6299
80	仓带	0.003523	0.0008	4.6299
