Rank	Word	TF-IDF	TF	IDF
1	RF	0.020184	0.0062	3.2436
2	NSGA	0.015886	0.0034	4.6299
3	拱底	0.014516	0.0054	2.6840
4	PSO	0.013355	0.0040	3.3771
5	OC	0.010564	0.0025	4.2244
6	copula	0.010074	0.0026	3.9367
7	GCBN	0.009827	0.0023	4.2244
8	位移	0.009570	0.0112	0.8571
9	预测	0.008847	0.0122	0.7279
10	LightGBM	0.008616	0.0019	4.6299
11	模型	0.008097	0.0151	0.5355
12	学习	0.006670	0.0046	1.4518
13	边际	0.006639	0.0017	3.9367
14	切口	0.006485	0.0031	2.0649
15	函数	0.006476	0.0051	1.2800
16	算法	0.006439	0.0048	1.3340
17	既有	0.006191	0.0099	0.6225
18	机器	0.006049	0.0033	1.8573
19	本章	0.005722	0.0037	1.5618
20	拟合	0.005613	0.0026	2.1450
21	II	0.005522	0.0034	1.6094
22	尾部	0.005235	0.0022	2.4326
23	姿态	0.005051	0.0070	0.7178
24	RMSE	0.005037	0.0013	3.9367
25	贝叶斯	0.004854	0.0035	1.3912
26	目标	0.004692	0.0057	0.8232
27	俯仰角	0.004321	0.0013	3.3771
28	SVM	0.004321	0.0013	3.3771
29	节点	0.004185	0.0033	1.2626
30	变量	0.004087	0.0026	1.5618
31	高斯	0.003961	0.0014	2.8381
32	训练	0.003873	0.0016	2.3786
33	网络	0.003743	0.0037	1.0055
34	种群	0.003663	0.0009	3.9367
35	最优	0.003546	0.0024	1.4518
36	横向	0.003524	0.0028	1.2626
37	表示	0.003482	0.0040	0.8804
38	输出	0.003465	0.0018	1.9218
39	支配	0.003439	0.0008	4.2244
40	优化	0.003304	0.0079	0.4177
41	输入	0.003293	0.0023	1.4518
42	帕累托	0.003231	0.0007	4.6299
43	竖向	0.003230	0.0030	1.0889
44	转角	0.003194	0.0012	2.6150
45	粒子	0.003162	0.0010	3.0204
46	BP	0.003115	0.0014	2.2320
47	样本	0.003030	0.0017	1.7966
48	相关系数	0.002978	0.0013	2.3273
49	maxdepth	0.002962	0.0006	4.6299
50	决策树	0.002946	0.0009	3.3771
51	非线性	0.002926	0.0016	1.7966
52	bar	0.002915	0.0013	2.2785
53	个体	0.002896	0.0012	2.4898
54	框架	0.002774	0.0018	1.5388
55	千斤顶	0.002708	0.0019	1.4110
56	fitness	0.002702	0.0006	4.2244
57	解集	0.002702	0.0006	4.2244
58	分布	0.002656	0.0051	0.5190
59	数据	0.002598	0.0075	0.3463
60	Normal	0.002592	0.0007	3.7136
61	森林	0.002553	0.0008	3.3771
62	遗传算法	0.002452	0.0008	3.2436
63	Copula	0.002452	0.0008	3.2436
64	基于	0.002451	0.0068	0.3602
65	推力	0.002437	0.0033	0.7483
66	回归	0.002436	0.0010	2.3273
67	健康	0.002390	0.0014	1.7121
68	土仓	0.002251	0.0023	0.9923
69	of	0.002234	0.0043	0.5190
70	垂直	0.002231	0.0025	0.8922
71	寻优	0.002211	0.0005	4.2244
72	Zhang	0.002200	0.0011	1.9908
73	the	0.002184	0.0040	0.5523
74	映射	0.002172	0.0009	2.4898
75	nestimators	0.002154	0.0005	4.6299
76	radmin	0.002154	0.0005	4.6299
77	平均值	0.002148	0.0014	1.5388
78	kN	0.002142	0.0011	1.9908
79	方向	0.002135	0.0058	0.3672
80	推理	0.002124	0.0011	1.9218
