Rank	Word	TF-IDF	TF	IDF
1	信息化	0.029154	0.0219	1.3340
2	经理部	0.027314	0.0090	3.0204
3	界面	0.022023	0.0121	1.8265
4	预警	0.021273	0.0226	0.9410
5	消警	0.018628	0.0053	3.5313
6	管理系统	0.018003	0.0090	1.9908
7	承包单位	0.017800	0.0045	3.9367
8	阈值	0.015561	0.0075	2.0649
9	需求	0.013305	0.0121	1.1035
10	PC	0.011778	0.0038	3.1258
11	预设	0.011381	0.0038	3.0204
12	三级	0.010916	0.0068	1.6094
13	总公司	0.010644	0.0030	3.5313
14	架构	0.010302	0.0045	2.2785
15	推送	0.009777	0.0030	3.2436
16	审批	0.009514	0.0045	2.1041
17	层面	0.009176	0.0053	1.7395
18	工点	0.009105	0.0030	3.0204
19	填报	0.008900	0.0023	3.9367
20	施工单位	0.008656	0.0075	1.1486
21	人机界面	0.008395	0.0023	3.7136
22	显示	0.008316	0.0075	1.1035
23	担任	0.007635	0.0023	3.3771
24	影像	0.007635	0.0023	3.3771
25	公司	0.007209	0.0060	1.1959
26	平台	0.007018	0.0060	1.1641
27	papers	0.006978	0.0015	4.6299
28	十几台	0.006978	0.0015	4.6299
29	承包单	0.006978	0.0015	4.6299
30	橙色	0.006828	0.0023	3.0204
31	切换	0.006416	0.0023	2.8381
32	处置	0.006290	0.0045	1.3912
33	角色	0.006235	0.0023	2.7581
34	负责人	0.006001	0.0030	1.9908
35	采集	0.005973	0.0038	1.5853
36	便利性	0.005933	0.0015	3.9367
37	层级	0.005598	0.0030	1.8573
38	召开	0.005500	0.0023	2.4326
39	黄色	0.005500	0.0023	2.4326
40	人机	0.005322	0.0015	3.5313
41	组建	0.005090	0.0015	3.3771
42	至关	0.005090	0.0015	3.3771
43	起到	0.004989	0.0045	1.1035
44	部门	0.004957	0.0038	1.3157
45	红色	0.004945	0.0023	2.1875
46	组织	0.004937	0.0068	0.7279
47	管理	0.004920	0.0271	0.1813
48	进度	0.004823	0.0038	1.2800
49	所属	0.004757	0.0023	2.1041
50	初始	0.004731	0.0045	1.0463
51	服务	0.004571	0.0030	1.5163
52	职能	0.004552	0.0015	3.0204
53	PLC	0.004409	0.0015	2.9251
54	构成	0.004386	0.0038	1.1641
55	前述	0.004277	0.0015	2.8381
56	机上	0.004277	0.0015	2.8381
57	工区	0.004277	0.0015	2.8381
58	监管	0.004271	0.0023	1.8890
59	对系统	0.004157	0.0015	2.7581
60	信息	0.003976	0.0060	0.6596
61	功能	0.003928	0.0045	0.8687
62	划分	0.003864	0.0060	0.6409
63	项目经理	0.003844	0.0015	2.5504
64	纠偏	0.003704	0.0030	1.2287
65	逻辑关系	0.003585	0.0015	2.3786
66	管理人员	0.003509	0.0030	1.1641
67	必不可少	0.003508	0.0015	2.3273
68	朱霆轩	0.003489	0.0008	4.6299
69	投资方	0.003489	0.0008	4.6299
70	这对盾	0.003489	0.0008	4.6299
71	内文	0.003489	0.0008	4.6299
72	按级	0.003489	0.0008	4.6299
73	脱纯	0.003489	0.0008	4.6299
74	界面设计	0.003489	0.0008	4.6299
75	真空地带	0.003489	0.0008	4.6299
76	析会	0.003489	0.0008	4.6299
77	翅膀	0.003489	0.0008	4.6299
78	李玫	0.003489	0.0008	4.6299
79	智能建筑	0.003489	0.0008	4.6299
80	王翠军	0.003489	0.0008	4.6299
