Rank	Word	TF-IDF	TF	IDF
1	管线	0.038507	0.0730	0.5272
2	正交	0.036370	0.0146	2.4898
3	平行	0.027335	0.0165	1.6594
4	管隧	0.019694	0.0047	4.2244
5	侧向	0.019037	0.0087	2.1875
6	pipeline	0.017487	0.0056	3.1258
7	时期	0.016649	0.0075	2.2320
8	pipelines	0.013142	0.0044	3.0204
9	各点	0.010910	0.0037	2.9251
10	安全区	0.009788	0.0025	3.9367
11	安全等级	0.009512	0.0037	2.5504
12	of	0.009356	0.0180	0.5190
13	三维图	0.009191	0.0022	4.2244
14	settlement	0.008790	0.0050	1.7677
15	Fig	0.008510	0.0044	1.9557
16	orthogonal	0.007683	0.0022	3.5313
17	柳程柱	0.007341	0.0019	3.9367
18	沉降	0.007338	0.0448	0.1640
19	parallel	0.007057	0.0022	3.2436
20	深处	0.007057	0.0022	3.2436
21	the	0.006180	0.0112	0.5523
22	工况	0.006028	0.0050	1.2121
23	mm	0.005849	0.0062	0.9410
24	各点会	0.005756	0.0012	4.6299
25	模拟	0.005746	0.0065	0.8804
26	监测点	0.005346	0.0044	1.2287
27	拟合	0.005333	0.0025	2.1450
28	adjacent	0.005333	0.0025	2.1450
29	埋深	0.005261	0.0087	0.6045
30	交点	0.005248	0.0016	3.3771
31	period	0.005143	0.0019	2.7581
32	buried	0.005143	0.0019	2.7581
33	pipelinesJ	0.004894	0.0012	3.9367
34	相同	0.004626	0.0047	0.9923
35	距离	0.004538	0.0093	0.4867
36	Gauss	0.004317	0.0009	4.6299
37	较管	0.004317	0.0009	4.6299
38	百分点	0.004317	0.0009	4.6299
39	中间状态	0.004317	0.0009	4.6299
40	变形	0.004274	0.0146	0.2926
41	破坏	0.004258	0.0071	0.5956
42	先后	0.004079	0.0019	2.1875
43	轴心	0.003939	0.0009	4.2244
44	levels	0.003869	0.0016	2.4898
45	第二	0.003716	0.0025	1.4944
46	burial	0.003671	0.0009	3.9367
47	边界	0.003667	0.0022	1.6854
48	缩小	0.003637	0.0012	2.9251
49	规律	0.003463	0.0040	0.8571
50	Journal	0.003384	0.0031	1.0889
51	and	0.003281	0.0065	0.5027
52	depth	0.003251	0.0012	2.6150
53	ZHANG	0.003244	0.0019	1.7395
54	正上方	0.003171	0.0012	2.5504
55	deformation	0.003150	0.0016	2.0272
56	临界点	0.003149	0.0009	3.3771
57	扰动	0.003138	0.0056	0.5608
58	固结	0.003070	0.0022	1.4110
59	Rock	0.002986	0.0016	1.9218
60	Chinese	0.002957	0.0012	2.3786
61	Mechanics	0.002936	0.0016	1.8890
62	final	0.002914	0.0009	3.1258
63	stabilization	0.002878	0.0006	4.6299
64	当管	0.002878	0.0006	4.6299
65	arrangement	0.002878	0.0006	4.6299
66	深沉	0.002878	0.0006	4.6299
67	圆弧形	0.002878	0.0006	4.6299
68	面前	0.002833	0.0012	2.2785
69	underground	0.002828	0.0019	1.5163
70	different	0.002792	0.0016	1.7966
71	最终	0.002705	0.0050	0.5439
72	et	0.002672	0.0025	1.0745
73	al	0.002636	0.0025	1.0603
74	管晓明	0.002626	0.0006	4.2244
75	Finno	0.002626	0.0006	4.2244
76	Sectional	0.002626	0.0006	4.2244
77	剖面图	0.002616	0.0012	2.1041
78	Soil	0.002616	0.0012	2.1041
79	公式	0.002567	0.0025	1.0326
80	永华	0.002447	0.0006	3.9367
