Rank	Word	TF-IDF	TF	IDF
1	泥浆	0.005999	0.0056	1.0745
2	救援	0.005985	0.0030	1.9908
3	箱涵	0.005774	0.0023	2.4898
4	泥水	0.005160	0.0065	0.7904
5	应急	0.004655	0.0060	0.7797
6	制浆	0.004296	0.0014	3.1258
7	密封环	0.003628	0.0009	4.2244
8	负责	0.003474	0.0021	1.6854
9	前移	0.003336	0.0010	3.3771
10	业主	0.003316	0.0015	2.1450
11	托架	0.003286	0.0013	2.5504
12	工字钢	0.003243	0.0011	3.0204
13	钢板	0.003112	0.0018	1.7677
14	成品	0.003065	0.0009	3.2436
15	粘度	0.002925	0.0010	2.8381
16	风量	0.002903	0.0007	4.2244
17	ZX	0.002871	0.0008	3.7136
18	焊接	0.002824	0.0019	1.4944
19	文明	0.002738	0.0011	2.5504
20	净化	0.002721	0.0006	4.2244
21	物资	0.002701	0.0015	1.7966
22	密封条	0.002685	0.0009	3.1258
23	洞门	0.002628	0.0023	1.1334
24	拼装	0.002597	0.0040	0.6502
25	组织	0.002563	0.0035	0.7279
26	预埋	0.002554	0.0011	2.3786
27	帘布	0.002421	0.0009	2.6840
28	粘贴	0.002416	0.0008	3.1258
29	抢救	0.002392	0.0006	3.7136
30	保证体系	0.002358	0.0006	4.2244
31	保养	0.002316	0.0014	1.6341
32	质检	0.002282	0.0007	3.1258
33	指挥	0.002264	0.0011	2.0272
34	责任制	0.002261	0.0008	2.9251
35	防汛	0.002175	0.0006	3.3771
36	密封	0.002153	0.0029	0.7483
37	检查	0.002153	0.0033	0.6596
38	计划	0.002129	0.0022	0.9536
39	分离	0.002119	0.0010	2.1450
40	项目经理	0.002081	0.0008	2.5504
41	道工序	0.002073	0.0006	3.7136
42	立即	0.002054	0.0014	1.4944
43	负责人	0.002052	0.0010	1.9908
44	有关	0.002038	0.0018	1.1035
45	防水	0.002030	0.0019	1.0745
46	创优	0.001996	0.0005	4.2244
47	管片	0.001949	0.0101	0.1931
48	塌方	0.001933	0.0013	1.4518
49	始发	0.001917	0.0037	0.5190
50	切口	0.001862	0.0009	2.0649
51	风管	0.001860	0.0005	3.9367
52	储浆	0.001820	0.0005	3.5313
53	抢险	0.001818	0.0007	2.4898
54	雨季	0.001818	0.0007	2.4898
55	安装	0.001812	0.0031	0.5781
56	畅通	0.001811	0.0006	3.2436
57	工程质量	0.001810	0.0011	1.6854
58	橡胶	0.001799	0.0008	2.3273
59	生产	0.001794	0.0018	1.0189
60	控制系统	0.001785	0.0008	2.1875
61	固定	0.001783	0.0014	1.2977
62	领导小组	0.001777	0.0006	2.7581
63	监理	0.001759	0.0014	1.2800
64	端面	0.001754	0.0005	3.7136
65	事故现场	0.001754	0.0005	3.7136
66	钢环	0.001745	0.0006	3.1258
67	质量保证	0.001740	0.0005	3.3771
68	事故	0.001686	0.0047	0.3602
69	合格	0.001683	0.0012	1.4518
70	堵漏	0.001672	0.0005	3.2436
71	筛分	0.001668	0.0005	3.5313
72	导轨	0.001633	0.0006	2.9251
73	警戒	0.001633	0.0006	2.9251
74	注浆	0.001605	0.0098	0.1640
75	槽内	0.001595	0.0004	3.7136
76	口字件	0.001591	0.0003	4.6299
77	风筒	0.001591	0.0003	4.6299
78	洞内	0.001576	0.0011	1.4110
79	严格控制	0.001532	0.0015	1.0189
80	调浆	0.001522	0.0004	3.9367
