Rank	Word	TF-IDF	TF	IDF
1	宿舍楼	0.027093	0.0064	4.2244
2	交互	0.024612	0.0108	2.2785
3	化肥厂	0.021880	0.0047	4.6299
4	多源	0.020391	0.0068	3.0204
5	PLC	0.019748	0.0068	2.9251
6	坐标	0.016614	0.0076	2.1875
7	CAD	0.013288	0.0034	3.9367
8	移动	0.012986	0.0084	1.5388
9	展示	0.012624	0.0073	1.7395
10	坐标系	0.012535	0.0034	3.7136
11	实时	0.011581	0.0149	0.7797
12	平台	0.011003	0.0095	1.1641
13	底图	0.010940	0.0024	4.6299
14	济南	0.009710	0.0037	2.6150
15	平面图	0.009427	0.0041	2.3273
16	楼群	0.009377	0.0020	4.6299
17	服务器	0.009120	0.0027	3.3771
18	信息	0.008683	0.0132	0.6596
19	凤洲	0.008556	0.0020	4.2244
20	mobile	0.007973	0.0020	3.9367
21	老旧	0.007899	0.0027	2.9251
22	platform	0.007386	0.0024	3.1258
23	自动化	0.006861	0.0047	1.4518
24	百度	0.006840	0.0020	3.3771
25	interaction	0.006706	0.0024	2.8381
26	Fig	0.006602	0.0034	1.9557
27	剖面图	0.006392	0.0030	2.1041
28	王裴	0.006251	0.0014	4.6299
29	苏宁	0.006251	0.0014	4.6299
30	source	0.006179	0.0024	2.6150
31	房屋	0.006165	0.0034	1.8265
32	data	0.005704	0.0035	1.6094
33	Jinan	0.005700	0.0017	3.3771
34	of	0.005694	0.0110	0.5190
35	real	0.005436	0.0020	2.6840
36	获取	0.005146	0.0047	1.0889
37	地图	0.005098	0.0017	3.0204
38	上传	0.004937	0.0017	2.9251
39	参与	0.004831	0.0034	1.4312
40	数据	0.004792	0.0138	0.3463
41	测点	0.004773	0.0027	1.7677
42	电器	0.004768	0.0014	3.5313
43	中多源	0.004688	0.0010	4.6299
44	开发	0.004688	0.0037	1.2626
45	multi	0.004615	0.0020	2.2785
46	增刊	0.004615	0.0020	2.2785
47	mm	0.004606	0.0049	0.9410
48	图片	0.004380	0.0014	3.2436
49	发展趋势	0.004344	0.0020	2.1450
50	环号	0.004305	0.0017	2.5504
51	time	0.004281	0.0027	1.5853
52	转换	0.004226	0.0030	1.3912
53	筑物	0.004171	0.0039	1.0745
54	自动	0.004110	0.0030	1.3527
55	模块	0.003846	0.0017	2.2785
56	程序	0.003810	0.0027	1.4110
57	详情	0.003761	0.0010	3.7136
58	临近	0.003704	0.0027	1.3718
59	XIE	0.003693	0.0012	3.1258
60	居民	0.003580	0.0020	1.7677
61	settlement	0.003580	0.0020	1.7677
62	沉降	0.003487	0.0213	0.1640
63	核心区	0.003420	0.0010	3.3771
64	手机	0.003420	0.0010	3.3771
65	布设	0.003334	0.0024	1.4110
66	融合	0.003301	0.0017	1.9557
67	报警	0.003188	0.0017	1.8890
68	线王	0.003126	0.0007	4.6299
69	筑物群	0.003126	0.0007	4.6299
70	Peijiaying	0.003126	0.0007	4.6299
71	农行	0.003126	0.0007	4.6299
72	东郊	0.003126	0.0007	4.6299
73	支行	0.003126	0.0007	4.6299
74	昌隆	0.003126	0.0007	4.6299
75	dormitory	0.003126	0.0007	4.6299
76	fertilizer	0.003126	0.0007	4.6299
77	plant	0.003126	0.0007	4.6299
78	概要	0.003126	0.0007	4.6299
79	Lbeck	0.003126	0.0007	4.6299
80	shield	0.003092	0.0049	0.6317
