Rank	Word	TF-IDF	TF	IDF
1	西户	0.024269	0.0057	4.2244
2	铁路	0.012023	0.0165	0.7279
3	上浮	0.009192	0.0072	1.2800
4	阿房宫	0.009101	0.0022	4.2244
5	晋国	0.006650	0.0014	4.6299
6	和平村	0.006650	0.0014	4.6299
7	点前	0.006650	0.0014	4.6299
8	日均	0.006650	0.0014	4.6299
9	铁路局	0.006507	0.0022	3.0204
10	中砂	0.006114	0.0022	2.8381
11	TRANSPOWORLD	0.006067	0.0014	4.2244
12	黄土	0.005719	0.0029	1.9908
13	补强	0.005495	0.0022	2.5504
14	重难点	0.005426	0.0029	1.8890
15	浆液	0.005374	0.0072	0.7483
16	横断面	0.005364	0.0022	2.4898
17	进尺	0.005364	0.0022	2.4898
18	状土	0.005334	0.0014	3.7136
19	测点	0.005078	0.0029	1.7677
20	布设	0.005066	0.0036	1.4110
21	粉质	0.005058	0.0057	0.8804
22	蛇形	0.004850	0.0014	3.3771
23	观测点	0.004659	0.0014	3.2436
24	五号线	0.004489	0.0014	3.1258
25	正下方	0.004489	0.0014	3.1258
26	推进	0.004445	0.0136	0.3258
27	纠偏	0.004412	0.0036	1.2287
28	冲积	0.004338	0.0014	3.0204
29	一环	0.003935	0.0022	1.8265
30	脱出	0.003689	0.0022	1.7121
31	应当	0.003575	0.0022	1.6594
32	黏土	0.003547	0.0043	0.8232
33	管片	0.003536	0.0183	0.1931
34	浮力	0.003416	0.0014	2.3786
35	到达	0.003406	0.0043	0.7904
36	偏南	0.003325	0.0007	4.6299
37	皂河	0.003325	0.0007	4.6299
38	襄阳	0.003325	0.0007	4.6299
39	预设值	0.003325	0.0007	4.6299
40	浆时	0.003325	0.0007	4.6299
41	位阀	0.003325	0.0007	4.6299
42	束缚	0.003325	0.0007	4.6299
43	有缝	0.003325	0.0007	4.6299
44	过多势	0.003325	0.0007	4.6299
45	必会	0.003325	0.0007	4.6299
46	铁路运输	0.003325	0.0007	4.6299
47	切记	0.003325	0.0007	4.6299
48	过激	0.003325	0.0007	4.6299
49	无一失	0.003325	0.0007	4.6299
50	果有	0.003325	0.0007	4.6299
51	内袖阀	0.003325	0.0007	4.6299
52	折叶	0.003325	0.0007	4.6299
53	本标	0.003325	0.0007	4.6299
54	一环和盾	0.003325	0.0007	4.6299
55	位沿	0.003325	0.0007	4.6299
56	为试	0.003325	0.0007	4.6299
57	尾脱	0.003325	0.0007	4.6299
58	后阶	0.003325	0.0007	4.6299
59	环后定	0.003325	0.0007	4.6299
60	认真总结	0.003325	0.0007	4.6299
61	王岚	0.003325	0.0007	4.6299
62	仓容量	0.003325	0.0007	4.6299
63	一仓	0.003325	0.0007	4.6299
64	粗砂	0.003206	0.0014	2.2320
65	环形	0.003142	0.0014	2.1875
66	均衡	0.003142	0.0014	2.1875
67	路自	0.003034	0.0007	4.2244
68	东高西	0.003034	0.0007	4.2244
69	堆积物	0.003034	0.0007	4.2244
70	FG	0.003034	0.0007	4.2244
71	仰角	0.003034	0.0007	4.2244
72	跟不上	0.003034	0.0007	4.2244
73	电气化铁路	0.003034	0.0007	4.2244
74	每排	0.003034	0.0007	4.2244
75	前试	0.003034	0.0007	4.2244
76	每组	0.003034	0.0007	4.2244
77	对应点	0.003034	0.0007	4.2244
78	程和	0.003034	0.0007	4.2244
79	轨迹	0.003022	0.0014	2.1041
80	加密	0.003022	0.0014	2.1041
