Rank	Word	TF-IDF	TF	IDF
1	组装	0.026349	0.0154	1.7121
2	焊接	0.019542	0.0131	1.4944
3	台车	0.018718	0.0089	2.1041
4	焊缝	0.018467	0.0057	3.2436
5	桥式起重	0.018122	0.0039	4.6299
6	盾体	0.012595	0.0075	1.6854
7	吊耳	0.012408	0.0038	3.2436
8	分块	0.011631	0.0044	2.6150
9	钢丝绳	0.011362	0.0040	2.8381
10	物件	0.010522	0.0025	4.2244
11	吊装	0.009916	0.0070	1.4110
12	托架	0.009756	0.0038	2.5504
13	起吊	0.008902	0.0038	2.3273
14	吊钩	0.008055	0.0020	3.9367
15	翻转	0.007929	0.0021	3.7136
16	卷扬机	0.007854	0.0022	3.5313
17	吊具	0.007598	0.0020	3.7136
18	扳手	0.007225	0.0020	3.5313
19	应急	0.007075	0.0091	0.7797
20	指挥	0.006853	0.0034	2.0272
21	四号台	0.006764	0.0016	4.2244
22	螺栓	0.006646	0.0050	1.3340
23	连接	0.006629	0.0083	0.8012
24	后移	0.006597	0.0019	3.5313
25	二号	0.006060	0.0019	3.2436
26	探伤	0.005946	0.0016	3.7136
27	一号	0.005911	0.0020	3.0204
28	卸扣	0.005766	0.0012	4.6299
29	边块	0.005766	0.0012	4.6299
30	安装	0.005605	0.0097	0.5781
31	行走	0.005561	0.0018	3.1258
32	救援	0.005490	0.0028	1.9908
33	三号	0.005410	0.0022	2.4326
34	滑车	0.005354	0.0012	4.6299
35	起重机	0.005350	0.0020	2.6150
36	紧固	0.004964	0.0022	2.2320
37	桥架	0.004885	0.0012	4.2244
38	驱动	0.004585	0.0029	1.5618
39	洞室	0.004537	0.0017	2.6840
40	抢险	0.004430	0.0018	2.4898
41	牵引	0.004416	0.0016	2.7581
42	事故现场	0.004295	0.0012	3.7136
43	伤员	0.004295	0.0012	3.7136
44	预热	0.004119	0.0009	4.6299
45	葫芦	0.004084	0.0012	3.5313
46	斜井	0.004030	0.0013	3.0204
47	负责	0.003898	0.0023	1.6854
48	气动	0.003893	0.0012	3.1258
49	缺陷	0.003875	0.0027	1.4518
50	部件	0.003865	0.0020	1.8890
51	工装	0.003751	0.0012	3.2436
52	不得	0.003744	0.0018	2.1041
53	动载	0.003707	0.0008	4.6299
54	钢板	0.003460	0.0020	1.7677
55	牵引力	0.003456	0.0010	3.5313
56	配套	0.003310	0.0023	1.4312
57	运输	0.003307	0.0032	1.0326
58	吊起	0.003304	0.0009	3.7136
59	查下表为	0.003295	0.0007	4.6299
60	缓慢	0.003293	0.0020	1.6094
61	职责	0.003243	0.0014	2.2785
62	小组	0.003193	0.0017	1.8890
63	试吊	0.003141	0.0009	3.5313
64	打磨	0.003141	0.0009	3.5313
65	事故	0.003140	0.0087	0.3602
66	洞内	0.003138	0.0022	1.4110
67	拆除	0.003103	0.0020	1.5163
68	调圆	0.003006	0.0007	4.2244
69	保证体系	0.003006	0.0007	4.2244
70	确认	0.002999	0.0018	1.6854
71	抢救	0.002973	0.0008	3.7136
72	重量	0.002939	0.0014	2.0649
73	起重	0.002919	0.0013	2.1875
74	吊点	0.002885	0.0009	3.2436
75	组长	0.002885	0.0009	3.2436
76	起落	0.002883	0.0006	4.6299
77	下井	0.002879	0.0012	2.4898
78	定位	0.002805	0.0017	1.6594
79	允许	0.002792	0.0019	1.4944
80	刀盘	0.002788	0.0077	0.3602
