Rank	Word	TF-IDF	TF	IDF
1	本体	0.089119	0.0305	2.9251
2	案例库	0.032190	0.0103	3.1258
3	推理	0.028020	0.0146	1.9218
4	知识	0.023943	0.0170	1.4110
5	规则	0.014656	0.0090	1.6341
6	研宄	0.012971	0.0035	3.7136
7	案例	0.012925	0.0178	0.7279
8	概念	0.010608	0.0078	1.3527
9	查询	0.010425	0.0037	2.8381
10	语义	0.009571	0.0035	2.7581
11	属性	0.008874	0.0052	1.7121
12	形式化	0.008871	0.0024	3.7136
13	相似	0.008778	0.0063	1.3912
14	构建	0.008472	0.0125	0.6786
15	领域	0.006947	0.0075	0.9286
16	重用	0.006210	0.0016	3.9367
17	存储	0.006113	0.0028	2.1875
18	表达	0.005877	0.0039	1.5163
19	共享	0.005701	0.0023	2.4326
20	概念分析	0.004569	0.0011	4.2244
21	节点	0.004438	0.0035	1.2626
22	语言	0.004431	0.0022	2.0272
23	定义	0.004360	0.0037	1.1799
24	用户	0.004143	0.0018	2.3273
25	事件	0.004101	0.0046	0.8922
26	步法	0.003808	0.0009	4.2244
27	子类	0.003726	0.0009	3.9367
28	信息	0.003641	0.0055	0.6596
29	推理机	0.003617	0.0009	4.2244
30	事故	0.003563	0.0099	0.3602
31	活动	0.003554	0.0023	1.5163
32	关系	0.003552	0.0067	0.5272
33	承险体	0.003539	0.0012	3.0204
34	坍塌	0.003381	0.0049	0.6883
35	伤亡	0.003320	0.0018	1.7966
36	分解	0.003070	0.0024	1.2977
37	获取	0.003067	0.0028	1.0889
38	表示	0.003015	0.0034	0.8804
39	父类	0.002856	0.0007	4.2244
40	描述	0.002853	0.0030	0.9663
41	描述语言	0.002839	0.0007	3.9367
42	三元组	0.002665	0.0006	4.2244
43	可视化	0.002587	0.0015	1.7395
44	结构化	0.002586	0.0009	3.0204
45	检索	0.002522	0.0010	2.4326
46	传递	0.002492	0.0017	1.4944
47	内容	0.002460	0.0028	0.8804
48	基于	0.002459	0.0068	0.3602
49	引擎	0.002387	0.0007	3.5313
50	插件	0.002387	0.0007	3.5313
51	创建	0.002358	0.0010	2.3786
52	扩展	0.002348	0.0013	1.7966
53	语句	0.002228	0.0006	3.5313
54	展示	0.002195	0.0013	1.7395
55	实例	0.002155	0.0027	0.7904
56	逻辑	0.002105	0.0012	1.7966
57	图形	0.002098	0.0009	2.3273
58	共享性	0.002094	0.0005	4.2244
59	开发	0.002049	0.0016	1.2626
60	层次结构	0.002043	0.0011	1.8890
61	爆炸	0.002043	0.0011	1.8890
62	水涌	0.002040	0.0015	1.3718
63	扩充	0.002008	0.0005	3.7136
64	支持	0.001994	0.0016	1.2287
65	限制	0.001961	0.0015	1.2800
66	理解	0.001893	0.0010	1.8265
67	概述	0.001873	0.0012	1.5388
68	识别	0.001861	0.0027	0.6883
69	算法	0.001804	0.0014	1.3340
70	一致性	0.001768	0.0014	1.2455
71	促进	0.001760	0.0011	1.5618
72	计算机	0.001751	0.0011	1.5853
73	对象	0.001734	0.0019	0.9163
74	明确性	0.001714	0.0004	4.2244
75	层次	0.001695	0.0018	0.9286
76	术语	0.001674	0.0005	3.3771
77	可拓性	0.001669	0.0004	4.6299
78	伤害	0.001643	0.0010	1.5853
79	工具	0.001616	0.0012	1.3527
80	演化	0.001612	0.0008	2.1041
