Rank	Word	TF-IDF	TF	IDF
1	海河	0.026984	0.0069	3.9367
2	敏捷	0.021157	0.0046	4.6299
3	方针	0.020576	0.0061	3.3771
4	精准	0.015898	0.0091	1.7395
5	重维保	0.014105	0.0030	4.6299
6	柳林	0.012869	0.0030	4.2244
7	勤量	0.012869	0.0030	4.2244
8	理念	0.012116	0.0069	1.7677
9	应急	0.011283	0.0145	0.7797
10	环宇	0.010579	0.0023	4.6299
11	反应	0.009659	0.0061	1.5853
12	穿海	0.008485	0.0023	3.7136
13	护岸	0.008485	0.0023	3.7136
14	工程设计	0.008210	0.0046	1.7966
15	过往	0.007716	0.0023	3.3771
16	河段	0.007142	0.0023	3.1258
17	衣本威	0.007052	0.0015	4.6299
18	河域	0.007052	0.0015	4.6299
19	均衡	0.006664	0.0030	2.1875
20	纠偏	0.006550	0.0053	1.2287
21	路站	0.006535	0.0030	2.1450
22	值班	0.006485	0.0023	2.8381
23	跟班	0.006435	0.0015	4.2244
24	交接班	0.006435	0.0015	4.2244
25	节奏	0.006435	0.0015	4.2244
26	维保	0.005975	0.0023	2.6150
27	天津	0.005860	0.0038	1.5388
28	衬垫	0.005657	0.0015	3.7136
29	及构	0.005657	0.0015	3.7136
30	密封	0.005129	0.0069	0.7483
31	坡度	0.004942	0.0038	1.2977
32	上浮	0.004874	0.0038	1.2800
33	指令	0.004808	0.0023	2.1041
34	可控性	0.004323	0.0015	2.8381
35	物资	0.004105	0.0023	1.7966
36	指导	0.004100	0.0053	0.7691
37	线形	0.004088	0.0015	2.6840
38	宣传	0.003983	0.0015	2.6150
39	切实	0.003983	0.0015	2.6150
40	击穿	0.003885	0.0015	2.5504
41	指标体系	0.003880	0.0038	1.0189
42	覆土	0.003829	0.0038	1.0055
43	测试	0.003792	0.0023	1.6594
44	管理制度	0.003792	0.0023	1.6594
45	演练	0.003705	0.0015	2.4326
46	做到	0.003594	0.0030	1.1799
47	施下	0.003526	0.0008	4.6299
48	中河域	0.003526	0.0008	4.6299
49	基建工程	0.003526	0.0008	4.6299
50	正确认识	0.003526	0.0008	4.6299
51	环出	0.003526	0.0008	4.6299
52	宇道	0.003526	0.0008	4.6299
53	医专	0.003526	0.0008	4.6299
54	工程处	0.003526	0.0008	4.6299
55	台儿庄	0.003526	0.0008	4.6299
56	以粉	0.003526	0.0008	4.6299
57	部有	0.003526	0.0008	4.6299
58	透明化	0.003526	0.0008	4.6299
59	收和下	0.003526	0.0008	4.6299
60	网等	0.003526	0.0008	4.6299
61	已实	0.003526	0.0008	4.6299
62	队长	0.003526	0.0008	4.6299
63	参会	0.003526	0.0008	4.6299
64	复盘	0.003526	0.0008	4.6299
65	接班人	0.003526	0.0008	4.6299
66	边构	0.003526	0.0008	4.6299
67	间或	0.003526	0.0008	4.6299
68	发至	0.003526	0.0008	4.6299
69	至百环	0.003526	0.0008	4.6299
70	百环至	0.003526	0.0008	4.6299
71	对岸	0.003526	0.0008	4.6299
72	及机	0.003526	0.0008	4.6299
73	盘点	0.003526	0.0008	4.6299
74	贾哲	0.003526	0.0008	4.6299
75	辛振省	0.003526	0.0008	4.6299
76	数环	0.003526	0.0008	4.6299
77	管控	0.003419	0.0046	0.7483
78	班组	0.003400	0.0015	2.2320
79	实施	0.003365	0.0061	0.5523
80	水文	0.003362	0.0030	1.1035
