Rank	Word	TF-IDF	TF	IDF
1	爆破	0.059537	0.0278	2.1450
2	别墅	0.045152	0.0098	4.6299
3	硬岩	0.032599	0.0203	1.6094
4	定额	0.031691	0.0075	4.2244
5	海岸	0.022184	0.0053	4.2244
6	消耗量	0.020268	0.0060	3.3771
7	欢乐	0.019501	0.0053	3.7136
8	突起	0.018759	0.0060	3.1258
9	概算	0.014766	0.0038	3.9367
10	换刀	0.013702	0.0075	1.8265
11	红树湾	0.010420	0.0023	4.6299
12	人工湖	0.010420	0.0023	4.6299
13	空推	0.009380	0.0030	3.1258
14	深孔	0.009125	0.0038	2.4326
15	深圳市	0.008358	0.0023	3.7136
16	cm	0.008054	0.0030	2.6840
17	借用	0.007947	0.0023	3.5313
18	费用	0.007604	0.0038	2.0272
19	造价	0.007336	0.0038	1.9557
20	过硬	0.007300	0.0023	3.2436
21	钻孔	0.007159	0.0068	1.0603
22	次数	0.007136	0.0045	1.5853
23	钻头	0.007035	0.0023	3.1258
24	工程车	0.006947	0.0015	4.6299
25	公庙	0.006947	0.0015	4.6299
26	时遇	0.006947	0.0015	4.6299
27	budgetary	0.006947	0.0015	4.6299
28	车公庙	0.006947	0.0015	4.6299
29	工湖	0.006947	0.0015	4.6299
30	非标	0.006947	0.0015	4.6299
31	雷管	0.006947	0.0015	4.6299
32	外放	0.006947	0.0015	4.6299
33	钻机	0.006837	0.0030	2.2785
34	工期	0.006702	0.0083	0.8122
35	地块	0.006583	0.0023	2.9251
36	矿山	0.006351	0.0045	1.4110
37	布孔	0.006338	0.0015	4.2244
38	引孔	0.006338	0.0015	4.2244
39	入岩	0.006338	0.0015	4.2244
40	钻孔机	0.006338	0.0015	4.2244
41	编制	0.006262	0.0045	1.3912
42	岩段	0.005907	0.0015	3.9367
43	择优	0.005907	0.0015	3.9367
44	物业	0.005907	0.0015	3.9367
45	转盘	0.005907	0.0015	3.9367
46	不变	0.005869	0.0030	1.9557
47	全部	0.005795	0.0053	1.1035
48	市场	0.005767	0.0030	1.9218
49	碎裂	0.005603	0.0023	2.4898
50	PY	0.005572	0.0015	3.7136
51	炸药	0.005572	0.0015	3.7136
52	换成	0.005572	0.0015	3.7136
53	竖井	0.005391	0.0030	1.7966
54	下方	0.005240	0.0045	1.1641
55	岩层	0.005240	0.0045	1.1641
56	彭彩波	0.005210	0.0011	4.6299
57	Municipal	0.005067	0.0015	3.3771
58	比选	0.005023	0.0023	2.2320
59	基岩	0.004867	0.0038	1.2977
60	换算	0.004867	0.0015	3.2436
61	封堵	0.004295	0.0030	1.4312
62	预算	0.004258	0.0015	2.8381
63	长约	0.004027	0.0015	2.6840
64	正线	0.003923	0.0015	2.6150
65	二期	0.003923	0.0015	2.6150
66	在建	0.003915	0.0023	1.7395
67	破碎	0.003894	0.0030	1.2977
68	抗压强度	0.003793	0.0023	1.6854
69	我们	0.003793	0.0023	1.6854
70	市政工程	0.003736	0.0015	2.4898
71	hard	0.003650	0.0015	2.4326
72	Estimates	0.003473	0.0008	4.6299
73	AbstractTaking	0.003473	0.0008	4.6299
74	Chegongmiao	0.003473	0.0008	4.6299
75	Hongshuwan	0.003473	0.0008	4.6299
76	estimates	0.003473	0.0008	4.6299
77	choose	0.003473	0.0008	4.6299
78	Keywordsshield	0.003473	0.0008	4.6299
79	estimate	0.003473	0.0008	4.6299
80	车红	0.003473	0.0008	4.6299
