Rank	Word	TF-IDF	TF	IDF
1	定向	0.033745	0.0112	3.0204
2	LZ	0.018411	0.0040	4.6299
3	钢阀	0.014027	0.0030	4.6299
4	超前	0.013573	0.0106	1.2800
5	号线	0.012543	0.0271	0.4632
6	靶点	0.011397	0.0025	4.6299
7	左线	0.010836	0.0123	0.8804
8	既有线	0.009775	0.0047	2.0649
9	钻孔	0.009236	0.0087	1.0603
10	Fig	0.008888	0.0045	1.9557
11	Drilling	0.008767	0.0019	4.6299
12	NOV	0.007999	0.0019	4.2244
13	既有	0.007780	0.0125	0.6225
14	洞内	0.007481	0.0053	1.4110
15	近距离	0.006705	0.0042	1.6094
16	软下	0.006415	0.0044	1.4729
17	Horizontal	0.006399	0.0015	4.2244
18	右线	0.006053	0.0078	0.7797
19	加固	0.005778	0.0193	0.2991
20	注浆	0.005775	0.0352	0.1640
21	花岗岩	0.005655	0.0028	1.9908
22	Diagram	0.005626	0.0015	3.7136
23	化学	0.005528	0.0023	2.4326
24	自动化	0.005498	0.0038	1.4518
25	grouting	0.005405	0.0023	2.3786
26	浆液	0.005384	0.0072	0.7483
27	地铁线	0.005374	0.0019	2.8381
28	水玻璃	0.005374	0.0027	2.0272
29	拱部	0.005349	0.0015	3.5313
30	directional	0.005260	0.0011	4.6299
31	Directional	0.005260	0.0011	4.6299
32	Left	0.005260	0.0011	4.6299
33	YX	0.005260	0.0011	4.6299
34	lines	0.005223	0.0019	2.7581
35	智勇	0.005116	0.0015	3.3771
36	of	0.004914	0.0095	0.5190
37	运营	0.004855	0.0061	0.8012
38	往右	0.004800	0.0011	4.2244
39	Schematic	0.004606	0.0019	2.4326
40	失压	0.004473	0.0011	3.9367
41	Reinforcement	0.004473	0.0011	3.9367
42	Hole	0.004473	0.0011	3.9367
43	Line	0.004423	0.0034	1.2977
44	边线	0.004299	0.0015	2.8381
45	失水	0.004219	0.0011	3.7136
46	ZX	0.004219	0.0011	3.7136
47	在建	0.003953	0.0023	1.7395
48	补勘	0.003883	0.0017	2.2785
49	列车	0.003864	0.0015	2.5504
50	超方	0.003837	0.0011	3.3771
51	Plan	0.003837	0.0011	3.3771
52	Grouting	0.003837	0.0011	3.3771
53	line	0.003771	0.0023	1.6594
54	the	0.003765	0.0068	0.5523
55	风化	0.003667	0.0042	0.8804
56	Vol	0.003639	0.0019	1.9218
57	谨防	0.003507	0.0008	4.6299
58	裹住	0.003507	0.0008	4.6299
59	内约	0.003507	0.0008	4.6299
60	Holes	0.003507	0.0008	4.6299
61	Right	0.003507	0.0008	4.6299
62	隧顶	0.003432	0.0011	3.0204
63	漏气	0.003432	0.0011	3.0204
64	监测技术	0.003381	0.0015	2.2320
65	控制技术	0.003252	0.0023	1.4312
66	under	0.003252	0.0023	1.4312
67	混合	0.003205	0.0021	1.5388
68	云龙	0.003200	0.0008	4.2244
69	面线	0.003200	0.0008	4.2244
70	Advance	0.003200	0.0008	4.2244
71	wss	0.003200	0.0008	4.2244
72	盾体	0.003191	0.0019	1.6854
73	existing	0.003142	0.0019	1.6594
74	Monitoring	0.003134	0.0011	2.7581
75	土木	0.003094	0.0019	1.6341
76	水泥浆	0.003071	0.0015	2.0272
77	水平	0.003018	0.0108	0.2796
78	minimum	0.002982	0.0008	3.9367
79	继发	0.002982	0.0008	3.9367
80	磷酸	0.002982	0.0008	3.9367
