Rank	Word	TF-IDF	TF	IDF
1	二衬	0.016100	0.0053	3.0204
2	衬砌	0.013811	0.0163	0.8457
3	ANP	0.008984	0.0029	3.1258
4	二次	0.008724	0.0129	0.6786
5	DEMATEL	0.008648	0.0031	2.7581
6	台车	0.006927	0.0033	2.1041
7	工人	0.006644	0.0041	1.6094
8	指标	0.006556	0.0137	0.4788
9	元素	0.006009	0.0044	1.3527
10	大连理工大学	0.005718	0.0024	2.3786
11	浇筑	0.005716	0.0026	2.1875
12	模型	0.004450	0.0083	0.5355
13	到位	0.004238	0.0034	1.2287
14	混凝土	0.004146	0.0057	0.7279
15	Ex	0.004099	0.0016	2.4898
16	论文	0.004043	0.0030	1.3340
17	硕士学位	0.004026	0.0024	1.7121
18	Tab	0.003920	0.0013	3.1258
19	矩阵	0.003777	0.0042	0.8922
20	En	0.003588	0.0015	2.3273
21	secondary	0.003390	0.0010	3.2436
22	lining	0.003390	0.0010	3.2436
23	泵管	0.003292	0.0008	3.9367
24	问卷	0.003154	0.0017	1.8573
25	评价	0.003113	0.0059	0.5272
26	绑扎	0.003104	0.0010	3.1258
27	钢筋	0.003001	0.0026	1.1486
28	Fig	0.002964	0.0015	1.9557
29	模板	0.002863	0.0011	2.4898
30	发生器	0.002799	0.0011	2.5504
31	关联	0.002789	0.0021	1.3340
32	二级	0.002705	0.0021	1.2626
33	权重	0.002705	0.0029	0.9410
34	素质	0.002698	0.0013	2.0649
35	光线	0.002584	0.0007	3.5313
36	He	0.002578	0.0012	2.1450
37	指标体系	0.002556	0.0025	1.0189
38	作业	0.002509	0.0049	0.5108
39	违规操作	0.002500	0.0011	2.2785
40	云图	0.002364	0.0014	1.7395
41	of	0.002332	0.0045	0.5190
42	超级	0.002329	0.0006	3.7136
43	坍落度	0.002225	0.0008	2.8381
44	风险管理	0.002204	0.0042	0.5272
45	共性	0.002204	0.0007	3.2436
46	双层	0.002186	0.0008	2.6150
47	材料	0.002172	0.0038	0.5694
48	合并	0.002082	0.0008	2.4898
49	因素	0.002078	0.0101	0.2050
50	感谢	0.002068	0.0009	2.3273
51	装卸	0.002057	0.0005	3.9367
52	出场	0.002052	0.0007	3.0204
53	识别	0.002050	0.0030	0.6883
54	狭小	0.002050	0.0008	2.6150
55	云滴	0.002050	0.0008	2.6150
56	机械设备	0.002041	0.0018	1.1486
57	代表	0.001961	0.0018	1.1035
58	个性	0.001936	0.0004	4.6299
59	对二衬	0.001936	0.0004	4.6299
60	关系	0.001929	0.0037	0.5272
61	施作	0.001907	0.0008	2.4326
62	专家	0.001895	0.0031	0.6045
63	构建	0.001880	0.0028	0.6786
64	数字	0.001879	0.0011	1.6341
65	评估	0.001873	0.0052	0.3602
66	承担	0.001834	0.0009	2.0649
67	噪音	0.001824	0.0008	2.3273
68	一级	0.001810	0.0018	1.0189
69	and	0.001734	0.0034	0.5027
70	Cloud	0.001730	0.0006	2.7581
71	安全意识	0.001720	0.0012	1.4312
72	the	0.001703	0.0031	0.5523
73	不合理	0.001697	0.0013	1.3527
74	固定	0.001695	0.0013	1.2977
75	锁链	0.001694	0.0004	4.6299
76	网络结构	0.001691	0.0007	2.4898
77	输送	0.001690	0.0009	1.7966
78	ij	0.001673	0.0013	1.3340
79	Cij	0.001646	0.0004	3.9367
80	人员	0.001634	0.0043	0.3814
