Rank	Word	TF-IDF	TF	IDF
1	套筒	0.088270	0.0387	2.2785
2	接收	0.024077	0.0313	0.7691
3	主应力	0.017295	0.0049	3.5313
4	犀浦站	0.012957	0.0028	4.6299
5	门盖端	0.012477	0.0027	4.6299
6	基座	0.010398	0.0059	1.7677
7	应力	0.009927	0.0096	1.0326
8	钢套	0.009852	0.0023	4.2244
9	学位	0.009672	0.0056	1.7121
10	六号	0.008968	0.0025	3.5313
11	围护结构	0.008473	0.0047	1.7966
12	研究生	0.008320	0.0056	1.4729
13	靠近	0.008267	0.0043	1.9218
14	西南	0.008117	0.0058	1.4110
15	破除	0.008080	0.0039	2.0649
16	门盖	0.007918	0.0017	4.6299
17	论文	0.007882	0.0059	1.3340
18	钢轨	0.007533	0.0024	3.1258
19	筒拱	0.007438	0.0016	4.6299
20	洞门	0.007372	0.0065	1.1334
21	评价	0.007309	0.0139	0.5272
22	int	0.006325	0.0016	3.9367
23	开放	0.006235	0.0029	2.1875
24	硕士	0.005837	0.0058	1.0055
25	位移	0.005442	0.0063	0.8571
26	QVectorfloat	0.005039	0.0011	4.6299
27	对钢	0.004817	0.0011	4.2244
28	size	0.004575	0.0013	3.5313
29	ret	0.004559	0.0010	4.6299
30	筒体	0.004551	0.0013	3.3771
31	模糊	0.004502	0.0052	0.8687
32	sleeve	0.004160	0.0010	4.2244
33	权重	0.003975	0.0042	0.9410
34	成都	0.003966	0.0029	1.3912
35	评判	0.003783	0.0026	1.4312
36	竖向	0.003640	0.0033	1.0889
37	监测点	0.003502	0.0029	1.2287
38	算子	0.003467	0.0017	2.0272
39	输入	0.003461	0.0024	1.4518
40	resultTable	0.003359	0.0007	4.6299
41	隶属	0.003338	0.0023	1.4312
42	大学	0.003192	0.0060	0.5355
43	steel	0.003026	0.0009	3.2436
44	中部	0.002992	0.0015	1.9908
45	FLAC	0.002690	0.0008	3.2436
46	return	0.002652	0.0007	3.9367
47	从图	0.002607	0.0015	1.7966
48	拱顶	0.002585	0.0020	1.2626
49	评语	0.002563	0.0012	2.1041
50	附近	0.002473	0.0023	1.0603
51	行为	0.002455	0.0019	1.3157
52	receiving	0.002430	0.0008	3.1258
53	端拱	0.002400	0.0005	4.6299
54	端的	0.002353	0.0008	2.8381
55	三级	0.002294	0.0014	1.6094
56	维持	0.002290	0.0013	1.7677
57	所受	0.002196	0.0006	3.5313
58	四级	0.002168	0.0008	2.6150
59	Calculat	0.002160	0.0005	4.6299
60	QVectorQVectorfloat	0.002160	0.0005	4.6299
61	resultSubTable	0.002160	0.0005	4.6299
62	很小	0.002112	0.0010	2.1450
63	力学	0.002101	0.0027	0.7797
64	下端	0.002100	0.0006	3.3771
65	一级	0.002086	0.0020	1.0189
66	指标	0.002072	0.0043	0.4788
67	一半	0.002033	0.0008	2.6150
68	冷冻	0.002017	0.0008	2.4326
69	增大	0.001968	0.0022	0.9042
70	合成	0.001963	0.0009	2.1041
71	左右	0.001946	0.0023	0.8344
72	五级	0.001936	0.0008	2.4898
73	示意图	0.001923	0.0018	1.0603
74	端盖	0.001922	0.0005	3.5313
75	筒身	0.001920	0.0004	4.6299
76	colR	0.001920	0.0004	4.6299
77	rowR	0.001920	0.0004	4.6299
78	对象	0.001900	0.0021	0.9163
79	上端	0.001836	0.0005	3.9367
80	中后期	0.001751	0.0004	4.2244
