Rank	Word	TF-IDF	TF	IDF
1	硬岩	0.018231	0.0113	1.6094
2	石油大学	0.007126	0.0021	3.3771
3	复合式	0.006854	0.0034	1.9908
4	死亡	0.005976	0.0031	1.9218
5	华东	0.005381	0.0021	2.5504
6	强硬	0.005160	0.0012	4.2244
7	路站	0.005121	0.0024	2.1450
8	砖房	0.004590	0.0012	3.9367
9	矩阵	0.004558	0.0051	0.8922
10	青岛	0.004401	0.0028	1.5853
11	峨眉山	0.003935	0.0010	3.9367
12	号线	0.003755	0.0081	0.4632
13	简易	0.003725	0.0011	3.5313
14	硕士学位	0.003708	0.0022	1.7121
15	长距离	0.003407	0.0026	1.3340
16	富春江	0.003279	0.0008	3.9367
17	权重	0.003187	0.0034	0.9410
18	论文	0.003185	0.0024	1.3340
19	简易房	0.003085	0.0007	4.6299
20	岩段	0.003060	0.0008	3.9367
21	RBS	0.003041	0.0016	1.9218
22	始发	0.002939	0.0057	0.5190
23	符合要求	0.002915	0.0013	2.1875
24	WBS	0.002890	0.0016	1.8265
25	凝灰岩	0.002745	0.0008	3.5313
26	分解	0.002738	0.0021	1.2977
27	小净	0.002702	0.0008	3.2436
28	向量	0.002666	0.0019	1.3718
29	风险管理	0.002576	0.0049	0.5272
30	评价	0.002576	0.0049	0.5272
31	坍塌	0.002561	0.0037	0.6883
32	不当	0.002522	0.0029	0.8571
33	接收	0.002477	0.0032	0.7691
34	人员伤亡	0.002418	0.0017	1.4518
35	max	0.002370	0.0018	1.3340
36	满足要求	0.002318	0.0013	1.7395
37	朝阳路	0.002314	0.0005	4.6299
38	判断	0.002213	0.0039	0.5694
39	刀具	0.002186	0.0032	0.6786
40	软下	0.002126	0.0014	1.4729
41	工地	0.002103	0.0010	2.1041
42	第三层	0.002063	0.0006	3.3771
43	hard	0.002026	0.0008	2.4326
44	运营	0.002002	0.0025	0.8012
45	指标	0.001994	0.0042	0.4788
46	智慧	0.001938	0.0008	2.3273
47	模糊	0.001929	0.0022	0.8687
48	rock	0.001883	0.0011	1.7395
49	of	0.001816	0.0035	0.5190
50	卡盾体	0.001800	0.0004	4.6299
51	联络	0.001799	0.0012	1.4729
52	贯入度	0.001797	0.0007	2.4898
53	TBM	0.001773	0.0012	1.4518
54	钱塘江	0.001765	0.0005	3.5313
55	正穿	0.001749	0.0004	3.9367
56	工序	0.001716	0.0016	1.1035
57	composite	0.001677	0.0006	3.0204
58	识别	0.001605	0.0023	0.6883
59	刀盘	0.001600	0.0044	0.3602
60	破碎	0.001585	0.0012	1.2977
61	参建	0.001585	0.0007	2.3786
62	阶段	0.001579	0.0042	0.3743
63	二层	0.001569	0.0004	3.5313
64	膜袋	0.001542	0.0003	4.6299
65	洞门	0.001510	0.0013	1.1334
66	伤害	0.001496	0.0009	1.5853
67	层次	0.001495	0.0016	0.9286
68	坠落	0.001463	0.0007	2.0272
69	问卷	0.001444	0.0008	1.8573
70	the	0.001426	0.0026	0.5523
71	调查	0.001418	0.0016	0.8804
72	跨段	0.001407	0.0003	4.2244
73	加固	0.001395	0.0047	0.2991
74	卡机	0.001389	0.0004	3.1258
75	专家	0.001376	0.0023	0.6045
76	粗砾	0.001373	0.0004	3.5313
77	伤害事故	0.001373	0.0004	3.5313
78	Hard	0.001340	0.0004	3.7136
79	配置	0.001319	0.0013	1.0326
80	既有	0.001314	0.0021	0.6225
