Rank	Word	TF-IDF	TF	IDF
1	合武	0.034068	0.0074	4.6299
2	桃东	0.027255	0.0059	4.6299
3	重叠	0.026559	0.0121	2.1875
4	接触网	0.023174	0.0059	3.9367
5	kmh	0.018401	0.0059	3.1258
6	绕行	0.018189	0.0052	3.5313
7	电厂	0.017097	0.0040	4.2244
8	专用线	0.017097	0.0040	4.2244
9	测点	0.016909	0.0096	1.7677
10	路基	0.016000	0.0092	1.7395
11	合肥	0.015662	0.0077	2.0272
12	上行	0.015558	0.0052	3.0204
13	棱镜	0.015542	0.0037	4.2244
14	铁路	0.014461	0.0199	0.7279
15	立柱	0.014206	0.0052	2.7581
16	轨道	0.013859	0.0132	1.0463
17	远路	0.013627	0.0029	4.6299
18	灵璧	0.013627	0.0029	4.6299
19	布设	0.013497	0.0096	1.4110
20	下行	0.012914	0.0044	2.9251
21	星星	0.012434	0.0029	4.2244
22	号线耀	0.010220	0.0022	4.6299
23	每股	0.010220	0.0022	4.6299
24	泥质	0.009408	0.0052	1.8265
25	道岔	0.009325	0.0022	4.2244
26	Hefei	0.008697	0.0026	3.3771
27	行线	0.008690	0.0022	3.9367
28	营业	0.008517	0.0018	4.6299
29	普速	0.008198	0.0022	3.7136
30	砂岩	0.008045	0.0052	1.5618
31	为土	0.007795	0.0022	3.5313
32	线下	0.007195	0.0037	1.9557
33	包河区	0.006814	0.0015	4.6299
34	线行	0.006814	0.0015	4.6299
35	各股	0.006814	0.0015	4.6299
36	oad	0.006814	0.0015	4.6299
37	东线	0.006668	0.0022	3.0204
38	合肥市	0.006217	0.0015	4.2244
39	金华	0.006217	0.0015	4.2244
40	涉铁	0.006217	0.0015	4.2244
41	District	0.006217	0.0015	4.2244
42	overlap	0.006217	0.0015	4.2244
43	高铁	0.005860	0.0029	1.9908
44	合算	0.005465	0.0015	3.7136
45	实物图	0.005465	0.0015	3.7136
46	运营	0.005306	0.0066	0.8012
47	夹层	0.005251	0.0022	2.3786
48	线为	0.005197	0.0015	3.5313
49	Anhui	0.005197	0.0015	3.5313
50	MPa	0.004977	0.0037	1.3527
51	track	0.004970	0.0015	3.3771
52	上下	0.004810	0.0029	1.6341
53	先下	0.004773	0.0015	3.2436
54	路站	0.004735	0.0022	2.1450
55	轨面	0.004600	0.0015	3.1258
56	风化	0.004535	0.0052	0.8804
57	下洞	0.004345	0.0011	3.9367
58	kPa	0.004170	0.0022	1.8890
59	志强	0.003950	0.0015	2.6840
60	cm	0.003950	0.0015	2.6840
61	group	0.003950	0.0015	2.6840
62	联络线	0.003898	0.0011	3.5313
63	布置图	0.003664	0.0015	2.4898
64	隆沉	0.003580	0.0011	3.2436
65	建设局	0.003407	0.0007	4.6299
66	埋独	0.003407	0.0007	4.6299
67	张玄	0.003407	0.0007	4.6299
68	究水	0.003407	0.0007	4.6299
69	群纵面	0.003407	0.0007	4.6299
70	穿处	0.003407	0.0007	4.6299
71	处桃	0.003407	0.0007	4.6299
72	为桃东	0.003407	0.0007	4.6299
73	武合	0.003407	0.0007	4.6299
74	东桃	0.003407	0.0007	4.6299
75	及突	0.003407	0.0007	4.6299
76	普铁	0.003407	0.0007	4.6299
77	为桃	0.003407	0.0007	4.6299
78	TGGW	0.003407	0.0007	4.6299
79	基隆	0.003407	0.0007	4.6299
80	慢会	0.003407	0.0007	4.6299
