Rank	Word	TF-IDF	TF	IDF
1	穿河	0.054298	0.0154	3.5313
2	评价	0.006729	0.0128	0.5272
3	兰州	0.006695	0.0035	1.9218
4	指标	0.006140	0.0128	0.4788
5	二维	0.005966	0.0027	2.2320
6	贡献率	0.004970	0.0015	3.3771
7	迎门滩	0.004966	0.0013	3.9367
8	赋权	0.004885	0.0029	1.7121
9	OWA	0.004626	0.0015	3.0204
10	权重	0.004550	0.0048	0.9410
11	筛选	0.004246	0.0029	1.4729
12	马滩	0.004238	0.0011	3.7136
13	硕士学位	0.004216	0.0025	1.7121
14	CRITIC	0.003955	0.0012	3.3771
15	识别	0.003659	0.0053	0.6883
16	论文	0.003606	0.0027	1.3340
17	RBS	0.003290	0.0017	1.9218
18	黄河	0.003287	0.0016	2.0649
19	博弈论	0.003286	0.0011	3.1258
20	水下	0.003004	0.0020	1.5388
21	WBS	0.002907	0.0016	1.8265
22	Ex	0.002841	0.0011	2.4898
23	信度	0.002816	0.0010	2.7581
24	算子	0.002740	0.0014	2.0272
25	分解	0.002728	0.0021	1.2977
26	模型	0.002702	0.0050	0.5355
27	河流	0.002674	0.0016	1.7121
28	项目风险	0.002632	0.0016	1.6854
29	等级	0.002465	0.0043	0.5781
30	En	0.002306	0.0010	2.3273
31	因素	0.002260	0.0110	0.2050
32	专家组	0.002216	0.0008	2.8381
33	概率	0.002168	0.0025	0.8804
34	发生器	0.002145	0.0008	2.5504
35	river	0.002096	0.0008	2.6840
36	the	0.002090	0.0038	0.5523
37	数字	0.002061	0.0013	1.6341
38	竖井	0.002050	0.0011	1.7966
39	of	0.002026	0.0039	0.5190
40	效度	0.002007	0.0005	3.7136
41	评估	0.002001	0.0056	0.3602
42	敏感度	0.001915	0.0008	2.5504
43	ALARP	0.001909	0.0005	3.5313
44	kp	0.001892	0.0005	3.9367
45	组合	0.001867	0.0018	1.0189
46	接受	0.001818	0.0014	1.3157
47	损失	0.001789	0.0025	0.7178
48	优化组合	0.001784	0.0005	3.7136
49	卵石	0.001690	0.0015	1.1486
50	一号线	0.001677	0.0007	2.3273
51	He	0.001610	0.0008	2.1450
52	ij	0.001603	0.0012	1.3340
53	风险管理	0.001568	0.0030	0.5272
54	问卷	0.001562	0.0008	1.8573
55	大学	0.001544	0.0029	0.5355
56	代表	0.001524	0.0014	1.1035
57	问卷调查	0.001517	0.0007	2.1041
58	专家	0.001489	0.0025	0.6045
59	and	0.001419	0.0028	0.5027
60	数列	0.001419	0.0004	3.9367
61	云滴	0.001414	0.0005	2.6150
62	行洪	0.001396	0.0003	4.2244
63	CG	0.001396	0.0003	4.2244
64	矩阵	0.001393	0.0016	0.8922
65	材料	0.001385	0.0024	0.5694
66	变异系数	0.001364	0.0004	3.2436
67	孕险	0.001361	0.0005	3.0204
68	云图	0.001358	0.0008	1.7395
69	程度	0.001348	0.0045	0.2991
70	清单	0.001346	0.0008	1.6594
71	信息量	0.001325	0.0005	2.7581
72	内容	0.001322	0.0015	0.8804
73	客观	0.001310	0.0011	1.2121
74	地铁	0.001302	0.0216	0.0603
75	机械设备	0.001276	0.0011	1.1486
76	KMO	0.001273	0.0004	3.5313
77	特征	0.001258	0.0018	0.6980
78	贴近	0.001257	0.0005	2.6150
79	risk	0.001241	0.0017	0.7380
80	crossing	0.001234	0.0007	1.7121
