Rank	Word	TF-IDF	TF	IDF
1	修补	0.079254	0.0295	2.6840
2	环氧树脂	0.023827	0.0056	4.2244
3	渗漏水	0.017619	0.0106	1.6594
4	破损	0.016768	0.0146	1.1486
5	渗漏	0.015715	0.0119	1.3157
6	砂浆	0.012753	0.0066	1.9218
7	复验	0.012289	0.0027	4.6299
8	验收	0.012118	0.0090	1.3527
9	治理	0.011908	0.0063	1.8890
10	灌浆	0.011565	0.0046	2.4898
11	缺陷	0.009634	0.0066	1.4518
12	裂缝	0.009420	0.0063	1.4944
13	下列	0.009151	0.0033	2.7581
14	抗拉强度	0.009143	0.0023	3.9367
15	材料	0.008879	0.0156	0.5694
16	粘结	0.008625	0.0023	3.7136
17	部位	0.008542	0.0090	0.9536
18	表面	0.008427	0.0060	1.4110
19	管片	0.007817	0.0405	0.1931
20	贯穿性	0.007681	0.0017	4.6299
21	湿渍	0.007681	0.0017	4.6299
22	原材料	0.007533	0.0027	2.8381
23	清理	0.007255	0.0046	1.5618
24	见证	0.007008	0.0017	4.2244
25	混凝土	0.006762	0.0093	0.7279
26	指挥部	0.006723	0.0020	3.3771
27	剥落	0.006591	0.0023	2.8381
28	监理	0.006370	0.0050	1.2800
29	质量检验	0.006161	0.0017	3.7136
30	缺棱掉	0.006144	0.0013	4.6299
31	基料	0.006144	0.0013	4.6299
32	骨料	0.006144	0.0013	4.6299
33	搅拌	0.005786	0.0036	1.5853
34	螺栓	0.005754	0.0043	1.3340
35	规定	0.005716	0.0050	1.1486
36	颜色	0.005524	0.0023	2.3786
37	进场	0.005481	0.0027	2.0649
38	固化剂	0.005225	0.0013	3.9367
39	聚合物	0.005206	0.0020	2.6150
40	新旧	0.005185	0.0017	3.1258
41	行走	0.005185	0.0017	3.1258
42	有限责任	0.005077	0.0020	2.5504
43	检查	0.005033	0.0076	0.6596
44	嵌缝	0.004928	0.0013	3.7136
45	物理性能	0.004928	0.0013	3.7136
46	审批	0.004887	0.0023	2.1041
47	衬里	0.004608	0.0010	4.6299
48	耐涂	0.004608	0.0010	4.6299
49	修饰	0.004608	0.0010	4.6299
50	明水	0.004608	0.0010	4.6299
51	浸润	0.004608	0.0010	4.6299
52	止水	0.004595	0.0030	1.5388
53	抽样	0.004482	0.0013	3.3771
54	技术规程	0.004338	0.0017	2.6150
55	纵缝	0.004305	0.0013	3.2436
56	潮湿	0.004305	0.0013	3.2436
57	清除	0.004270	0.0020	2.1450
58	专业队伍	0.004205	0.0010	4.2244
59	螺孔	0.004205	0.0010	4.2244
60	滴落	0.004205	0.0010	4.2244
61	备案	0.004148	0.0013	3.1258
62	质检	0.004148	0.0013	3.1258
63	经理部	0.004009	0.0013	3.0204
64	固化	0.004009	0.0013	3.0204
65	拌制	0.003918	0.0010	3.9367
66	整平	0.003918	0.0010	3.9367
67	严禁	0.003780	0.0017	2.2785
68	修改	0.003760	0.0020	1.8890
69	并报	0.003696	0.0010	3.7136
70	黔江	0.003515	0.0010	3.5313
71	混凝土块	0.003515	0.0010	3.5313
72	搅拌器	0.003515	0.0010	3.5313
73	水分	0.003515	0.0010	3.5313
74	规范	0.003505	0.0060	0.5868
75	检验	0.003412	0.0040	0.8571
76	面积	0.003372	0.0023	1.4518
77	环缝	0.003361	0.0010	3.3771
78	出厂	0.003361	0.0010	3.3771
79	抗压强度	0.003355	0.0020	1.6854
80	耐久性	0.003304	0.0013	2.4898
