Rank	Word	TF-IDF	TF	IDF
1	员工	0.011284	0.0050	2.2785
2	评估	0.009428	0.0262	0.3602
3	风险管理	0.008952	0.0170	0.5272
4	交通安全	0.007882	0.0021	3.7136
5	管理策略	0.007805	0.0028	2.7581
6	经理世界	0.007495	0.0021	3.5313
7	执行	0.006532	0.0042	1.5388
8	建立健全	0.006208	0.0021	2.9251
9	培训	0.006085	0.0050	1.2287
10	文化	0.006070	0.0028	2.1450
11	潜在	0.006001	0.0057	1.0603
12	奖惩制度	0.004996	0.0014	3.5313
13	概率	0.004983	0.0057	0.8804
14	顺利进行	0.004921	0.0035	1.3912
15	养护	0.004466	0.0021	2.1041
16	人员培训	0.004423	0.0014	3.1258
17	工作人员	0.004355	0.0028	1.5388
18	进展	0.004302	0.0021	2.0272
19	预案	0.004288	0.0035	1.2121
20	制订	0.004274	0.0014	3.0204
21	定量	0.004245	0.0050	0.8571
22	救援	0.004225	0.0021	1.9908
23	定性	0.004212	0.0042	0.9923
24	风险意识	0.004016	0.0014	2.8381
25	责任人	0.004016	0.0014	2.8381
26	应急	0.003861	0.0050	0.7797
27	宣传	0.003700	0.0014	2.6150
28	重要环节	0.003523	0.0014	2.4898
29	演练	0.003442	0.0014	2.4326
30	胡东	0.003275	0.0007	4.6299
31	宏波	0.003275	0.0007	4.6299
32	如事	0.003275	0.0007	4.6299
33	和程	0.003275	0.0007	4.6299
34	程序流程	0.003275	0.0007	4.6299
35	一目	0.003275	0.0007	4.6299
36	监督机制	0.003275	0.0007	4.6299
37	计划外	0.003275	0.0007	4.6299
38	张凯	0.003275	0.0007	4.6299
39	作出反应	0.003275	0.0007	4.6299
40	周宏磊	0.003275	0.0007	4.6299
41	雷崇红	0.003275	0.0007	4.6299
42	生命安全	0.003224	0.0014	2.2785
43	应对	0.003223	0.0057	0.5694
44	减轻	0.003158	0.0014	2.2320
45	深入分析	0.003035	0.0014	2.1450
46	此举	0.002989	0.0007	4.2244
47	而发	0.002989	0.0007	4.2244
48	并采	0.002989	0.0007	4.2244
49	惩处	0.002989	0.0007	4.2244
50	明确性	0.002989	0.0007	4.2244
51	王法	0.002989	0.0007	4.2244
52	突发事件	0.002977	0.0014	2.1041
53	如高	0.002785	0.0007	3.9367
54	严厉	0.002785	0.0007	3.9367
55	奖励	0.002785	0.0007	3.9367
56	应用科学	0.002785	0.0007	3.9367
57	都市	0.002767	0.0014	1.9557
58	全面	0.002735	0.0050	0.5523
59	技能	0.002719	0.0014	1.9218
60	快轨	0.002719	0.0014	1.9218
61	确保	0.002652	0.0085	0.3124
62	苟敏	0.002627	0.0007	3.7136
63	工程项目	0.002593	0.0028	0.9163
64	预期	0.002584	0.0014	1.8265
65	增强	0.002573	0.0021	1.2121
66	可能	0.002571	0.0092	0.2796
67	持续	0.002504	0.0021	1.1799
68	事业	0.002498	0.0007	3.5313
69	既保证	0.002498	0.0007	3.5313
70	张晋勋	0.002498	0.0007	3.5313
71	施工人员	0.002491	0.0028	0.8804
72	制定	0.002490	0.0050	0.5027
73	类型	0.002454	0.0042	0.5781
74	常用	0.002438	0.0021	1.1486
75	加强	0.002431	0.0078	0.3124
76	管理体系	0.002422	0.0014	1.7121
77	过往	0.002389	0.0007	3.3771
78	用到	0.002389	0.0007	3.3771
79	至关	0.002389	0.0007	3.3771
80	仪器设备	0.002389	0.0007	3.3771
