Rank	Word	TF-IDF	TF	IDF
1	锚索	0.249561	0.0634	3.9367
2	拔出	0.073621	0.0198	3.7136
3	清障	0.032530	0.0088	3.7136
4	旋挖	0.029040	0.0074	3.9367
5	扣式	0.013633	0.0032	4.2244
6	十路	0.012807	0.0028	4.6299
7	切断	0.011776	0.0041	2.8381
8	比选	0.011319	0.0051	2.2320
9	基坑	0.010910	0.0088	1.2455
10	胡军	0.010673	0.0023	4.6299
11	万元	0.010331	0.0041	2.4898
12	缠绕	0.008561	0.0023	3.7136
13	侵入	0.007203	0.0032	2.2320
14	经济性	0.006922	0.0032	2.1450
15	套管	0.006848	0.0018	3.7136
16	扭矩	0.006772	0.0069	0.9792
17	交改	0.006404	0.0014	4.6299
18	插型	0.006404	0.0014	4.6299
19	迁改	0.006228	0.0018	3.3771
20	排管	0.005843	0.0014	4.2244
21	高端	0.005843	0.0014	4.2244
22	正洞	0.005843	0.0014	4.2244
23	清理	0.005760	0.0037	1.5618
24	异响	0.005445	0.0014	3.9367
25	锚杆	0.005425	0.0021	2.6150
26	螺旋	0.005168	0.0051	1.0189
27	拔除	0.005136	0.0014	3.7136
28	区域	0.005079	0.0138	0.3672
29	脚手架	0.005043	0.0023	2.1875
30	开仓	0.004850	0.0023	2.1041
31	胶结	0.004822	0.0018	2.6150
32	支架	0.004822	0.0018	2.6150
33	主干道	0.004703	0.0018	2.5504
34	黑色	0.004671	0.0014	3.3771
35	旋喷桩	0.004592	0.0018	2.4898
36	成孔	0.004486	0.0014	3.2436
37	残留	0.004323	0.0014	3.1258
38	衬砌	0.004289	0.0051	0.8457
39	嘉德	0.004269	0.0009	4.6299
40	占经	0.004269	0.0009	4.6299
41	不占经	0.004269	0.0009	4.6299
42	机异响	0.004269	0.0009	4.6299
43	一板	0.004269	0.0009	4.6299
44	张凌博	0.004269	0.0009	4.6299
45	刘京红	0.004269	0.0009	4.6299
46	钻机	0.004202	0.0018	2.2785
47	砾岩	0.004178	0.0014	3.0204
48	试验	0.004063	0.0041	0.9792
49	刀盘	0.003985	0.0111	0.3602
50	钻孔	0.003911	0.0037	1.0603
51	回旋	0.003895	0.0009	4.2244
52	处桩	0.003895	0.0009	4.2244
53	共需	0.003895	0.0009	4.2244
54	人工成本	0.003895	0.0009	4.2244
55	端墙	0.003895	0.0009	4.2244
56	启动	0.003825	0.0023	1.6594
57	管线	0.003646	0.0069	0.5272
58	上下左右	0.003630	0.0009	3.9367
59	跳停	0.003630	0.0009	3.9367
60	满堂	0.003630	0.0009	3.9367
61	济南	0.003617	0.0014	2.6150
62	无需	0.003607	0.0018	1.9557
63	铁道	0.003495	0.0055	0.6317
64	方案	0.003448	0.0115	0.2991
65	模板	0.003444	0.0014	2.4898
66	塌孔	0.003424	0.0009	3.7136
67	回填	0.003395	0.0023	1.4729
68	钢管	0.003368	0.0018	1.8265
69	热力	0.003256	0.0009	3.5313
70	标示	0.003256	0.0009	3.5313
71	右线	0.003235	0.0041	0.7797
72	暗挖	0.003220	0.0028	1.1641
73	试验段	0.003208	0.0018	1.7395
74	水文地质	0.003119	0.0037	0.8457
75	贝壳	0.003114	0.0009	3.3771
76	支撑架	0.003114	0.0009	3.3771
77	北京理工大学	0.003114	0.0009	3.3771
78	穿越	0.003086	0.0138	0.2231
79	工期	0.002995	0.0037	0.8122
80	碰到	0.002991	0.0009	3.2436
