Rank	Word	TF-IDF	TF	IDF
1	浅层	0.066017	0.0226	2.9251
2	沼气	0.024016	0.0077	3.1258
3	排放	0.014347	0.0058	2.4898
4	机场	0.013706	0.0058	2.3786
5	邮轮	0.013339	0.0029	4.6299
6	胡如盛	0.011116	0.0024	4.6299
7	船舶	0.010699	0.0029	3.7136
8	污水处理	0.009452	0.0024	3.9367
9	软土	0.008724	0.0067	1.2977
10	污泥	0.007562	0.0019	3.9367
11	航站楼	0.007133	0.0019	3.7136
12	萧山	0.006670	0.0014	4.6299
13	黑灰水	0.006670	0.0014	4.6299
14	密封	0.006109	0.0082	0.7483
15	办公楼	0.005350	0.0014	3.7136
16	冻结	0.005150	0.0024	2.1450
17	防爆	0.005087	0.0014	3.5313
18	盾尾	0.005031	0.0067	0.7483
19	渣土	0.005024	0.0048	1.0463
20	释放	0.004459	0.0024	1.8573
21	陈惠芳	0.004446	0.0010	4.6299
22	停机坪	0.004446	0.0010	4.6299
23	顺丰	0.004446	0.0010	4.6299
24	唐芳	0.004446	0.0010	4.6299
25	赵春斌	0.004446	0.0010	4.6299
26	范润东	0.004446	0.0010	4.6299
27	船上	0.004446	0.0010	4.6299
28	生化	0.004446	0.0010	4.6299
29	船级社	0.004446	0.0010	4.6299
30	灰水	0.004446	0.0010	4.6299
31	舱后	0.004446	0.0010	4.6299
32	气体	0.004434	0.0029	1.5388
33	特种	0.004351	0.0014	3.0204
34	泄露	0.004287	0.0019	2.2320
35	联络	0.004244	0.0029	1.4729
36	道路交通	0.004214	0.0014	2.9251
37	气层	0.004057	0.0010	4.2244
38	余杭	0.004057	0.0010	4.2244
39	杭海	0.004057	0.0010	4.2244
40	土方	0.003824	0.0019	1.9908
41	泄漏	0.003824	0.0019	1.9908
42	油脂	0.003806	0.0024	1.5853
43	到达	0.003795	0.0048	0.7904
44	腔室	0.003781	0.0010	3.9367
45	杭州	0.003750	0.0024	1.5618
46	添加剂	0.003587	0.0014	2.4898
47	纠偏	0.003540	0.0029	1.2287
48	轴线	0.003399	0.0048	0.7079
49	成龙	0.003391	0.0010	3.5313
50	障碍物	0.003341	0.0019	1.7395
51	风井	0.003151	0.0014	2.1875
52	出土	0.003039	0.0034	0.9042
53	冻土	0.003002	0.0010	3.1258
54	不良	0.002999	0.0034	0.8922
55	运输	0.002975	0.0029	1.0326
56	装置	0.002975	0.0029	1.0326
57	通风	0.002956	0.0019	1.5388
58	城际	0.002920	0.0014	2.0272
59	固化	0.002901	0.0010	3.0204
60	做到	0.002833	0.0024	1.1799
61	污水	0.002676	0.0014	1.8573
62	绿色	0.002631	0.0014	1.8265
63	严密	0.002578	0.0010	2.6840
64	始发	0.002492	0.0048	0.5190
65	车辆	0.002466	0.0014	1.7121
66	东西	0.002449	0.0010	2.5504
67	周围	0.002413	0.0034	0.7178
68	改良	0.002392	0.0019	1.2455
69	市政工程	0.002391	0.0010	2.4898
70	泡沫	0.002391	0.0014	1.6594
71	致使	0.002354	0.0014	1.6341
72	止水条	0.002336	0.0010	2.4326
73	高度重视	0.002284	0.0010	2.3786
74	偏离	0.002266	0.0019	1.1799
75	渗入	0.002235	0.0010	2.3273
76	July	0.002223	0.0005	4.6299
77	积攒	0.002223	0.0005	4.6299
78	气会	0.002223	0.0005	4.6299
79	爆发性	0.002223	0.0005	4.6299
80	喷气	0.002223	0.0005	4.6299
