Rank	Word	TF-IDF	TF	IDF
1	工香	0.034625	0.0075	4.6299
2	王前	0.027079	0.0064	4.2244
3	国铁	0.021029	0.0053	3.9367
4	既有线	0.020958	0.0101	2.0649
5	干渠	0.020750	0.0059	3.5313
6	北朝	0.019786	0.0043	4.6299
7	京津	0.016977	0.0048	3.5313
8	五环路	0.014839	0.0032	4.6299
9	机场	0.013977	0.0059	2.3786
10	脱出	0.010975	0.0064	1.7121
11	径向	0.010913	0.0059	1.8573
12	控沉	0.009893	0.0021	4.6299
13	严控	0.009310	0.0037	2.4898
14	南水北调	0.008840	0.0032	2.7581
15	抬升	0.008663	0.0027	3.2436
16	加强型	0.008412	0.0021	3.9367
17	Equipment	0.007813	0.0027	2.9251
18	城际	0.007580	0.0037	2.0272
19	特级	0.007545	0.0021	3.5313
20	微量	0.006770	0.0016	4.2244
21	铁路桥	0.006250	0.0021	2.9251
22	盾尾	0.005996	0.0080	0.7483
23	承压水	0.005758	0.0032	1.7966
24	克泥效	0.005735	0.0021	2.6840
25	MECHANIZATION	0.005412	0.0016	3.3771
26	新建	0.005202	0.0037	1.3912
27	注浆	0.005167	0.0315	0.1640
28	南五环	0.004946	0.0011	4.6299
29	顶覆土厚	0.004946	0.0011	4.6299
30	稳压	0.004946	0.0011	4.6299
31	越中	0.004946	0.0011	4.6299
32	时沉	0.004946	0.0011	4.6299
33	bar	0.004869	0.0021	2.2785
34	速率	0.004721	0.0027	1.7677
35	膨润土	0.004721	0.0032	1.4729
36	二次	0.004713	0.0069	0.6786
37	Project	0.004646	0.0027	1.7395
38	累计	0.004594	0.0037	1.2287
39	加水	0.004548	0.0016	2.8381
40	主墩	0.004513	0.0011	4.2244
41	组段	0.004513	0.0011	4.2244
42	少量多次	0.004513	0.0011	4.2244
43	减阻	0.004513	0.0011	4.2244
44	刚出	0.004513	0.0011	4.2244
45	mmmin	0.004496	0.0021	2.1041
46	填充	0.004464	0.0048	0.9286
47	号线	0.004454	0.0096	0.4632
48	穿越	0.004410	0.0198	0.2231
49	变形	0.004376	0.0150	0.2926
50	补偿	0.004301	0.0016	2.6840
51	高铁	0.004254	0.0021	1.9908
52	kN	0.004254	0.0021	1.9908
53	感应	0.004206	0.0011	3.9367
54	kNm	0.004106	0.0021	1.9218
55	既有	0.003991	0.0064	0.6225
56	五环	0.003967	0.0011	3.7136
57	同步	0.003900	0.0080	0.4867
58	自动化	0.003878	0.0027	1.4518
59	每环	0.003769	0.0027	1.4110
60	CONSTRUCTION	0.003730	0.0016	2.3273
61	总量	0.003730	0.0016	2.3273
62	隔离	0.003717	0.0021	1.7395
63	盾尾后	0.003577	0.0016	2.2320
64	补浆	0.003577	0.0016	2.2320
65	粉细砂	0.003546	0.0021	1.6594
66	高等级	0.003465	0.0011	3.2436
67	隆起	0.003372	0.0027	1.2626
68	切入	0.003340	0.0011	3.1258
69	净距	0.003337	0.0021	1.5618
70	沉降	0.003241	0.0198	0.1640
71	层间	0.003227	0.0011	3.0204
72	注入	0.003223	0.0032	1.0055
73	扭矩	0.003138	0.0032	0.9792
74	线下	0.003134	0.0016	1.9557
75	铁建	0.003125	0.0011	2.9251
76	下沉	0.003102	0.0021	1.4518
77	区间	0.002906	0.0283	0.1027
78	初凝	0.002867	0.0011	2.6840
79	Shield	0.002822	0.0032	0.8804
80	圆砾	0.002794	0.0011	2.6150
