Rank	Word	TF-IDF	TF	IDF
1	湖西	0.020884	0.0045	4.6299
2	瑶湖	0.019278	0.0042	4.6299
3	穿湖	0.014658	0.0035	4.2244
4	东站	0.013015	0.0042	3.1258
5	降为级	0.008032	0.0017	4.6299
6	降水	0.006571	0.0052	1.2626
7	BS	0.006508	0.0021	3.1258
8	胥明	0.006426	0.0014	4.6299
9	穿瑶湖	0.006426	0.0014	4.6299
10	软下	0.006133	0.0042	1.4729
11	喷涌	0.006133	0.0042	1.4729
12	为级	0.005611	0.0031	1.7966
13	三轴	0.005240	0.0017	3.0204
14	偏心	0.005075	0.0017	2.9251
15	破除	0.005015	0.0024	2.0649
16	端头	0.004783	0.0042	1.1486
17	三重	0.004502	0.0014	3.2436
18	lake	0.004397	0.0010	4.2244
19	洞门	0.004326	0.0038	1.1334
20	矿业	0.004192	0.0014	3.0204
21	增刊	0.003953	0.0017	2.2785
22	mm	0.003918	0.0042	0.9410
23	黏度	0.003828	0.0014	2.7581
24	WBS	0.003803	0.0021	1.8265
25	帘布	0.003725	0.0014	2.6840
26	砂层	0.003631	0.0035	1.0463
27	结泥	0.003582	0.0017	2.0649
28	极易	0.003577	0.0024	1.4729
29	上浮	0.003553	0.0028	1.2800
30	进出	0.003526	0.0024	1.4518
31	以下	0.003505	0.0090	0.3885
32	旋喷桩	0.003456	0.0014	2.4898
33	纠偏	0.003411	0.0028	1.2287
34	等级	0.003410	0.0059	0.5781
35	掌子面	0.003405	0.0038	0.8922
36	大堤	0.003376	0.0010	3.2436
37	富水	0.003353	0.0035	0.9663
38	搅拌	0.003301	0.0021	1.5853
39	Yaohu	0.003213	0.0007	4.6299
40	floating	0.003213	0.0007	4.6299
41	地基	0.003188	0.0028	1.1486
42	橡胶板	0.003144	0.0010	3.0204
43	shield	0.003068	0.0049	0.6317
44	单元	0.003067	0.0024	1.2626
45	of	0.003061	0.0059	0.5190
46	珠江口	0.002932	0.0007	4.2244
47	井管	0.002932	0.0007	4.2244
48	双排	0.002932	0.0007	4.2244
49	气缸	0.002932	0.0007	4.2244
50	到级	0.002932	0.0007	4.2244
51	collapse	0.002889	0.0012	2.3786
52	圆砾层	0.002871	0.0010	2.7581
53	坍塌	0.002866	0.0042	0.6883
54	南昌	0.002814	0.0014	2.0272
55	cm	0.002794	0.0010	2.6840
56	water	0.002792	0.0017	1.6094
57	and	0.002791	0.0056	0.5027
58	油脂	0.002750	0.0017	1.5853
59	class	0.002732	0.0007	3.9367
60	黄威然	0.002732	0.0007	3.9367
61	张忠苗	0.002732	0.0007	3.9367
62	李承辉	0.002732	0.0007	3.9367
63	邱龑	0.002732	0.0007	3.9367
64	张永刚	0.002732	0.0007	3.9367
65	渤海湾	0.002732	0.0007	3.9367
66	循环水	0.002732	0.0007	3.9367
67	过江	0.002714	0.0014	1.9557
68	加固	0.002699	0.0090	0.2991
69	湖底	0.002577	0.0007	3.7136
70	膨润土	0.002555	0.0017	1.4729
71	重大	0.002541	0.0024	1.0463
72	立刻	0.002532	0.0010	2.4326
73	舱内	0.002532	0.0010	2.4326
74	不均	0.002524	0.0021	1.2121
75	土地	0.002524	0.0021	1.2121
76	海底隧道	0.002494	0.0014	1.7966
77	rich	0.002476	0.0010	2.3786
78	评估	0.002374	0.0066	0.3602
79	刘一鹏	0.002344	0.0007	3.3771
80	信号	0.002323	0.0010	2.2320
