Rank	Word	TF-IDF	TF	IDF
1	深中	0.036924	0.0094	3.9367
2	开仓	0.016699	0.0079	2.1041
3	人工岛	0.013362	0.0029	4.6299
4	超前	0.012005	0.0094	1.2800
5	沿江	0.011361	0.0029	3.9367
6	同期	0.011276	0.0036	3.1258
7	带压	0.011041	0.0043	2.5504
8	穗莞深	0.010021	0.0022	4.6299
9	深圳机场	0.010021	0.0022	4.6299
10	岛体	0.010021	0.0022	4.6299
11	克泥效	0.009682	0.0036	2.6840
12	苏保柱	0.009144	0.0022	4.2244
13	日报	0.009144	0.0022	4.2244
14	多家	0.008038	0.0022	3.7136
15	敞开	0.007643	0.0022	3.5313
16	通道	0.007515	0.0094	0.8012
17	匝道	0.006766	0.0022	3.1258
18	正式	0.006700	0.0036	1.8573
19	岛壁	0.006681	0.0014	4.6299
20	超排	0.006681	0.0014	4.6299
21	交通局	0.006681	0.0014	4.6299
22	组卷	0.006681	0.0014	4.6299
23	软下	0.006376	0.0043	1.4729
24	主线	0.006331	0.0022	2.9251
25	端承桩	0.006096	0.0014	4.2244
26	GXC	0.006096	0.0014	4.2244
27	海域	0.005970	0.0022	2.7581
28	验收	0.005856	0.0043	1.3527
29	城际	0.005850	0.0029	2.0272
30	详勘	0.005520	0.0022	2.5504
31	抗拔	0.005359	0.0014	3.7136
32	告知	0.005359	0.0014	3.7136
33	出渣	0.005237	0.0036	1.4518
34	暗挖	0.005040	0.0043	1.1641
35	在建	0.005020	0.0029	1.7395
36	高速	0.004789	0.0029	1.6594
37	加固	0.004532	0.0152	0.2991
38	十四	0.004358	0.0014	3.0204
39	机长	0.004358	0.0014	3.0204
40	签订	0.004358	0.0014	3.0204
41	花岗岩	0.004309	0.0022	1.9908
42	期间	0.004283	0.0065	0.6596
43	多方	0.004221	0.0014	2.9251
44	照片	0.004221	0.0014	2.9251
45	管线	0.004184	0.0079	0.5272
46	量测	0.004089	0.0022	1.8890
47	小组	0.004089	0.0022	1.8890
48	协议	0.003980	0.0014	2.7581
49	刀具	0.003917	0.0058	0.6786
50	拟定	0.003773	0.0014	2.6150
51	单位	0.003698	0.0065	0.5694
52	布置图	0.003593	0.0014	2.4898
53	泥膜	0.003510	0.0014	2.4326
54	共享	0.003510	0.0014	2.4326
55	监测数据	0.003486	0.0036	0.9663
56	存放	0.003358	0.0014	2.3273
57	较多建	0.003340	0.0007	4.6299
58	标一	0.003340	0.0007	4.6299
59	固戍	0.003340	0.0007	4.6299
60	控式	0.003340	0.0007	4.6299
61	结及	0.003340	0.0007	4.6299
62	起屹	0.003340	0.0007	4.6299
63	时岛体	0.003340	0.0007	4.6299
64	西乡	0.003340	0.0007	4.6299
65	西湾	0.003340	0.0007	4.6299
66	倒运	0.003340	0.0007	4.6299
67	快速反应	0.003340	0.0007	4.6299
68	欠排	0.003340	0.0007	4.6299
69	功法	0.003340	0.0007	4.6299
70	机共	0.003340	0.0007	4.6299
71	交通厅	0.003340	0.0007	4.6299
72	步进式	0.003340	0.0007	4.6299
73	闭成	0.003340	0.0007	4.6299
74	面和大	0.003340	0.0007	4.6299
75	紧临	0.003340	0.0007	4.6299
76	检查井	0.003340	0.0007	4.6299
77	孙存良	0.003340	0.0007	4.6299
78	郭永军	0.003340	0.0007	4.6299
79	法浅	0.003340	0.0007	4.6299
80	罗宁	0.003340	0.0007	4.6299
