Rank	Word	TF-IDF	TF	IDF
1	ANP	0.030940	0.0099	3.1258
2	DEMATEL	0.022135	0.0080	2.7581
3	指标	0.019214	0.0401	0.4788
4	台车	0.015761	0.0075	2.1041
5	矩阵	0.014321	0.0161	0.8922
6	衬砌	0.013122	0.0155	0.8457
7	超级	0.011922	0.0032	3.7136
8	权重	0.011076	0.0118	0.9410
9	ij	0.011063	0.0083	1.3340
10	到位	0.010518	0.0086	1.2287
11	二次	0.010167	0.0150	0.6786
12	苏小萌	0.009041	0.0021	4.2244
13	Wij	0.009041	0.0021	4.2244
14	问卷	0.008944	0.0048	1.8573
15	二级	0.008782	0.0070	1.2626
16	全局	0.007809	0.0032	2.4326
17	违规操作	0.007315	0.0032	2.2785
18	狭小	0.006996	0.0027	2.6150
19	固定	0.006943	0.0054	1.2977
20	因素	0.006582	0.0321	0.2050
21	装卸	0.006319	0.0016	3.9367
22	标度	0.006312	0.0037	1.6854
23	加权	0.006215	0.0037	1.6594
24	工人	0.006028	0.0037	1.6094
25	一级	0.005997	0.0059	1.0189
26	组内	0.005961	0.0016	3.7136
27	信度	0.005903	0.0021	2.7581
28	浇筑	0.005852	0.0027	2.1875
29	原因	0.005736	0.0096	0.5956
30	网络	0.005380	0.0054	1.0055
31	Cij	0.005266	0.0013	3.9367
32	层次结构	0.005054	0.0027	1.8890
33	MATEL	0.004954	0.0011	4.6299
34	出场	0.004848	0.0016	3.0204
35	SD	0.004848	0.0016	3.0204
36	DE	0.004520	0.0011	4.2244
37	评价	0.004513	0.0086	0.5272
38	结果	0.004513	0.0144	0.3124
39	维度	0.004503	0.0021	2.1041
40	可拓	0.004419	0.0021	2.0649
41	素质	0.004419	0.0021	2.0649
42	袁永博	0.004213	0.0011	3.9367
43	泵管	0.004213	0.0011	3.9367
44	环境噪声	0.004213	0.0011	3.9367
45	tij	0.004213	0.0011	3.9367
46	Cj	0.004213	0.0011	3.9367
47	代表	0.004133	0.0037	1.1035
48	模型	0.004011	0.0075	0.5355
49	网络结构	0.003996	0.0016	2.4898
50	Ci	0.003996	0.0016	2.4898
51	aij	0.003996	0.0016	2.4898
52	构建	0.003994	0.0059	0.6786
53	宫志群	0.003974	0.0011	3.7136
54	高湿	0.003974	0.0011	3.7136
55	指标体系	0.003816	0.0037	1.0189
56	光线	0.003779	0.0011	3.5313
57	胡长明	0.003614	0.0011	3.3771
58	专家	0.003558	0.0059	0.6045
59	作业	0.003553	0.0070	0.5108
60	计算	0.003402	0.0096	0.3532
61	wjn	0.003390	0.0008	4.2244
62	Geneva	0.003390	0.0008	4.2244
63	绑扎	0.003345	0.0011	3.1258
64	阈值	0.003314	0.0016	2.0649
65	排序	0.003287	0.0027	1.2287
66	极限	0.003254	0.0016	2.0272
67	定期维护	0.003232	0.0011	3.0204
68	中心	0.003176	0.0048	0.6596
69	gij	0.003159	0.0008	3.9367
70	nn	0.003139	0.0016	1.9557
71	度越	0.003130	0.0011	2.9251
72	项目管理	0.003107	0.0021	1.4518
73	王建波	0.003037	0.0011	2.8381
74	坍落度	0.003037	0.0011	2.8381
75	基于	0.002891	0.0080	0.3602
76	重要性	0.002875	0.0027	1.0745
77	可信度	0.002872	0.0011	2.6840
78	关联	0.002855	0.0021	1.3340
79	关系	0.002821	0.0054	0.5272
80	教育	0.002816	0.0021	1.3157
