Rank	Word	TF-IDF	TF	IDF
1	QCA	0.035418	0.0076	4.6299
2	变量	0.016829	0.0108	1.5618
3	安全设备	0.009449	0.0028	3.3771
4	pp	0.006190	0.0017	3.7136
5	因子分析	0.005574	0.0018	3.0204
6	号线施	0.004410	0.0010	4.6299
7	案例	0.004247	0.0058	0.7279
8	事故	0.003967	0.0110	0.3602
9	识别	0.003893	0.0057	0.6883
10	因子	0.003893	0.0028	1.3912
11	技能	0.003890	0.0020	1.9218
12	硕士学位	0.003771	0.0022	1.7121
13	工人	0.003737	0.0023	1.6094
14	死亡	0.003432	0.0018	1.9218
15	受伤	0.003379	0.0017	2.0272
16	KMO	0.003364	0.0010	3.5313
17	充分条件	0.003308	0.0007	4.6299
18	防护	0.003275	0.0027	1.1959
19	号线	0.003144	0.0068	0.4632
20	组态	0.003047	0.0008	3.9367
21	培训	0.002999	0.0024	1.2287
22	论文	0.002938	0.0022	1.3340
23	潜在	0.002904	0.0027	1.0603
24	样本	0.002888	0.0016	1.7966
25	结果	0.002771	0.0089	0.3124
26	评估	0.002659	0.0074	0.3602
27	解释	0.002650	0.0015	1.7121
28	北京地铁	0.002627	0.0016	1.6341
29	布尔	0.002614	0.0008	3.3771
30	理解	0.002610	0.0014	1.8265
31	施工方	0.002543	0.0014	1.8573
32	噪音	0.002494	0.0011	2.3273
33	土方	0.002370	0.0012	1.9908
34	未能	0.002362	0.0013	1.8890
35	南京	0.002286	0.0018	1.2800
36	覆盖度	0.002263	0.0005	4.2244
37	巴特利	0.002263	0.0005	4.2244
38	定性	0.002245	0.0023	0.9923
39	校准	0.002212	0.0007	3.3771
40	必要条件	0.002212	0.0007	3.3771
41	严重事故	0.002205	0.0005	4.6299
42	技术参数	0.002172	0.0009	2.4326
43	量化	0.002165	0.0018	1.2121
44	包括	0.002111	0.0052	0.4030
45	废气	0.002109	0.0005	3.9367
46	闪长岩	0.001990	0.0005	3.7136
47	多个	0.001975	0.0016	1.2287
48	变异	0.001931	0.0006	3.2436
49	机技	0.001929	0.0004	4.6299
50	覆盖率	0.001892	0.0005	3.5313
51	施工人员	0.001887	0.0021	0.8804
52	减轻	0.001860	0.0008	2.2320
53	岩层	0.001802	0.0015	1.1641
54	第四章	0.001746	0.0009	1.9557
55	路径	0.001740	0.0010	1.8265
56	and	0.001676	0.0033	0.5027
57	风险管理	0.001663	0.0032	0.5272
58	运算符	0.001654	0.0004	4.6299
59	缺乏	0.001616	0.0014	1.1799
60	模式识别	0.001608	0.0005	3.3771
61	粉尘	0.001608	0.0005	3.3771
62	振动	0.001581	0.0010	1.6594
63	地下水位	0.001577	0.0014	1.1035
64	例如	0.001573	0.0014	1.1486
65	必要性	0.001558	0.0007	2.3786
66	这些	0.001526	0.0019	0.8012
67	长春	0.001518	0.0006	2.5504
68	组合	0.001517	0.0015	1.0189
69	逻辑	0.001497	0.0008	1.7966
70	of	0.001483	0.0029	0.5190
71	集合	0.001470	0.0011	1.3718
72	可能	0.001448	0.0052	0.2796
73	管控	0.001426	0.0019	0.7483
74	支护	0.001418	0.0014	0.9923
75	一致性	0.001409	0.0011	1.2455
76	落地	0.001406	0.0004	3.9367
77	本章	0.001395	0.0009	1.5618
78	NOT	0.001378	0.0003	4.6299
79	哪些因素	0.001378	0.0003	4.6299
80	揭示	0.001363	0.0010	1.4312
