Rank	Word	TF-IDF	TF	IDF
1	脆弱性	0.050783	0.0150	3.3771
2	桥梁	0.029722	0.0239	1.2455
3	危险性	0.021737	0.0111	1.9557
4	脆弱	0.017371	0.0056	3.1258
5	可变	0.016161	0.0046	3.5313
6	模糊集	0.012989	0.0046	2.8381
7	AHM	0.012865	0.0028	4.6299
8	突变	0.012576	0.0082	1.5388
9	集对	0.012173	0.0052	2.3273
10	桩基	0.012073	0.0078	1.5388
11	二级	0.010731	0.0085	1.2626
12	指标	0.010644	0.0222	0.4788
13	桥桩	0.010518	0.0049	2.1450
14	大桥	0.010413	0.0052	1.9908
15	等级	0.010394	0.0180	0.5781
16	rg	0.009081	0.0020	4.6299
17	隶属	0.008422	0.0059	1.4312
18	谢全敏	0.008286	0.0020	4.2244
19	评估	0.007889	0.0219	0.3602
20	轻度	0.007422	0.0023	3.2436
21	致灾	0.007284	0.0020	3.7136
22	ij	0.007196	0.0054	1.3340
23	文峰	0.006905	0.0016	4.2244
24	杨文东	0.006905	0.0016	4.2244
25	承灾	0.006905	0.0016	4.2244
26	初等	0.006905	0.0016	4.2244
27	三级	0.006840	0.0042	1.6094
28	四级	0.006839	0.0026	2.6150
29	高风险	0.006822	0.0049	1.3912
30	CRITIC	0.006624	0.0020	3.3771
31	权重	0.006460	0.0069	0.9410
32	矩阵	0.006125	0.0069	0.8922
33	单项	0.005772	0.0016	3.5313
34	耦合	0.005700	0.0046	1.2455
35	危险	0.005686	0.0059	0.9663
36	联系	0.005440	0.0042	1.2800
37	函数	0.005021	0.0039	1.2800
38	白化	0.004856	0.0013	3.7136
39	权函数	0.004856	0.0013	3.7136
40	评价	0.004653	0.0088	0.5272
41	基时	0.004541	0.0010	4.6299
42	VFS	0.004541	0.0010	4.6299
43	SPA	0.004416	0.0013	3.3771
44	武汉市	0.004274	0.0016	2.6150
45	模型	0.004202	0.0078	0.5355
46	主客观	0.004070	0.0016	2.4898
47	赋权	0.003918	0.0023	1.7121
48	标度	0.003857	0.0023	1.6854
49	信息量	0.003606	0.0013	2.7581
50	级数	0.003419	0.0013	2.6150
51	因子	0.003183	0.0023	1.3912
52	适应度	0.003181	0.0010	3.2436
53	冲突性	0.003065	0.0010	3.1258
54	variablefuzzyset	0.003027	0.0007	4.6299
55	bearingsystem	0.003027	0.0007	4.6299
56	一级	0.002998	0.0029	1.0189
57	改进	0.002995	0.0033	0.9163
58	评分	0.002974	0.0020	1.5163
59	极度	0.002869	0.0010	2.9251
60	理论	0.002867	0.0075	0.3814
61	计算	0.002771	0.0078	0.3532
62	陈洁金	0.002762	0.0007	4.2244
63	可加性	0.002762	0.0007	4.2244
64	jg	0.002762	0.0007	4.2244
65	特征值	0.002755	0.0016	1.6854
66	流速	0.002705	0.0010	2.7581
67	组合	0.002665	0.0026	1.0189
68	中度	0.002565	0.0010	2.6150
69	nn	0.002557	0.0013	1.9557
70	三角	0.002513	0.0013	1.9218
71	敏感度	0.002501	0.0010	2.5504
72	邻近	0.002459	0.0023	1.0745
73	险性	0.002428	0.0007	3.7136
74	TOPSIS	0.002386	0.0010	2.4326
75	公式	0.002363	0.0023	1.0326
76	归一化	0.002339	0.0016	1.4312
77	原理	0.002332	0.0023	1.0189
78	覆跨	0.002309	0.0007	3.5313
79	余量	0.002309	0.0007	3.5313
80	穿河	0.002309	0.0007	3.5313
