Rank	Word	TF-IDF	TF	IDF
1	小净	0.023234	0.0072	3.2436
2	耶夫	0.014213	0.0031	4.6299
3	重叠	0.013431	0.0061	2.1875
4	箱体	0.013300	0.0036	3.7136
5	隔墙	0.012794	0.0041	3.1258
6	米涅	0.011844	0.0026	4.6299
7	台车	0.011842	0.0056	2.1041
8	中线	0.010186	0.0051	1.9908
9	莫斯科	0.009475	0.0020	4.6299
10	尽头	0.009475	0.0020	4.6299
11	施作	0.008712	0.0036	2.4326
12	临时	0.008422	0.0061	1.3718
13	支撑	0.008311	0.0102	0.8122
14	三线	0.007600	0.0020	3.7136
15	并行	0.006715	0.0031	2.1875
16	加固	0.006275	0.0210	0.2991
17	洞内	0.005775	0.0041	1.4110
18	洞门	0.005219	0.0046	1.1334
19	先行	0.004832	0.0026	1.8890
20	mm	0.004814	0.0051	0.9410
21	自阿	0.004738	0.0010	4.6299
22	距段	0.004738	0.0010	4.6299
23	形变	0.004636	0.0015	3.0204
24	每环	0.004332	0.0031	1.4110
25	钢圈	0.004323	0.0010	4.2244
26	明洞	0.004323	0.0010	4.2244
27	左右	0.004269	0.0051	0.8344
28	混凝土	0.004097	0.0056	0.7279
29	黏土	0.003791	0.0046	0.8232
30	冷冻	0.003734	0.0015	2.4326
31	构件	0.003618	0.0020	1.7677
32	混凝土块	0.003613	0.0010	3.5313
33	安装	0.003549	0.0061	0.5781
34	接收	0.003542	0.0046	0.7691
35	成型	0.003449	0.0020	1.6854
36	间隔	0.003344	0.0020	1.6341
37	不得	0.003230	0.0015	2.1041
38	十六	0.003199	0.0010	3.1258
39	左线	0.003153	0.0036	0.8804
40	移动	0.003149	0.0020	1.5388
41	工字钢	0.003091	0.0010	3.0204
42	位置	0.003037	0.0077	0.3958
43	含水层	0.002899	0.0015	1.8890
44	连接	0.002870	0.0036	0.8012
45	志强	0.002746	0.0010	2.6840
46	极小	0.002746	0.0010	2.6840
47	砂质	0.002713	0.0015	1.7677
48	交错	0.002676	0.0010	2.6150
49	锚杆	0.002676	0.0010	2.6150
50	渗漏水	0.002547	0.0015	1.6594
51	纠偏	0.002515	0.0020	1.2287
52	上下	0.002508	0.0015	1.6341
53	单液	0.002489	0.0010	2.4326
54	时应	0.002433	0.0015	1.5853
55	公路	0.002407	0.0026	0.9410
56	净距	0.002397	0.0015	1.5618
57	双液	0.002397	0.0015	1.5618
58	右线	0.002394	0.0031	0.7797
59	看到	0.002381	0.0010	2.3273
60	伴行	0.002369	0.0005	4.6299
61	侏罗	0.002369	0.0005	4.6299
62	洛帕京组	0.002369	0.0005	4.6299
63	阿明	0.002369	0.0005	4.6299
64	维德	0.002369	0.0005	4.6299
65	随处	0.002369	0.0005	4.6299
66	遇此	0.002369	0.0005	4.6299
67	头线	0.002369	0.0005	4.6299
68	莫斯科市	0.002369	0.0005	4.6299
69	程达	0.002369	0.0005	4.6299
70	直角三角	0.002369	0.0005	4.6299
71	莫斯	0.002369	0.0005	4.6299
72	条分	0.002369	0.0005	4.6299
73	距中	0.002369	0.0005	4.6299
74	配筋率	0.002369	0.0005	4.6299
75	先易	0.002369	0.0005	4.6299
76	后难	0.002369	0.0005	4.6299
77	冰碛	0.002369	0.0005	4.6299
78	处会	0.002369	0.0005	4.6299
79	朔州	0.002369	0.0005	4.6299
80	内钢	0.002369	0.0005	4.6299
