Rank	Word	TF-IDF	TF	IDF
1	贵阳	0.024322	0.0086	2.8381
2	岩溶	0.017138	0.0123	1.3912
3	太慈桥	0.015839	0.0037	4.2244
4	皂角井站	0.012399	0.0027	4.6299
5	白云岩	0.011720	0.0037	3.1258
6	喀斯特	0.010853	0.0032	3.3771
7	上浮	0.010284	0.0080	1.2800
8	糊泥	0.009919	0.0021	4.6299
9	溶洞	0.009783	0.0054	1.8265
10	铁路桥	0.009400	0.0032	2.9251
11	石灰岩	0.008687	0.0027	3.2436
12	崩刃	0.008434	0.0021	3.9367
13	Guiyang	0.008434	0.0021	3.9367
14	小车	0.007956	0.0021	3.7136
15	滚刀	0.007826	0.0043	1.8265
16	防控	0.007752	0.0059	1.3157
17	四方	0.007440	0.0016	4.6299
18	河路	0.007440	0.0016	4.6299
19	青山	0.007440	0.0016	4.6299
20	四皂	0.007440	0.0016	4.6299
21	刀具	0.007270	0.0107	0.6786
22	花溪	0.006788	0.0016	4.2244
23	中长距离	0.006326	0.0016	3.9367
24	莫伟平	0.005967	0.0016	3.7136
25	贵阳市	0.005967	0.0016	3.7136
26	station	0.005909	0.0021	2.7581
27	kN	0.005865	0.0029	1.9908
28	驱动	0.005856	0.0037	1.5618
29	kNm	0.005661	0.0029	1.9218
30	马达	0.005427	0.0016	3.3771
31	大道	0.005332	0.0027	1.9908
32	角井站	0.004960	0.0011	4.6299
33	溶区	0.004960	0.0011	4.6299
34	Zaojiaojing	0.004960	0.0011	4.6299
35	破碎	0.004865	0.0037	1.2977
36	AB	0.004853	0.0016	3.0204
37	双刃	0.004700	0.0016	2.9251
38	单刃	0.004560	0.0016	2.8381
39	贵州	0.004525	0.0011	4.2244
40	数据系统	0.004525	0.0011	4.2244
41	小区	0.004432	0.0016	2.7581
42	防范措施	0.004265	0.0021	1.9908
43	扭矩	0.004196	0.0043	0.9792
44	松动	0.004190	0.0021	1.9557
45	磨损	0.004120	0.0054	0.7691
46	mm	0.004032	0.0043	0.9410
47	Karst	0.003978	0.0011	3.7136
48	住宅楼	0.003783	0.0011	3.5313
49	风化	0.003772	0.0043	0.8804
50	发育	0.003726	0.0027	1.3912
51	选型	0.003722	0.0043	0.8687
52	刀盘	0.003665	0.0102	0.3602
53	螺栓	0.003573	0.0027	1.3340
54	信息化	0.003573	0.0027	1.3340
55	物探	0.003236	0.0011	3.0204
56	were	0.003143	0.0016	1.9557
57	适应性	0.003118	0.0027	1.1641
58	the	0.003106	0.0056	0.5523
59	溶蚀	0.003040	0.0011	2.8381
60	错台	0.003035	0.0016	1.8890
61	温度	0.002887	0.0016	1.7966
62	初凝	0.002875	0.0011	2.6840
63	选用	0.002840	0.0027	1.0603
64	mmmin	0.002818	0.0013	2.1041
65	耐磨性	0.002732	0.0011	2.5504
66	preventive	0.002713	0.0008	3.3771
67	地区	0.002646	0.0032	0.8232
68	栽头	0.002606	0.0011	2.4326
69	rmin	0.002606	0.0011	2.4326
70	硬岩	0.002586	0.0016	1.6094
71	净距	0.002510	0.0016	1.5618
72	转速	0.002494	0.0021	1.1641
73	并侧	0.002480	0.0005	4.6299
74	黔进	0.002480	0.0005	4.6299
75	三叠系	0.002480	0.0005	4.6299
76	安顺	0.002480	0.0005	4.6299
77	南起花	0.002480	0.0005	4.6299
78	溪区	0.002480	0.0005	4.6299
79	乌当区	0.002480	0.0005	4.6299
80	洛湾	0.002480	0.0005	4.6299
