Rank	Word	TF-IDF	TF	IDF
1	孔压	0.021851	0.0067	3.2436
2	摩擦力	0.011115	0.0055	2.0272
3	sin	0.009489	0.0029	3.2436
4	合肥工业大学	0.007120	0.0028	2.5504
5	江底	0.006992	0.0027	2.5504
6	陆地	0.006779	0.0016	4.2244
7	Fig	0.006538	0.0033	1.9557
8	土层	0.006107	0.0106	0.5781
9	附加	0.006050	0.0029	2.1041
10	损失率	0.005652	0.0023	2.4326
11	the	0.005207	0.0094	0.5523
12	盾壳	0.005125	0.0026	1.9908
13	学位	0.005094	0.0030	1.7121
14	位移	0.004943	0.0058	0.8571
15	曲线	0.004796	0.0062	0.7797
16	cos	0.004629	0.0014	3.3771
17	刚度	0.004596	0.0031	1.4944
18	Mindlin	0.004516	0.0013	3.3771
19	纵向	0.004474	0.0039	1.1486
20	of	0.004459	0.0086	0.5190
21	论文	0.004415	0.0033	1.3340
22	博士	0.004362	0.0025	1.7395
23	curve	0.004342	0.0014	3.0204
24	横向	0.004137	0.0033	1.2626
25	圆砾层	0.003965	0.0014	2.7581
26	坐标	0.003949	0.0018	2.1875
27	土体	0.003728	0.0108	0.3463
28	模拟	0.003679	0.0042	0.8804
29	变化规律	0.003656	0.0016	2.2320
30	settlement	0.003605	0.0020	1.7677
31	含砂	0.003600	0.0010	3.7136
32	渗漏	0.003563	0.0027	1.3157
33	孔隙	0.003557	0.0027	1.2977
34	研究生	0.003496	0.0024	1.4729
35	推力	0.003490	0.0047	0.7483
36	ground	0.003442	0.0021	1.6341
37	拟合	0.003370	0.0016	2.1450
38	引起	0.003364	0.0087	0.3885
39	The	0.003248	0.0039	0.8232
40	圆砾	0.003235	0.0012	2.6150
41	作用力	0.003235	0.0012	2.6150
42	实测	0.003211	0.0024	1.3157
43	管线	0.003164	0.0060	0.5272
44	longitudinal	0.003070	0.0009	3.5313
45	pore	0.003027	0.0008	3.9367
46	越江	0.002997	0.0012	2.4898
47	粉砂	0.002940	0.0022	1.3527
48	扭矩	0.002848	0.0029	0.9792
49	沉降	0.002837	0.0173	0.1640
50	地基	0.002803	0.0024	1.1486
51	渗水	0.002738	0.0018	1.5163
52	开挖	0.002729	0.0119	0.2293
53	变形	0.002685	0.0092	0.2926
54	地表	0.002673	0.0068	0.3958
55	荷载	0.002622	0.0024	1.0745
56	Mair	0.002607	0.0007	3.7136
57	周围	0.002592	0.0036	0.7178
58	水压	0.002542	0.0019	1.3340
59	增大	0.002539	0.0028	0.9042
60	and	0.002538	0.0050	0.5027
61	抗剪	0.002515	0.0010	2.5504
62	埋深	0.002486	0.0041	0.6045
63	transverse	0.002483	0.0007	3.7136
64	博导	0.002477	0.0005	4.6299
65	宽度	0.002458	0.0021	1.1486
66	Peck	0.002423	0.0009	2.6840
67	xm	0.002369	0.0006	3.9367
68	渗流	0.002366	0.0011	2.1450
69	Rsin	0.002322	0.0005	4.6299
70	ym	0.002322	0.0005	4.6299
71	zz	0.002260	0.0005	4.2244
72	饱和	0.002259	0.0012	1.8265
73	水下	0.002212	0.0014	1.5388
74	隆起	0.002195	0.0017	1.2626
75	抗弯	0.002182	0.0008	2.8381
76	黏土	0.002174	0.0026	0.8232
77	变化	0.002143	0.0060	0.3602
78	机身	0.002125	0.0006	3.5313
79	公式	0.002071	0.0020	1.0326
80	pressure	0.002061	0.0012	1.7121
