Rank	Word	TF-IDF	TF	IDF
1	民宅	0.092043	0.0218	4.2244
2	透水	0.017015	0.0109	1.5618
3	建筑材料	0.010114	0.0027	3.7136
4	房屋	0.009949	0.0054	1.8265
5	多层	0.009737	0.0045	2.1450
6	海绵	0.009198	0.0027	3.3771
7	浅基	0.008406	0.0018	4.6299
8	王立玲	0.008406	0.0018	4.6299
9	预拌	0.008406	0.0018	4.6299
10	混凝土	0.007930	0.0109	0.7279
11	土地	0.007703	0.0064	1.2121
12	杭海	0.007670	0.0018	4.2244
13	实景	0.007670	0.0018	4.2244
14	克泥效	0.007310	0.0027	2.6840
15	永福	0.007148	0.0018	3.9367
16	彩色	0.007148	0.0018	3.9367
17	安徽	0.006886	0.0041	1.6854
18	再生	0.006743	0.0018	3.7136
19	基底	0.006625	0.0027	2.4326
20	实测	0.005972	0.0045	1.3157
21	透水性	0.005845	0.0036	1.6094
22	砌体	0.005676	0.0018	3.1258
23	新型	0.005521	0.0027	2.0272
24	能力差	0.005311	0.0018	2.9251
25	孔位	0.005153	0.0018	2.8381
26	研制	0.005153	0.0018	2.8381
27	变形	0.005047	0.0172	0.2926
28	建筑群	0.004873	0.0018	2.6840
29	背后	0.004738	0.0027	1.7395
30	凝土	0.004521	0.0018	2.4898
31	断面	0.004499	0.0064	0.7079
32	中土	0.004417	0.0018	2.4326
33	力学	0.004247	0.0054	0.7797
34	蚌埠	0.004203	0.0009	4.6299
35	管预	0.004203	0.0009	4.6299
36	管要	0.004203	0.0009	4.6299
37	层呈	0.004203	0.0009	4.6299
38	六栋	0.004203	0.0009	4.6299
39	段略	0.004203	0.0009	4.6299
40	压波	0.004203	0.0009	4.6299
41	动值	0.004203	0.0009	4.6299
42	面超	0.004203	0.0009	4.6299
43	祝方	0.004203	0.0009	4.6299
44	若非	0.004203	0.0009	4.6299
45	应勤	0.004203	0.0009	4.6299
46	王传琦	0.004203	0.0009	4.6299
47	郑淑芬	0.004203	0.0009	4.6299
48	卫晓英	0.004203	0.0009	4.6299
49	梁娜	0.004203	0.0009	4.6299
50	春阳	0.004203	0.0009	4.6299
51	陈建山	0.004203	0.0009	4.6299
52	布超	0.004203	0.0009	4.6299
53	王杰	0.004203	0.0009	4.6299
54	韩裕山	0.004203	0.0009	4.6299
55	坡板	0.004203	0.0009	4.6299
56	于永霞	0.004203	0.0009	4.6299
57	杨晓杰	0.004203	0.0009	4.6299
58	李好	0.004203	0.0009	4.6299
59	短切	0.004203	0.0009	4.6299
60	ofpervious	0.004203	0.0009	4.6299
61	mixJ	0.004203	0.0009	4.6299
62	谢若奇	0.004203	0.0009	4.6299
63	彬彬	0.004203	0.0009	4.6299
64	姜德民	0.004203	0.0009	4.6299
65	程海丽	0.004203	0.0009	4.6299
66	高振林	0.004203	0.0009	4.6299
67	concr	0.004203	0.0009	4.6299
68	牛志刚	0.004203	0.0009	4.6299
69	朱平华	0.004203	0.0009	4.6299
70	陈春红	0.004203	0.0009	4.6299
71	ete	0.004203	0.0009	4.6299
72	Cement	0.004203	0.0009	4.6299
73	硅酸	0.004203	0.0009	4.6299
74	张贤超	0.004203	0.0009	4.6299
75	职晓云	0.004203	0.0009	4.6299
76	胡保刚	0.004203	0.0009	4.6299
77	吴克雄	0.004203	0.0009	4.6299
78	钱立兵	0.004203	0.0009	4.6299
79	覃吉云	0.004203	0.0009	4.6299
80	石从黎	0.004203	0.0009	4.6299
