Rank	Word	TF-IDF	TF	IDF
1	渗漏水	0.030300	0.0183	1.6594
2	进出	0.026509	0.0183	1.4518
3	冻结	0.019583	0.0091	2.1450
4	洞圈	0.015793	0.0049	3.2436
5	张子敏	0.011272	0.0024	4.6299
6	杯底	0.011272	0.0024	4.6299
7	地下通道	0.010746	0.0030	3.5313
8	加固	0.010560	0.0353	0.2991
9	水泥	0.010329	0.0085	1.2121
10	leakage	0.009871	0.0030	3.2436
11	MJS	0.009584	0.0024	3.9367
12	旋喷桩	0.009092	0.0037	2.4898
13	灰色	0.008964	0.0061	1.4729
14	原状	0.008902	0.0030	2.9251
15	固体	0.008798	0.0043	2.0649
16	含水层	0.008048	0.0043	1.8890
17	围护结构	0.007655	0.0043	1.7966
18	Shanghai	0.007610	0.0024	3.1258
19	进洞	0.007541	0.0037	2.0649
20	承压	0.007531	0.0043	1.7677
21	三轴	0.007353	0.0024	3.0204
22	快速路	0.006781	0.0018	3.7136
23	高压	0.006774	0.0049	1.3912
24	机刀盘	0.006774	0.0049	1.3912
25	上海地区	0.006448	0.0018	3.5313
26	出洞	0.006252	0.0037	1.7121
27	来源	0.006185	0.0043	1.4518
28	环箍	0.006166	0.0018	3.3771
29	土层	0.005981	0.0103	0.5781
30	保护层	0.005923	0.0018	3.2436
31	示意	0.005749	0.0030	1.8890
32	区原	0.005636	0.0012	4.6299
33	预防措施	0.005379	0.0030	1.7677
34	常规	0.005379	0.0037	1.4729
35	浅层	0.005341	0.0018	2.9251
36	土地	0.005164	0.0043	1.2121
37	搬迁	0.005142	0.0012	4.2244
38	排管	0.005142	0.0012	4.2244
39	喷水	0.005142	0.0012	4.2244
40	水源	0.004901	0.0018	2.6840
41	地表水	0.004847	0.0024	1.9908
42	搅拌	0.004825	0.0030	1.5853
43	层微	0.004792	0.0012	3.9367
44	板块	0.004792	0.0012	3.9367
45	时间段	0.004775	0.0018	2.6150
46	进入	0.004713	0.0079	0.5956
47	车站	0.004705	0.0049	0.9663
48	深度	0.004681	0.0061	0.7691
49	上海市	0.004657	0.0018	2.5504
50	轨交	0.004520	0.0012	3.7136
51	reinforcement	0.004442	0.0018	2.4326
52	工艺	0.004399	0.0043	1.0326
53	砂质	0.004303	0.0024	1.7677
54	积聚	0.004299	0.0012	3.5313
55	叠交	0.004299	0.0012	3.5313
56	交界面	0.004299	0.0012	3.5313
57	洞门	0.004139	0.0037	1.1334
58	质粉质	0.004075	0.0018	2.2320
59	地质剖面	0.003948	0.0012	3.2436
60	区后	0.003948	0.0012	3.2436
61	water	0.003918	0.0024	1.6094
62	立交	0.003805	0.0012	3.1258
63	淤泥	0.003790	0.0030	1.2455
64	洞时	0.003677	0.0012	3.0204
65	上海	0.003543	0.0030	1.1641
66	黏土	0.003507	0.0043	0.8232
67	summarized	0.003455	0.0012	2.8381
68	污水	0.003391	0.0018	1.8573
69	外圈	0.003357	0.0012	2.7581
70	well	0.003267	0.0012	2.6840
71	was	0.003228	0.0018	1.7677
72	source	0.003183	0.0012	2.6150
73	喷桩	0.003183	0.0012	2.6150
74	探孔	0.003183	0.0012	2.6150
75	击穿	0.003105	0.0012	2.5504
76	螺旋	0.003101	0.0030	1.0189
77	out	0.003077	0.0018	1.6854
78	间隔	0.002984	0.0018	1.6341
79	建议	0.002980	0.0030	0.9792
80	水流	0.002895	0.0012	2.3786
