Rank	Word	TF-IDF	TF	IDF
1	箱涵	0.039809	0.0160	2.4898
2	桩基	0.034228	0.0222	1.5388
3	水箱	0.033724	0.0096	3.5313
4	DBC	0.020042	0.0047	4.2244
5	位移	0.014813	0.0173	0.8571
6	竖向	0.014794	0.0136	1.0889
7	半周	0.011696	0.0025	4.6299
8	硕士学位	0.008756	0.0051	1.7121
9	论文	0.007233	0.0054	1.3340
10	QC	0.006549	0.0017	3.9367
11	变形	0.005967	0.0204	0.2926
12	西安	0.005711	0.0052	1.1035
13	加固	0.005621	0.0188	0.2991
14	第四阶段	0.004945	0.0012	4.2244
15	第三阶段	0.004805	0.0013	3.7136
16	横断面	0.004602	0.0018	2.4898
17	纵断面	0.004458	0.0023	1.9557
18	culvert	0.004165	0.0010	4.2244
19	第六	0.004162	0.0012	3.3771
20	挠度	0.004134	0.0012	3.5313
21	云图	0.004073	0.0023	1.7395
22	减小	0.003973	0.0052	0.7587
23	断面	0.003969	0.0056	0.7079
24	地表	0.003962	0.0100	0.3958
25	第二阶段	0.003916	0.0011	3.5313
26	第一阶段	0.003890	0.0010	3.7136
27	双线	0.003863	0.0029	1.3340
28	注浆	0.003834	0.0234	0.1640
29	右线	0.003699	0.0047	0.7797
30	穿过	0.003690	0.0018	2.0649
31	贯通	0.003514	0.0025	1.3912
32	截面	0.003435	0.0017	2.0649
33	隆起	0.003267	0.0026	1.2626
34	弹性模量	0.003241	0.0015	2.1041
35	值比	0.003153	0.0008	3.9367
36	土体	0.003115	0.0090	0.3463
37	值为	0.002998	0.0021	1.4312
38	大学	0.002970	0.0055	0.5355
39	水平	0.002946	0.0105	0.2796
40	扰动	0.002937	0.0052	0.5608
41	模拟	0.002929	0.0033	0.8804
42	科技	0.002772	0.0052	0.5355
43	第五	0.002761	0.0011	2.4898
44	增大	0.002730	0.0030	0.9042
45	沉降	0.002672	0.0163	0.1640
46	容许	0.002646	0.0010	2.6840
47	mm	0.002638	0.0028	0.9410
48	左线	0.002604	0.0030	0.8804
49	框架结构	0.002549	0.0009	2.7581
50	看出	0.002539	0.0021	1.2121
51	形式	0.002530	0.0040	0.6317
52	监测点	0.002423	0.0020	1.2287
53	近接	0.002398	0.0011	2.1041
54	土舱	0.002334	0.0011	2.1041
55	规律	0.002324	0.0027	0.8571
56	景荔道	0.002282	0.0005	4.6299
57	曲线	0.002258	0.0029	0.7797
58	浆液	0.002236	0.0030	0.7483
59	the	0.002212	0.0040	0.5523
60	承台	0.002198	0.0007	3.2436
61	轴线	0.002181	0.0031	0.7079
62	tank	0.002176	0.0006	3.5313
63	deformation	0.002123	0.0010	2.0272
64	of	0.002110	0.0041	0.5190
65	填充	0.002060	0.0022	0.9286
66	涵及	0.001997	0.0004	4.6299
67	固固	0.001997	0.0004	4.6299
68	基桩	0.001952	0.0005	4.2244
69	最大值	0.001946	0.0015	1.3157
70	Midas	0.001926	0.0006	3.1258
71	周围	0.001902	0.0026	0.7178
72	阶段	0.001891	0.0051	0.3743
73	pile	0.001886	0.0007	2.5504
74	左侧	0.001850	0.0009	2.1450
75	数值	0.001825	0.0030	0.6045
76	GTS	0.001802	0.0006	2.9251
77	应力	0.001781	0.0017	1.0326
78	上方	0.001746	0.0015	1.1334
79	最大	0.001742	0.0083	0.2110
80	Winkler	0.001741	0.0005	3.5313
