Rank	Word	TF-IDF	TF	IDF
1	先行	0.019483	0.0103	1.8890
2	隔离	0.012158	0.0070	1.7395
3	控制率	0.011050	0.0024	4.6299
4	位移	0.010472	0.0122	0.8571
5	试验	0.009515	0.0097	0.9792
6	正交	0.009197	0.0037	2.4898
7	间距	0.007408	0.0096	0.7691
8	ABAQUS	0.007283	0.0023	3.1258
9	无桩	0.007104	0.0015	4.6299
10	衬砌	0.006392	0.0076	0.8457
11	相互影响	0.005665	0.0035	1.6341
12	工况	0.005373	0.0044	1.2121
13	土体	0.005362	0.0155	0.3463
14	后行	0.005065	0.0014	3.7136
15	有限元	0.004925	0.0033	1.4944
16	双线	0.004094	0.0031	1.3340
17	有桩	0.004078	0.0009	4.6299
18	模拟	0.003402	0.0039	0.8804
19	保护	0.003272	0.0039	0.8344
20	应力	0.003227	0.0031	1.0326
21	实验组	0.003157	0.0007	4.6299
22	传播	0.003108	0.0014	2.1875
23	小节	0.003020	0.0010	3.1258
24	弧面	0.003010	0.0009	3.5313
25	方差分析	0.002879	0.0009	3.3771
26	地应力	0.002838	0.0012	2.3786
27	显著	0.002755	0.0023	1.2121
28	横向	0.002583	0.0020	1.2626
29	打入	0.002580	0.0008	3.2436
30	效果	0.002495	0.0061	0.4104
31	工程造价	0.002488	0.0010	2.4326
32	竖向	0.002475	0.0023	1.0889
33	两条	0.002464	0.0012	2.0649
34	扰动	0.002454	0.0044	0.5608
35	地表	0.002440	0.0062	0.3958
36	模型	0.002435	0.0045	0.5355
37	效应	0.002414	0.0020	1.1799
38	控制措施	0.002397	0.0045	0.5272
39	实测	0.002392	0.0018	1.3157
40	inp	0.002368	0.0005	4.6299
41	七号	0.002303	0.0007	3.3771
42	mm	0.002299	0.0024	0.9410
43	规律	0.002289	0.0027	0.8571
44	机理	0.002234	0.0018	1.2287
45	离差	0.002231	0.0007	3.0204
46	接缝	0.002216	0.0012	1.8573
47	等代层	0.002207	0.0006	3.5313
48	the	0.002166	0.0039	0.5523
49	数值	0.002164	0.0036	0.6045
50	平方和	0.002161	0.0007	2.9251
51	试验误差	0.002105	0.0005	4.6299
52	直观	0.002075	0.0015	1.3527
53	施加	0.002072	0.0010	2.1450
54	刚度	0.002038	0.0014	1.4944
55	所以	0.001969	0.0019	1.0189
56	弱化	0.001954	0.0006	3.1258
57	优化	0.001899	0.0045	0.4177
58	isolation	0.001842	0.0004	4.6299
59	探究	0.001825	0.0010	1.8890
60	of	0.001799	0.0035	0.5190
61	弹性模量	0.001794	0.0009	2.1041
62	云图	0.001779	0.0010	1.7395
63	本章	0.001775	0.0011	1.5618
64	某市	0.001774	0.0006	2.8381
65	损失	0.001734	0.0024	0.7178
66	单元	0.001722	0.0014	1.2626
67	变形	0.001712	0.0059	0.2926
68	掌子面	0.001698	0.0019	0.8922
69	危害	0.001660	0.0012	1.3912
70	回缩	0.001659	0.0005	3.2436
71	两种	0.001653	0.0014	1.2121
72	水平	0.001652	0.0059	0.2796
73	接触	0.001637	0.0011	1.5163
74	建模	0.001622	0.0010	1.5853
75	结果	0.001598	0.0051	0.3124
76	阻断	0.001594	0.0006	2.5504
77	杀死	0.001579	0.0003	4.6299
78	模量	0.001525	0.0007	2.0649
79	初始	0.001486	0.0014	1.0463
80	应力场	0.001486	0.0006	2.6150
