Rank	Word	TF-IDF	TF	IDF
1	石桥	0.026918	0.0068	3.9367
2	快速路	0.025392	0.0068	3.7136
3	七宝	0.014442	0.0034	4.2244
4	古镇	0.014442	0.0034	4.2244
5	主线	0.012858	0.0044	2.9251
6	新村	0.012696	0.0034	3.7136
7	邱俊	0.011306	0.0024	4.6299
8	高架	0.010487	0.0039	2.6840
9	海上	0.010326	0.0034	3.0204
10	外环	0.009613	0.0024	3.9367
11	桥梁	0.009124	0.0073	1.2455
12	线桥	0.009069	0.0024	3.7136
13	损失率	0.008911	0.0037	2.4326
14	河道	0.008751	0.0044	1.9908
15	桥台	0.008713	0.0027	3.2436
16	桥墩	0.008525	0.0037	2.3273
17	蒲汇	0.008253	0.0020	4.2244
18	桩基	0.007891	0.0051	1.5388
19	锦江	0.007255	0.0020	3.7136
20	漕宝路	0.006784	0.0015	4.6299
21	之星	0.006784	0.0015	4.6299
22	km	0.006288	0.0039	1.6094
23	宾馆	0.006190	0.0015	4.2244
24	泾港桥	0.006190	0.0015	4.2244
25	为级	0.006142	0.0034	1.7966
26	mm	0.005974	0.0063	0.9410
27	腰部	0.005768	0.0015	3.9367
28	高架桥	0.005683	0.0024	2.3273
29	不明	0.005683	0.0024	2.3273
30	遭遇	0.005342	0.0024	2.1875
31	标高	0.005035	0.0034	1.4729
32	层次	0.004989	0.0054	0.9286
33	深基坑	0.004939	0.0029	1.6854
34	场景	0.004864	0.0020	2.4898
35	等级	0.004800	0.0083	0.5781
36	竖向	0.004786	0.0044	1.0889
37	评估	0.004749	0.0132	0.3602
38	筑物	0.004723	0.0044	1.0745
39	近距离	0.004716	0.0029	1.6094
40	Shanghai	0.004580	0.0015	3.1258
41	小星星	0.004522	0.0010	4.6299
42	幼儿园	0.004522	0.0010	4.6299
43	全幅	0.004522	0.0010	4.6299
44	西段	0.004312	0.0012	3.5313
45	数值	0.004281	0.0071	0.6045
46	GTSNX	0.004126	0.0010	4.2244
47	合川	0.004126	0.0010	4.2244
48	新泾港	0.004126	0.0010	4.2244
49	塘桥	0.004126	0.0010	4.2244
50	建筑群	0.003933	0.0015	2.6840
51	穿越	0.003923	0.0176	0.2231
52	郭发蔚	0.003845	0.0010	3.9367
53	浩然	0.003845	0.0010	3.9367
54	高约	0.003845	0.0010	3.9367
55	MJS	0.003845	0.0010	3.9367
56	专项	0.003844	0.0027	1.4312
57	定量化	0.003831	0.0015	2.6150
58	大连湾	0.003627	0.0010	3.7136
59	跨径	0.003627	0.0010	3.7136
60	总体	0.003587	0.0037	0.9792
61	沉积层	0.003449	0.0010	3.5313
62	线位	0.003449	0.0010	3.5313
63	模拟	0.003440	0.0039	0.8804
64	七莘路	0.003392	0.0007	4.6299
65	分析法	0.003381	0.0044	0.7691
66	沿线	0.003321	0.0029	1.1334
67	接受程度	0.003299	0.0010	3.3771
68	长距离	0.003258	0.0024	1.3340
69	估计	0.003175	0.0017	1.8573
70	碍物	0.003168	0.0010	3.2436
71	变形	0.003144	0.0107	0.2926
72	嘉闵	0.003095	0.0007	4.2244
73	蒲汇塘	0.003095	0.0007	4.2244
74	海波	0.003053	0.0010	3.1258
75	匝道	0.003053	0.0010	3.1258
76	调查	0.003010	0.0034	0.8804
77	专家	0.002952	0.0049	0.6045
78	期望	0.002917	0.0015	1.9908
79	东段	0.002884	0.0007	3.9367
80	risk	0.002884	0.0039	0.7380
