Rank	Word	TF-IDF	TF	IDF
1	放坡	0.018828	0.0056	3.3771
2	基坑	0.016811	0.0135	1.2455
3	房屋	0.015006	0.0082	1.8265
4	土钉	0.013862	0.0035	3.9367
5	土钉墙	0.009510	0.0021	4.6299
6	南区	0.009241	0.0023	3.9367
7	涌村	0.008151	0.0018	4.6299
8	支护	0.007279	0.0073	0.9923
9	基底	0.007138	0.0029	2.4326
10	车站	0.006805	0.0070	0.9663
11	江西	0.006474	0.0023	2.7581
12	典型	0.006390	0.0059	1.0889
13	标高	0.006050	0.0041	1.4729
14	位移	0.005533	0.0065	0.8571
15	自然	0.005459	0.0038	1.4312
16	面层	0.005448	0.0015	3.7136
17	秀顶	0.005434	0.0012	4.6299
18	北坡	0.005434	0.0012	4.6299
19	坡度	0.005331	0.0041	1.2977
20	漏气	0.005318	0.0018	3.0204
21	单元	0.005187	0.0041	1.2626
22	密集	0.005112	0.0035	1.4518
23	建材	0.005035	0.0023	2.1450
24	冲孔	0.004958	0.0012	4.2244
25	围蔽	0.004958	0.0012	4.2244
26	深基坑	0.004945	0.0029	1.6854
27	两站	0.004621	0.0012	3.9367
28	机筒	0.004621	0.0012	3.9367
29	整平	0.004621	0.0012	3.9367
30	桩基	0.004515	0.0029	1.5388
31	深度	0.004514	0.0059	0.7691
32	重难点	0.004434	0.0023	1.8890
33	相当于	0.004283	0.0018	2.4326
34	工程技术	0.004025	0.0029	1.3718
35	第页	0.003964	0.0012	3.3771
36	部位	0.003917	0.0041	0.9536
37	城际	0.003569	0.0018	2.0272
38	深层	0.003569	0.0018	2.0272
39	绝对	0.003569	0.0018	2.0272
40	民房	0.003545	0.0012	3.0204
41	下沉	0.003408	0.0023	1.4518
42	值班	0.003331	0.0012	2.8381
43	巡视	0.003270	0.0018	1.8573
44	有些	0.002993	0.0012	2.5504
45	后期	0.002884	0.0023	1.2287
46	三号	0.002855	0.0012	2.4326
47	袖阀	0.002855	0.0012	2.4326
48	监测数据	0.002835	0.0029	0.9663
49	通道	0.002821	0.0035	0.8012
50	预处理	0.002792	0.0012	2.3786
51	参建	0.002792	0.0012	2.3786
52	工贸	0.002717	0.0006	4.6299
53	遥感信息	0.002717	0.0006	4.6299
54	临迁	0.002717	0.0006	4.6299
55	本下	0.002717	0.0006	4.6299
56	穿该	0.002717	0.0006	4.6299
57	封管	0.002717	0.0006	4.6299
58	冲锤	0.002717	0.0006	4.6299
59	空孔	0.002717	0.0006	4.6299
60	郑艳	0.002717	0.0006	4.6299
61	稳定期	0.002717	0.0006	4.6299
62	维权	0.002717	0.0006	4.6299
63	善后	0.002717	0.0006	4.6299
64	该站	0.002717	0.0006	4.6299
65	燧道	0.002717	0.0006	4.6299
66	广佛环	0.002717	0.0006	4.6299
67	力偏	0.002717	0.0006	4.6299
68	游泥	0.002717	0.0006	4.6299
69	前刀盘	0.002717	0.0006	4.6299
70	粘牢	0.002717	0.0006	4.6299
71	正反面	0.002717	0.0006	4.6299
72	构后	0.002717	0.0006	4.6299
73	会往	0.002717	0.0006	4.6299
74	前流	0.002717	0.0006	4.6299
75	灌水	0.002717	0.0006	4.6299
76	低标	0.002717	0.0006	4.6299
77	时不间	0.002717	0.0006	4.6299
78	断地	0.002717	0.0006	4.6299
79	向筒体	0.002717	0.0006	4.6299
80	体于	0.002717	0.0006	4.6299
