Rank	Word	TF-IDF	TF	IDF
1	叠落	0.060605	0.0154	3.9367
2	读数	0.033091	0.0094	3.5313
3	内力	0.014329	0.0060	2.3786
4	钢筋	0.013070	0.0114	1.1486
5	该叠落	0.012396	0.0027	4.6299
6	交叠	0.010540	0.0027	3.9367
7	下线	0.010540	0.0027	3.9367
8	轴力	0.009454	0.0027	3.5313
9	轴力计	0.009297	0.0020	4.6299
10	环轴力	0.009297	0.0020	4.6299
11	重叠	0.008785	0.0040	2.1875
12	Apr	0.008483	0.0020	4.2244
13	上线	0.008483	0.0020	4.2244
14	河山	0.008483	0.0020	4.2244
15	压力计	0.008483	0.0020	4.2244
16	街站	0.007905	0.0020	3.9367
17	guide	0.006781	0.0020	3.3771
18	换算	0.006513	0.0020	3.2436
19	宜君	0.006198	0.0013	4.6299
20	王清标	0.006198	0.0013	4.6299
21	陈先国	0.006198	0.0013	4.6299
22	王猛	0.006198	0.0013	4.6299
23	四孔	0.006198	0.0013	4.6299
24	张建坤	0.006198	0.0013	4.6299
25	柔压计	0.006198	0.0013	4.6299
26	笼上	0.006198	0.0013	4.6299
27	正叠	0.006198	0.0013	4.6299
28	线轴	0.006198	0.0013	4.6299
29	侧叠	0.006198	0.0013	4.6299
30	交通网络	0.006065	0.0020	3.0204
31	监测数据	0.005821	0.0060	0.9663
32	松花江	0.005655	0.0013	4.2244
33	上下	0.005469	0.0033	1.6341
34	顺序	0.005310	0.0047	1.1334
35	上洞	0.005270	0.0013	3.9367
36	量级	0.005270	0.0013	3.9367
37	左右	0.005026	0.0060	0.8344
38	materials	0.005000	0.0020	2.4898
39	先建	0.004971	0.0013	3.7136
40	预埋	0.004776	0.0020	2.3786
41	后建	0.004727	0.0013	3.5313
42	预留	0.004675	0.0040	1.1641
43	building	0.004575	0.0020	2.2785
44	演变	0.004575	0.0020	2.2785
45	漫滩	0.004521	0.0013	3.3771
46	侵限	0.004521	0.0013	3.3771
47	推测	0.004521	0.0013	3.3771
48	建材	0.004307	0.0020	2.1450
49	断面	0.004264	0.0060	0.7079
50	愈发	0.004184	0.0013	3.1258
51	郑余朝	0.004184	0.0013	3.1258
52	偏压	0.004184	0.0013	3.1258
53	预埋件	0.004184	0.0013	3.1258
54	净距	0.004182	0.0027	1.5618
55	左线	0.004125	0.0047	0.8804
56	液体	0.004043	0.0013	3.0204
57	剧烈	0.004043	0.0013	3.0204
58	Development	0.003859	0.0020	1.9218
59	Vol	0.003859	0.0020	1.9218
60	卸载	0.003799	0.0013	2.8381
61	导向	0.003729	0.0020	1.8573
62	右线	0.003653	0.0047	0.7797
63	柔性	0.003501	0.0013	2.6150
64	背后	0.003493	0.0020	1.7395
65	陕西	0.003414	0.0013	2.5504
66	受压	0.003414	0.0013	2.5504
67	凝土	0.003333	0.0013	2.4898
68	相互影响	0.003281	0.0020	1.6341
69	监测	0.003249	0.0154	0.2110
70	平稳	0.003136	0.0020	1.5618
71	变化	0.003134	0.0087	0.3602
72	仪器	0.003115	0.0013	2.3273
73	管片	0.003102	0.0161	0.1931
74	jcfzdx	0.003099	0.0007	4.6299
75	但近	0.003099	0.0007	4.6299
76	形坡	0.003099	0.0007	4.6299
77	出河	0.003099	0.0007	4.6299
78	松街	0.003099	0.0007	4.6299
79	元为	0.003099	0.0007	4.6299
80	先施	0.003099	0.0007	4.6299
