Rank	Word	TF-IDF	TF	IDF
1	桃花	0.019367	0.0042	4.6299
2	桐木	0.016468	0.0042	3.9367
3	非线性	0.015031	0.0084	1.7966
4	因子	0.013864	0.0100	1.3912
5	贵阳市	0.013707	0.0037	3.7136
6	模糊	0.010474	0.0121	0.8687
7	评价	0.010119	0.0192	0.5272
8	突出	0.009438	0.0052	1.8265
9	权重	0.009262	0.0098	0.9410
10	郭宏斌	0.008316	0.0020	4.2244
11	矩阵	0.007684	0.0086	0.8922
12	隶属	0.007395	0.0052	1.4312
13	评判	0.007395	0.0052	1.4312
14	分解	0.006705	0.0052	1.2977
15	向量	0.006413	0.0047	1.3718
16	受阻	0.005946	0.0020	3.0204
17	二级	0.005903	0.0047	1.2626
18	of	0.005874	0.0113	0.5190
19	乘法	0.005587	0.0020	2.8381
20	Table	0.005578	0.0030	1.8890
21	FAHP	0.005514	0.0022	2.4898
22	Shaanxi	0.005197	0.0012	4.2244
23	算子	0.004988	0.0025	2.0272
24	变异系数	0.004789	0.0015	3.2436
25	指标	0.004772	0.0100	0.4788
26	fuzzy	0.004570	0.0025	1.8573
27	nonlinear	0.004569	0.0012	3.7136
28	risk	0.004359	0.0059	0.7380
29	构建	0.004342	0.0064	0.6786
30	层次	0.004341	0.0047	0.9286
31	组合	0.004262	0.0042	1.0189
32	战平	0.004155	0.0012	3.3771
33	and	0.004082	0.0081	0.5027
34	RI	0.003925	0.0017	2.2785
35	WBS	0.003595	0.0020	1.8265
36	客观	0.003579	0.0030	1.2121
37	RBS	0.003547	0.0018	1.9218
38	集成	0.003537	0.0020	1.7966
39	tunneling	0.003510	0.0034	1.0189
40	一级	0.003510	0.0034	1.0189
41	得到	0.003499	0.0094	0.3743
42	based	0.003437	0.0030	1.1641
43	et	0.003437	0.0032	1.0745
44	al	0.003392	0.0032	1.0603
45	assessment	0.003371	0.0027	1.2455
46	赋权	0.003370	0.0020	1.7121
47	分析法	0.003217	0.0042	0.7691
48	SONG	0.003192	0.0010	3.2436
49	method	0.003183	0.0036	0.8922
50	analytic	0.003167	0.0015	2.1450
51	计算	0.003129	0.0089	0.3532
52	陕西省	0.003077	0.0010	3.1258
53	matrix	0.003063	0.0012	2.4898
54	hierarchy	0.003049	0.0015	2.0649
55	模型	0.003031	0.0057	0.5355
56	the	0.002990	0.0054	0.5523
57	评分	0.002985	0.0020	1.5163
58	主观	0.002914	0.0022	1.3157
59	函数	0.002835	0.0022	1.2800
60	evaluation	0.002829	0.0021	1.3527
61	代入	0.002803	0.0012	2.2785
62	shield	0.002798	0.0044	0.6317
63	耦合	0.002758	0.0022	1.2455
64	Tian	0.002741	0.0007	3.7136
65	介于	0.002639	0.0012	2.1450
66	on	0.002634	0.0039	0.6690
67	decomposition	0.002607	0.0007	3.5313
68	评语	0.002589	0.0012	2.1041
69	Risk	0.002530	0.0026	0.9792
70	GUO	0.002510	0.0010	2.5504
71	MENG	0.002493	0.0007	3.3771
72	周围环境	0.002450	0.0015	1.6594
73	model	0.002419	0.0020	1.2287
74	徐甜	0.002394	0.0007	3.2436
75	Xi	0.002394	0.0010	2.4326
76	系数	0.002394	0.0032	0.7483
77	factors	0.002330	0.0017	1.3527
78	Fuzzy	0.002324	0.0012	1.8890
79	因素	0.002321	0.0113	0.2050
80	法将主	0.002278	0.0005	4.6299
