Rank	Word	TF-IDF	TF	IDF
1	辅料	0.083434	0.0180	4.6299
2	化学	0.029477	0.0121	2.4326
3	有毒	0.025686	0.0065	3.9367
4	化学物质	0.018376	0.0043	4.2244
5	塑化剂	0.014385	0.0031	4.6299
6	生态环境	0.014177	0.0053	2.6840
7	有害物质	0.013846	0.0037	3.7136
8	鉴别	0.013125	0.0031	4.2244
9	活性剂	0.011508	0.0025	4.6299
10	泡沫剂	0.011337	0.0047	2.4326
11	生态	0.011096	0.0050	2.2320
12	矿物油	0.010070	0.0022	4.6299
13	期刊	0.010007	0.0037	2.6840
14	沉积物	0.009785	0.0025	3.9367
15	污染	0.009554	0.0050	1.9218
16	污染物	0.009231	0.0025	3.7136
17	毒性	0.009188	0.0022	4.2244
18	油脂	0.008866	0.0056	1.5853
19	渣土	0.008778	0.0084	1.0463
20	润滑脂	0.008631	0.0019	4.6299
21	废物	0.008631	0.0019	4.6299
22	分散剂	0.008062	0.0025	3.2436
23	招标	0.007770	0.0025	3.1258
24	采购	0.007736	0.0031	2.4898
25	生物	0.007508	0.0025	3.0204
26	绿色	0.007378	0.0040	1.8265
27	化学品	0.007339	0.0019	3.9367
28	环境危害	0.007193	0.0016	4.6299
29	日本	0.006651	0.0028	2.3786
30	人体	0.006583	0.0019	3.5313
31	文摘	0.006563	0.0016	4.2244
32	聚合物	0.006500	0.0025	2.6150
33	数据库	0.006284	0.0037	1.6854
34	润滑	0.006047	0.0025	2.4326
35	十二	0.005754	0.0012	4.6299
36	黑油	0.005754	0.0012	4.6299
37	斑马鱼	0.005754	0.0012	4.6299
38	农村	0.005486	0.0016	3.5313
39	使用量	0.005486	0.0016	3.5313
40	学术期刊	0.005486	0.0016	3.5313
41	法国	0.005453	0.0019	2.9251
42	农业	0.005453	0.0019	2.9251
43	表面	0.005261	0.0037	1.4110
44	纤维素	0.005250	0.0012	4.2244
45	短链	0.005250	0.0012	4.2244
46	黄油	0.005246	0.0016	3.3771
47	年版	0.005246	0.0016	3.3771
48	轴承	0.005039	0.0025	2.0272
49	产品	0.004956	0.0022	2.2785
50	科技期刊	0.004893	0.0012	3.9367
51	有害	0.004861	0.0025	1.9557
52	成分	0.004711	0.0031	1.5163
53	规定	0.004639	0.0040	1.1486
54	分类管理	0.004615	0.0012	3.7136
55	轨交	0.004615	0.0012	3.7136
56	发泡剂	0.004615	0.0012	3.7136
57	公告	0.004615	0.0012	3.7136
58	江苏省	0.004389	0.0012	3.5313
59	物质	0.004339	0.0019	2.3273
60	危害	0.004322	0.0031	1.3912
61	极压	0.004316	0.0009	4.6299
62	固体废物	0.004316	0.0009	4.6299
63	烷基	0.004316	0.0009	4.6299
64	阴离子	0.004316	0.0009	4.6299
65	谈判	0.004316	0.0009	4.6299
66	邻苯二甲酸	0.004316	0.0009	4.6299
67	氯化石蜡	0.004316	0.0009	4.6299
68	废机油	0.004316	0.0009	4.6299
69	重金属	0.004316	0.0009	4.6299
70	健康	0.004256	0.0025	1.7121
71	危险性	0.004254	0.0022	1.9557
72	本刊	0.004197	0.0012	3.3771
73	法律	0.004170	0.0016	2.6840
74	竞争性	0.003938	0.0009	4.2244
75	环境影响	0.003890	0.0028	1.3912
76	土壤	0.003849	0.0019	2.0649
77	国家	0.003799	0.0037	1.0189
78	密封	0.003720	0.0050	0.7483
79	防控	0.003679	0.0028	1.3157
80	俗称	0.003669	0.0009	3.9367
