Rank	Word	TF-IDF	TF	IDF
1	变电站	0.048235	0.0130	3.7136
2	MAR	0.007656	0.0018	4.2244
3	柱基	0.006731	0.0018	3.7136
4	近距离	0.005834	0.0036	1.6094
5	评价	0.005733	0.0109	0.5272
6	三维	0.005541	0.0039	1.4110
7	二级	0.005339	0.0042	1.2626
8	既有	0.005265	0.0085	0.6225
9	位移	0.005049	0.0059	0.8571
10	旭东	0.004899	0.0015	3.2436
11	Tab	0.004721	0.0015	3.1258
12	业主	0.004535	0.0021	2.1450
13	弯矩	0.004287	0.0015	2.8381
14	试验段	0.004204	0.0024	1.7395
15	主变	0.004196	0.0009	4.6299
16	重度	0.004135	0.0021	1.9557
17	激活	0.004054	0.0015	2.6840
18	模拟	0.003989	0.0045	0.8804
19	故而	0.003919	0.0012	3.2436
20	指标	0.003905	0.0082	0.4788
21	HSS	0.003828	0.0009	4.2244
22	FAHP	0.003760	0.0015	2.4898
23	识别	0.003534	0.0051	0.6883
24	Vol	0.003483	0.0018	1.9218
25	数值	0.003469	0.0057	0.6045
26	联合	0.003424	0.0018	1.8890
27	泥岩	0.003310	0.0018	1.8265
28	因素	0.003220	0.0157	0.2050
29	广东	0.003103	0.0018	1.7121
30	核心区	0.003060	0.0009	3.3771
31	专家建议	0.003060	0.0009	3.3771
32	土木	0.002962	0.0018	1.6341
33	响应	0.002917	0.0018	1.6094
34	粉砂	0.002860	0.0021	1.3527
35	列于	0.002797	0.0006	4.6299
36	变电	0.002797	0.0006	4.6299
37	吴瑞拓	0.002797	0.0006	4.6299
38	梁发云	0.002797	0.0006	4.6299
39	一级	0.002770	0.0027	1.0189
40	模型	0.002750	0.0051	0.5355
41	有限元	0.002708	0.0018	1.4944
42	No	0.002631	0.0018	1.4518
43	应急	0.002591	0.0033	0.7797
44	实时	0.002591	0.0033	0.7797
45	实践	0.002589	0.0030	0.8571
46	云龙	0.002552	0.0006	4.2244
47	节盾	0.002552	0.0006	4.2244
48	顾晓强	0.002552	0.0006	4.2244
49	向量	0.002486	0.0018	1.3718
50	建筑物	0.002419	0.0051	0.4710
51	信息化	0.002418	0.0018	1.3340
52	mm	0.002416	0.0026	0.9410
53	电站	0.002378	0.0006	3.9367
54	Fig	0.002363	0.0012	1.9557
55	kNm	0.002322	0.0012	1.9218
56	可控	0.002290	0.0015	1.5163
57	硬化	0.002256	0.0009	2.4898
58	奠定	0.002244	0.0012	1.8573
59	外墙	0.002244	0.0006	3.7136
60	钝化	0.002244	0.0006	3.7136
61	目标	0.002238	0.0027	0.8232
62	分析模型	0.002207	0.0012	1.8265
63	圆环	0.002204	0.0009	2.4326
64	预案	0.002197	0.0018	1.2121
65	变异性	0.002133	0.0006	3.5313
66	Parameters	0.002133	0.0006	3.5313
67	左线	0.002127	0.0024	0.8804
68	模糊	0.002099	0.0024	0.8687
69	另一方面	0.002069	0.0012	1.7121
70	Main	0.002040	0.0006	3.3771
71	承包商	0.002040	0.0006	3.3771
72	相近	0.001982	0.0009	2.1875
73	层次	0.001963	0.0021	0.9286
74	基于	0.001958	0.0054	0.3602
75	adjacent	0.001944	0.0009	2.1450
76	桩基础	0.001944	0.0009	2.1450
77	岩土	0.001898	0.0027	0.6980
78	基坑	0.001881	0.0015	1.2455
79	风化	0.001862	0.0021	0.8804
80	桩基	0.001859	0.0012	1.5388
