Rank	Word	TF-IDF	TF	IDF
1	灰岩	0.025687	0.0124	2.0649
2	白云质	0.011549	0.0031	3.7136
3	南宁	0.011208	0.0055	2.0272
4	厚中	0.011199	0.0024	4.6299
5	岩溶	0.010576	0.0076	1.3912
6	Nanning	0.009762	0.0028	3.5313
7	机场	0.009041	0.0038	2.3786
8	选型	0.009005	0.0104	0.8687
9	复合	0.008168	0.0076	1.0745
10	LEC	0.007002	0.0021	3.3771
11	边线	0.006865	0.0024	2.8381
12	松涛	0.006416	0.0017	3.7136
13	刀高	0.005774	0.0016	3.7136
14	配置	0.005709	0.0055	1.0326
15	溶洞	0.005680	0.0031	1.8265
16	软硬	0.005561	0.0035	1.6094
17	铰接	0.005503	0.0028	1.9908
18	水利	0.005291	0.0024	2.1875
19	建筑工程	0.004995	0.0024	2.0649
20	流塑状	0.004881	0.0014	3.5313
21	距右	0.004799	0.0010	4.6299
22	kNm	0.004648	0.0024	1.9218
23	不均	0.004607	0.0038	1.2121
24	充填	0.004317	0.0028	1.5618
25	黏土	0.004267	0.0052	0.8232
26	composite	0.004175	0.0014	3.0204
27	推力	0.004137	0.0055	0.7483
28	kN	0.004127	0.0021	1.9908
29	扭矩	0.004060	0.0041	0.9792
30	危险性	0.004055	0.0021	1.9557
31	刀具	0.003986	0.0059	0.6786
32	耐磨	0.003937	0.0017	2.2785
33	闸门	0.003923	0.0014	2.8381
34	mm	0.003902	0.0041	0.9410
35	开口	0.003893	0.0024	1.6094
36	螺旋	0.003873	0.0038	1.0189
37	Airport	0.003850	0.0010	3.7136
38	驱动	0.003778	0.0024	1.5618
39	适应性	0.003620	0.0031	1.1641
40	刀盘	0.003609	0.0100	0.3602
41	破碎	0.003587	0.0028	1.2977
42	超前	0.003538	0.0028	1.2800
43	前盾	0.003441	0.0014	2.4898
44	发育	0.003365	0.0024	1.3912
45	深处	0.003362	0.0010	3.2436
46	率为	0.003362	0.0014	2.4326
47	strata	0.003288	0.0014	2.3786
48	交通枢纽	0.003240	0.0010	3.1258
49	韩坤成	0.003200	0.0007	4.6299
50	贾瑞华	0.003200	0.0007	4.6299
51	云质	0.003200	0.0007	4.6299
52	实测	0.003182	0.0024	1.3157
53	断层	0.003156	0.0017	1.8265
54	输送机	0.003144	0.0021	1.5163
55	软塑	0.003131	0.0010	3.0204
56	合金	0.003131	0.0010	3.0204
57	刮刀	0.003085	0.0014	2.2320
58	the	0.003054	0.0055	0.5523
59	风化	0.003042	0.0035	0.8804
60	脱困	0.002942	0.0010	2.8381
61	撕裂	0.002942	0.0010	2.8381
62	断面	0.002935	0.0041	0.7079
63	杨喜锋	0.002919	0.0007	4.2244
64	广西南宁	0.002919	0.0007	4.2244
65	configuration	0.002919	0.0007	4.2244
66	寸刀体	0.002919	0.0007	4.2244
67	区段	0.002884	0.0021	1.3912
68	油缸	0.002884	0.0021	1.3912
69	kW	0.002859	0.0010	2.7581
70	功率	0.002782	0.0010	2.6840
71	杜闯东	0.002721	0.0007	3.9367
72	凯文	0.002721	0.0007	3.9367
73	喷渣	0.002721	0.0007	3.9367
74	耐磨性	0.002644	0.0010	2.5504
75	shield	0.002619	0.0041	0.6317
76	谭庆洲	0.002566	0.0007	3.7136
77	东湖	0.002566	0.0007	3.7136
78	趋向于	0.002566	0.0007	3.7136
79	泥质	0.002525	0.0014	1.8265
80	hard	0.002522	0.0010	2.4326
