Rank	Word	TF-IDF	TF	IDF
1	牌楼	0.032496	0.0070	4.6299
2	高升	0.023268	0.0059	3.9367
3	偏移	0.017778	0.0107	1.6594
4	位移	0.017731	0.0207	0.8571
5	立交桥	0.014490	0.0055	2.6150
6	桥站	0.014349	0.0041	3.5313
7	桩基础	0.011093	0.0052	2.1450
8	十个	0.010975	0.0030	3.7136
9	琪琪	0.008552	0.0018	4.6299
10	折线	0.008083	0.0026	3.1258
11	桥墩	0.007738	0.0033	2.3273
12	模拟	0.007480	0.0085	0.8804
13	隆起	0.007463	0.0059	1.2626
14	既有	0.007359	0.0118	0.6225
15	周智鹏	0.006841	0.0015	4.6299
16	太平	0.006841	0.0015	4.6299
17	武侯祠	0.006841	0.0015	4.6299
18	正切	0.006841	0.0015	4.6299
19	下方	0.006451	0.0055	1.1641
20	园站	0.006242	0.0015	4.2244
21	三期	0.006238	0.0018	3.3771
22	本刊	0.006238	0.0018	3.3771
23	方向	0.006104	0.0166	0.3672
24	假定	0.005441	0.0026	2.1041
25	负向	0.005392	0.0017	3.2436
26	钟勇	0.005131	0.0011	4.6299
27	肖家	0.005131	0.0011	4.6299
28	肖家河	0.005131	0.0011	4.6299
29	偏移量	0.004990	0.0015	3.3771
30	数值	0.004913	0.0081	0.6045
31	角为	0.004682	0.0011	4.2244
32	卵石	0.004667	0.0041	1.1486
33	河底	0.004463	0.0015	3.0204
34	钝化	0.004116	0.0011	3.7136
35	限定	0.004075	0.0015	2.7581
36	竖向	0.004023	0.0037	1.0889
37	正向	0.003982	0.0022	1.7966
38	桩基	0.003979	0.0026	1.5388
39	土体	0.003710	0.0107	0.3463
40	变化趋势	0.003679	0.0015	2.4898
41	新建	0.003597	0.0026	1.3912
42	步骤	0.003577	0.0041	0.8804
43	趋势	0.003572	0.0033	1.0745
44	重大	0.003479	0.0033	1.0463
45	图为	0.003430	0.0009	3.7136
46	灌口	0.003421	0.0007	4.6299
47	河河	0.003421	0.0007	4.6299
48	坍坑	0.003421	0.0007	4.6299
49	申明	0.003421	0.0007	4.6299
50	四川	0.003374	0.0018	1.8265
51	安全控制	0.003319	0.0018	1.7966
52	接入	0.003242	0.0011	2.9251
53	以内	0.003218	0.0022	1.4518
54	荷载	0.003176	0.0030	1.0745
55	值为	0.003172	0.0022	1.4312
56	桥桩	0.003169	0.0015	2.1450
57	衬砌	0.003124	0.0037	0.8457
58	反常	0.003121	0.0007	4.2244
59	稿件	0.003121	0.0007	4.2244
60	激活	0.002974	0.0011	2.6840
61	最值	0.002909	0.0007	3.9367
62	可见	0.002791	0.0015	1.8890
63	筑物	0.002779	0.0026	1.0745
64	号线	0.002738	0.0059	0.4632
65	自重	0.002699	0.0015	1.8265
66	工区	0.002621	0.0009	2.8381
67	白垩	0.002609	0.0007	3.5313
68	大街	0.002609	0.0007	3.5313
69	广场	0.002579	0.0011	2.3273
70	上升	0.002530	0.0015	1.7121
71	带状	0.002495	0.0007	3.3771
72	墩台	0.002495	0.0007	3.3771
73	允许值	0.002495	0.0007	3.3771
74	由图	0.002490	0.0015	1.6854
75	阶段	0.002350	0.0063	0.3743
76	定级	0.002309	0.0007	3.1258
77	行人	0.002309	0.0007	3.1258
78	急剧	0.002288	0.0011	2.0649
79	稳步	0.002232	0.0007	3.0204
80	有限元	0.002208	0.0015	1.4944
