Rank	Word	TF-IDF	TF	IDF
1	本体	0.063427	0.0217	2.9251
2	知识库	0.026806	0.0076	3.5313
3	前兆	0.023787	0.0060	3.9367
4	知识	0.019318	0.0137	1.4110
5	SWRL	0.014342	0.0031	4.6299
6	推理	0.013890	0.0072	1.9218
7	规则	0.013467	0.0082	1.6341
8	Drools	0.010446	0.0023	4.6299
9	活动	0.008118	0.0054	1.5163
10	Protg	0.007512	0.0018	4.2244
11	构建	0.007267	0.0107	0.6786
12	属性	0.006908	0.0040	1.7121
13	OWL	0.006286	0.0014	4.6299
14	引擎	0.006280	0.0018	3.5313
15	信息	0.005965	0.0090	0.6596
16	语言	0.005892	0.0029	2.0272
17	语义	0.005801	0.0021	2.7581
18	领域	0.005664	0.0061	0.9286
19	定义	0.005099	0.0043	1.1799
20	形式化	0.004971	0.0013	3.7136
21	兰州	0.004851	0.0025	1.9218
22	概念	0.004759	0.0035	1.3527
23	本体论	0.004443	0.0011	4.2244
24	Ontology	0.004366	0.0011	3.9367
25	ontology	0.004249	0.0009	4.6299
26	重用	0.004215	0.0011	3.9367
27	分解	0.004020	0.0031	1.2977
28	事件	0.003992	0.0045	0.8922
29	knowledge	0.003874	0.0011	3.3771
30	硕士学位	0.003732	0.0022	1.7121
31	理工大学	0.003657	0.0024	1.4944
32	论文	0.003367	0.0025	1.3340
33	swrlb	0.003364	0.0007	4.6299
34	结构化	0.003292	0.0011	3.0204
35	安全措施	0.003204	0.0014	2.3273
36	创建	0.003002	0.0013	2.3786
37	步法	0.002908	0.0007	4.2244
38	共享	0.002884	0.0012	2.4326
39	行为	0.002818	0.0021	1.3157
40	存储	0.002719	0.0012	2.1875
41	表示	0.002710	0.0031	0.8804
42	描述	0.002679	0.0028	0.9663
43	Web	0.002657	0.0009	3.0204
44	Atom	0.002656	0.0006	4.6299
45	失误	0.002550	0.0013	1.9908
46	WBS	0.002515	0.0014	1.8265
47	支持	0.002467	0.0020	1.2287
48	of	0.002441	0.0047	0.5190
49	识别	0.002408	0.0035	0.6883
50	工具	0.002380	0.0018	1.3527
51	实例	0.002343	0.0030	0.7904
52	推理机	0.002342	0.0006	4.2244
53	关系	0.002319	0.0044	0.5272
54	描述语言	0.002258	0.0006	3.9367
55	子类	0.002258	0.0006	3.9367
56	逻辑	0.002199	0.0012	1.7966
57	术语	0.002196	0.0007	3.3771
58	the	0.002176	0.0039	0.5523
59	插件	0.002161	0.0006	3.5313
60	违规	0.002125	0.0007	2.9251
61	SWRLTab	0.002125	0.0005	4.6299
62	hassolution	0.002125	0.0005	4.6299
63	others	0.002125	0.0005	4.6299
64	表达	0.002117	0.0014	1.5163
65	事故	0.002107	0.0059	0.3602
66	safety	0.002053	0.0020	1.0326
67	预控	0.002048	0.0008	2.5504
68	事实	0.002014	0.0007	2.9251
69	and	0.001980	0.0039	0.5027
70	开发	0.001980	0.0016	1.2626
71	编辑	0.001963	0.0009	2.2320
72	Functional	0.001957	0.0005	3.9367
73	查询	0.001954	0.0007	2.8381
74	causerisk	0.001948	0.0004	4.6299
75	String	0.001948	0.0004	4.6299
76	基于	0.001921	0.0053	0.3602
77	施工队	0.001917	0.0005	3.7136
78	et	0.001849	0.0017	1.0745
79	建模	0.001849	0.0012	1.5853
80	Knowledge	0.001848	0.0006	3.0204
