Rank	Word	TF-IDF	TF	IDF
1	资金	0.011070	0.0039	2.8381
2	直径	0.009607	0.0215	0.4478
3	浮力	0.009278	0.0039	2.3786
4	控制策略	0.007650	0.0029	2.6150
5	浆液	0.007297	0.0098	0.7483
6	机可	0.007242	0.0020	3.7136
7	支付	0.007242	0.0020	3.7136
8	制度	0.006880	0.0049	1.4110
9	层面	0.006785	0.0039	1.7395
10	奖罚	0.006586	0.0020	3.3771
11	水文	0.006456	0.0059	1.1035
12	破坏性	0.006326	0.0020	3.2436
13	铁路	0.005678	0.0078	0.7279
14	进出	0.005663	0.0039	1.4518
15	行之有效	0.005379	0.0020	2.7581
16	引导	0.005234	0.0020	2.6840
17	需在	0.005100	0.0020	2.6150
18	段长度	0.005100	0.0020	2.6150
19	障碍物	0.005089	0.0029	1.7395
20	上浮	0.004993	0.0039	1.2800
21	场景	0.004856	0.0020	2.4898
22	燃气	0.004744	0.0020	2.4326
23	凝固	0.004539	0.0020	2.3273
24	刁目松	0.004515	0.0010	4.6299
25	崇左	0.004515	0.0010	4.6299
26	法盾	0.004515	0.0010	4.6299
27	或性	0.004515	0.0010	4.6299
28	从直	0.004515	0.0010	4.6299
29	机易	0.004515	0.0010	4.6299
30	重后	0.004515	0.0010	4.6299
31	废桩	0.004515	0.0010	4.6299
32	如采	0.004515	0.0010	4.6299
33	生产费	0.004515	0.0010	4.6299
34	费的验	0.004515	0.0010	4.6299
35	工计	0.004515	0.0010	4.6299
36	优异者	0.004515	0.0010	4.6299
37	不良行为	0.004515	0.0010	4.6299
38	刺激作用	0.004515	0.0010	4.6299
39	分析员	0.004515	0.0010	4.6299
40	技术论证	0.004515	0.0010	4.6299
41	创设	0.004515	0.0010	4.6299
42	酷暑	0.004515	0.0010	4.6299
43	员工	0.004444	0.0020	2.2785
44	洞口	0.004436	0.0029	1.5163
45	发挥	0.004247	0.0029	1.4518
46	JIAN	0.004119	0.0010	4.2244
47	SHE	0.004119	0.0010	4.2244
48	JIU	0.004119	0.0010	4.2244
49	留村	0.004119	0.0010	4.2244
50	各工法	0.004119	0.0010	4.2244
51	需从	0.004119	0.0010	4.2244
52	方应	0.004119	0.0010	4.2244
53	越易	0.004119	0.0010	4.2244
54	立足点	0.004119	0.0010	4.2244
55	使命感	0.004119	0.0010	4.2244
56	严寒	0.004119	0.0010	4.2244
57	干扰	0.004070	0.0029	1.3912
58	供应	0.004027	0.0020	2.0649
59	坍方	0.003839	0.0010	3.9367
60	受扰	0.003839	0.0010	3.9367
61	深长	0.003839	0.0010	3.9367
62	表扬	0.003839	0.0010	3.9367
63	考核制度	0.003839	0.0010	3.9367
64	在工	0.003839	0.0010	3.9367
65	难以	0.003819	0.0039	0.9792
66	接头	0.003684	0.0020	1.8890
67	隧址	0.003621	0.0010	3.7136
68	挡土墙	0.003621	0.0010	3.7136
69	启用	0.003621	0.0010	3.7136
70	微型	0.003621	0.0010	3.7136
71	伴有	0.003621	0.0010	3.7136
72	难以避免	0.003621	0.0010	3.7136
73	时未	0.003621	0.0010	3.7136
74	拔出	0.003621	0.0010	3.7136
75	设计变更	0.003621	0.0010	3.7136
76	奖惩	0.003621	0.0010	3.7136
77	以大	0.003621	0.0010	3.7136
78	泥岩	0.003562	0.0020	1.8265
79	物资	0.003504	0.0020	1.7966
80	软弱	0.003452	0.0029	1.1799
