Rank	Word	TF-IDF	TF	IDF
1	桥梁	0.016916	0.0136	1.2455
2	脆弱性	0.015726	0.0047	3.3771
3	突变	0.014033	0.0091	1.5388
4	威胁性	0.013934	0.0033	4.2244
5	En	0.012643	0.0054	2.3273
6	评估	0.009084	0.0252	0.3602
7	严重性	0.007946	0.0027	2.9251
8	模型	0.007793	0.0146	0.5355
9	of	0.007653	0.0147	0.5190
10	交互	0.007515	0.0033	2.2785
11	多维	0.007492	0.0027	2.7581
12	指标	0.006968	0.0146	0.4788
13	Ex	0.006763	0.0027	2.4898
14	新建	0.006208	0.0045	1.3912
15	bridge	0.006057	0.0021	2.8381
16	阮永芬	0.005897	0.0017	3.3771
17	泥炭	0.005737	0.0014	4.2244
18	既有	0.005556	0.0089	0.6225
19	怡心桥	0.005390	0.0012	4.6299
20	vulnerability	0.005347	0.0014	3.9367
21	尖点	0.005044	0.0014	3.7136
22	标准值	0.004948	0.0019	2.5504
23	承灾	0.004918	0.0012	4.2244
24	脆弱	0.004852	0.0016	3.1258
25	assessment	0.004833	0.0039	1.2455
26	势函数	0.004583	0.0012	3.9367
27	燕尾	0.004583	0.0012	3.9367
28	铺装	0.004583	0.0012	3.9367
29	MIN	0.004583	0.0012	3.9367
30	级数	0.004566	0.0017	2.6150
31	the	0.004501	0.0081	0.5523
32	昆明	0.004405	0.0016	2.8381
33	分级	0.004225	0.0029	1.4518
34	He	0.004162	0.0019	2.1450
35	catastrophe	0.004098	0.0010	4.2244
36	桥墩	0.004064	0.0017	2.3273
37	四级	0.004059	0.0016	2.6150
38	existing	0.003864	0.0023	1.6594
39	Fig	0.003795	0.0019	1.9557
40	Fx	0.003688	0.0009	4.2244
41	Beijing	0.003674	0.0017	2.1041
42	and	0.003609	0.0072	0.5027
43	致灾	0.003603	0.0010	3.7136
44	Kunming	0.003603	0.0010	3.7136
45	控制变量	0.003603	0.0010	3.7136
46	灾后	0.003593	0.0008	4.6299
47	GJB	0.003593	0.0008	4.6299
48	SUM	0.003593	0.0008	4.6299
49	纵穿	0.003593	0.0008	4.6299
50	ux	0.003593	0.0008	4.6299
51	后果	0.003525	0.0027	1.2977
52	Press	0.003516	0.0012	3.0204
53	覆跨	0.003426	0.0010	3.5313
54	五级	0.003382	0.0014	2.4898
55	算法	0.003365	0.0025	1.3340
56	维云	0.003279	0.0008	4.2244
57	折迭	0.003279	0.0008	4.2244
58	初等	0.003279	0.0008	4.2244
59	等级	0.003141	0.0054	0.5781
60	三级	0.003123	0.0019	1.6094
61	矩阵	0.003116	0.0035	0.8922
62	系统	0.003108	0.0109	0.2861
63	China	0.003034	0.0035	0.8687
64	定量	0.002993	0.0035	0.8571
65	发生器	0.002969	0.0012	2.5504
66	所得	0.002932	0.0016	1.8890
67	设计标准	0.002930	0.0010	3.0204
68	risk	0.002864	0.0039	0.7380
69	压缩性	0.002832	0.0012	2.4326
70	沥青	0.002741	0.0008	3.5313
71	隔离	0.002700	0.0016	1.7395
72	Yunnan	0.002695	0.0006	4.6299
73	mutation	0.002695	0.0006	4.6299
74	胁性	0.002695	0.0006	4.6299
75	滇池	0.002695	0.0006	4.6299
76	Rural	0.002695	0.0006	4.6299
77	fei	0.002695	0.0006	4.6299
78	质土	0.002676	0.0010	2.7581
79	代入	0.002652	0.0012	2.2785
80	表达	0.002648	0.0017	1.5163
