Rank	Word	TF-IDF	TF	IDF
1	压注	0.009840	0.0041	2.3786
2	导线	0.007984	0.0024	3.3771
3	禁止	0.007358	0.0030	2.4898
4	作业	0.007246	0.0142	0.5108
5	土方	0.007060	0.0035	1.9908
6	运输	0.006713	0.0065	1.0326
7	救援	0.005883	0.0030	1.9908
8	吊装	0.005837	0.0041	1.4110
9	施工人员	0.005723	0.0065	0.8804
10	几项	0.005542	0.0018	3.1258
11	陆磊	0.005473	0.0012	4.6299
12	走动	0.005473	0.0012	4.6299
13	机械设备	0.005431	0.0047	1.1486
14	洞门	0.005359	0.0047	1.1334
15	坐标	0.005171	0.0024	2.1875
16	车辆	0.005059	0.0030	1.7121
17	诱因	0.005032	0.0018	2.8381
18	ProjectManagement	0.004993	0.0012	4.2244
19	通勤	0.004993	0.0012	4.2244
20	更为严重	0.004993	0.0012	4.2244
21	防溜车	0.004993	0.0012	4.2244
22	土斗	0.004993	0.0012	4.2244
23	内容	0.004683	0.0053	0.8804
24	铲除	0.004653	0.0012	3.9367
25	信号系统	0.004653	0.0012	3.9367
26	流沙	0.004636	0.0018	2.6150
27	应急	0.004608	0.0059	0.7797
28	小组	0.004466	0.0024	1.8890
29	等到	0.004390	0.0012	3.7136
30	器械	0.004390	0.0012	3.7136
31	吊带	0.004390	0.0012	3.7136
32	膨润土	0.004352	0.0030	1.4729
33	立刻	0.004313	0.0018	2.4326
34	仪表	0.004174	0.0012	3.5313
35	细分	0.004126	0.0018	2.3273
36	起吊	0.004126	0.0018	2.3273
37	足够	0.004111	0.0030	1.3912
38	如果	0.003980	0.0053	0.7483
39	大规模	0.003879	0.0018	2.1875
40	人行	0.003834	0.0012	3.2436
41	油脂	0.003748	0.0024	1.5853
42	外围	0.003695	0.0012	3.1258
43	需要	0.003652	0.0189	0.1931
44	详细	0.003642	0.0041	0.8804
45	指挥	0.003594	0.0018	2.0272
46	安全事故	0.003594	0.0041	0.8687
47	强制	0.003570	0.0012	3.0204
48	内部	0.003546	0.0041	0.8571
49	泥土	0.003530	0.0018	1.9908
50	无锡	0.003458	0.0012	2.9251
51	幅度	0.003407	0.0018	1.9218
52	保持稳定	0.003355	0.0012	2.8381
53	涌水	0.003337	0.0035	0.9410
54	停机	0.003261	0.0030	1.1035
55	风险管理	0.003116	0.0059	0.5272
56	对策	0.003092	0.0030	1.0463
57	之前	0.002789	0.0024	1.1799
58	双液	0.002769	0.0018	1.5618
59	过于	0.002751	0.0012	2.3273
60	贡献力量	0.002736	0.0006	4.6299
61	疆域	0.002736	0.0006	4.6299
62	面做	0.002736	0.0006	4.6299
63	无锡人	0.002736	0.0006	4.6299
64	压注口	0.002736	0.0006	4.6299
65	使用性能	0.002736	0.0006	4.6299
66	引测	0.002736	0.0006	4.6299
67	直伸	0.002736	0.0006	4.6299
68	安置工作	0.002736	0.0006	4.6299
69	提放土	0.002736	0.0006	4.6299
70	照度	0.002736	0.0006	4.6299
71	气下	0.002736	0.0006	4.6299
72	郭小青	0.002736	0.0006	4.6299
73	殷建	0.002736	0.0006	4.6299
74	注浆	0.002713	0.0165	0.1640
75	各类	0.002644	0.0024	1.1183
76	通讯	0.002638	0.0012	2.2320
77	江苏	0.002535	0.0012	2.1450
78	缺少	0.002535	0.0012	2.1450
79	轴线	0.002510	0.0035	0.7079
80	落实	0.002502	0.0018	1.4110
