Rank	Word	TF-IDF	TF	IDF
1	湖底	0.048038	0.0129	3.7136
2	刀梁	0.025462	0.0065	3.9367
3	陈俊俊	0.013020	0.0028	4.6299
4	撕裂	0.009577	0.0034	2.8381
5	鱼尾	0.008354	0.0022	3.7136
6	防水	0.007856	0.0073	1.0745
7	湖水	0.005958	0.0017	3.5313
8	河南	0.005807	0.0028	2.0649
9	耿少鹏	0.005208	0.0011	4.6299
10	杨洁	0.005208	0.0011	4.6299
11	卫君毅	0.005208	0.0011	4.6299
12	高良	0.005208	0.0011	4.6299
13	棕红色	0.005208	0.0011	4.6299
14	调制解调器	0.005208	0.0011	4.6299
15	变形缝	0.005096	0.0017	3.0204
16	闸门	0.004789	0.0017	2.8381
17	湖段	0.004428	0.0011	3.9367
18	卷材	0.004428	0.0011	3.9367
19	武汉市	0.004412	0.0017	2.6150
20	方位	0.004201	0.0017	2.4898
21	导向	0.004178	0.0022	1.8573
22	土洞	0.004177	0.0011	3.7136
23	气囊	0.004177	0.0011	3.7136
24	隐伏	0.003972	0.0011	3.5313
25	使用寿命	0.003844	0.0017	2.2785
26	切割	0.003766	0.0017	2.2320
27	质粉	0.003649	0.0011	3.2436
28	lake	0.003564	0.0008	4.2244
29	所在位置	0.003516	0.0011	3.1258
30	砂岩	0.003514	0.0022	1.5618
31	讨论	0.003411	0.0022	1.5163
32	超浅	0.003398	0.0011	3.0204
33	砾土	0.003398	0.0011	3.0204
34	激光	0.003398	0.0011	3.0204
35	喷涌	0.003314	0.0022	1.4729
36	重型	0.003290	0.0011	2.9251
37	暗挖	0.003274	0.0028	1.1641
38	弧形	0.003192	0.0011	2.8381
39	第一道	0.003192	0.0011	2.8381
40	绿色	0.003082	0.0017	1.8265
41	刀具	0.003053	0.0045	0.6786
42	生态环境	0.003019	0.0011	2.6840
43	the	0.002951	0.0053	0.5523
44	水位	0.002754	0.0028	0.9792
45	颜色	0.002676	0.0011	2.3786
46	夹层	0.002676	0.0011	2.3786
47	计算机	0.002675	0.0017	1.5853
48	一道	0.002618	0.0011	2.3273
49	围岩	0.002611	0.0028	0.9286
50	期第	0.002604	0.0006	4.6299
51	hnkj	0.002604	0.0006	4.6299
52	Purposes	0.002604	0.0006	4.6299
53	tearing	0.002604	0.0006	4.6299
54	waterproof	0.002604	0.0006	4.6299
55	refer	0.002604	0.0006	4.6299
56	公路运输	0.002604	0.0006	4.6299
57	过山	0.002604	0.0006	4.6299
58	湖中	0.002604	0.0006	4.6299
59	照明设计	0.002604	0.0006	4.6299
60	车城	0.002604	0.0006	4.6299
61	太子	0.002604	0.0006	4.6299
62	车江	0.002604	0.0006	4.6299
63	滑剂	0.002604	0.0006	4.6299
64	残块	0.002604	0.0006	4.6299
65	预出	0.002604	0.0006	4.6299
66	高弹性	0.002604	0.0006	4.6299
67	盘圈	0.002604	0.0006	4.6299
68	打印机	0.002604	0.0006	4.6299
69	定位仪	0.002604	0.0006	4.6299
70	ELS	0.002604	0.0006	4.6299
71	翻转运动	0.002604	0.0006	4.6299
72	中防	0.002604	0.0006	4.6299
73	道防	0.002604	0.0006	4.6299
74	凝土胀	0.002604	0.0006	4.6299
75	抗水	0.002604	0.0006	4.6299
76	分内	0.002604	0.0006	4.6299
77	华光	0.002604	0.0006	4.6299
78	龙飞	0.002604	0.0006	4.6299
79	叶明浩	0.002604	0.0006	4.6299
80	吴治生	0.002604	0.0006	4.6299
